date,wins,npxG,deep,ppda_allowed,missed,ppda,h_a,pts,xG,xpts,result,npxGD,npxGA,xGA,deep_allowed,scored,loses,draws
2022-08-07 15:30:00,0,0.2461879999999999901749703212772146798670291900634765625,2,"{att:153,def:6}",2,"{att:520,def:20}",h,0,0.2461879999999999901749703212772146798670291900634765625,0.08000000000000000166533453693773481063544750213623046875,l,-1.5800419999999999465245537066948600113391876220703125,1.8262300000000000199662508748588152229785919189453125,2.58739000000000007872813512221910059452056884765625,11,0,1,0
2022-08-14 13:00:00,0,1.3251699999999999590727384202182292938232421875,7,"{att:173,def:16}",1,"{att:123,def:15}",a,0,2.08633999999999986130205797962844371795654296875,1.445100000000000051159076974727213382720947265625,l,-0.6465300000000000490985030410229228436946868896484375,1.9717000000000000081712414612411521375179290771484375,1.9717000000000000081712414612411521375179290771484375,4,0,1,0
2022-08-21 13:00:00,0,0.768634000000000039420910979970358312129974365234375,6,"{att:264,def:14}",2,"{att:261,def:10}",h,0,0.768634000000000039420910979970358312129974365234375,0.5258000000000000451194637207663618028163909912109375,l,-0.29664599999999996526867107604630291461944580078125,1.065280000000000004689582056016661226749420166015625,1.826449999999999906918901615426875650882720947265625,2,0,1,0
2022-08-28 13:00:00,1,0.3345890000000000252811105383443646132946014404296875,3,"{att:243,def:18}",0,"{att:351,def:20}",a,3,0.3345890000000000252811105383443646132946014404296875,1.2731000000000001204369937113369815051555633544921875,w,0.03003400000000000513722397954552434384822845458984375,0.30455500000000002014388655879884026944637298583984375,0.30455500000000002014388655879884026944637298583984375,4,1,0,0
2022-08-31 18:45:00,0,1.5226699999999999679545226172194816172122955322265625,3,"{att:189,def:10}",1,"{att:452,def:16}",h,1,1.5226699999999999679545226172194816172122955322265625,2.0175999999999998379962562466971576213836669921875,d,0.79938500000000001222133505507372319698333740234375,0.7232849999999999557331875621457584202289581298828125,0.7232849999999999557331875621457584202289581298828125,6,1,0,1
2022-09-03 14:00:00,0,1.41959999999999997299937604111619293689727783203125,1,"{att:164,def:17}",2,"{att:327,def:14}",a,0,1.41959999999999997299937604111619293689727783203125,2.121300000000000185451654033386148512363433837890625,l,0.7122669999999999834727759662200696766376495361328125,0.7073329999999999895266000748961232602596282958984375,0.7073329999999999895266000748961232602596282958984375,4,1,1,0
2022-09-18 13:15:00,0,0.655351000000000016854073692229576408863067626953125,2,"{att:201,def:13}",1,"{att:239,def:21}",a,0,0.655351000000000016854073692229576408863067626953125,1.5435000000000000941469124882132746279239654541015625,l,0.257621000000000044405368271327461116015911102294921875,0.397729999999999972448705420902115292847156524658203125,0.397729999999999972448705420902115292847156524658203125,3,0,1,0
2022-10-01 16:30:00,1,1.0393399999999999305799747162382118403911590576171875,4,"{att:202,def:10}",0,"{att:278,def:13}",h,3,1.0393399999999999305799747162382118403911590576171875,1.7294000000000000483169060316868126392364501953125,w,0.46335199999999987507948162601678632199764251708984375,0.57598800000000005550049309022142551839351654052734375,0.57598800000000005550049309022142551839351654052734375,10,2,0,0
2022-10-09 13:00:00,1,2.675590000000000134861011247267015278339385986328125,7,"{att:269,def:15}",1,"{att:277,def:9}",h,3,3.436760000000000037090330806677229702472686767578125,2.90129999999999999005240169935859739780426025390625,w,2.125742000000000242465603150776587426662445068359375,0.54984800000000000341771055900608189404010772705078125,0.54984800000000000341771055900608189404010772705078125,5,3,0,0
2022-10-16 13:00:00,0,1.7072700000000000652988774163532070815563201904296875,8,"{att:234,def:13}",1,"{att:146,def:13}",a,1,1.7072700000000000652988774163532070815563201904296875,2.278000000000000024868995751603506505489349365234375,d,1.1827909999999999257624949677847325801849365234375,0.52447900000000002851407998605282045900821685791015625,0.52447900000000002851407998605282045900821685791015625,2,1,0,1
