transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
12199,Newcastle,0,0,3,1,0,2023-05-07T15:30:00Z,0,1.3,2,18.6,0,0,15579,3.8,0.17,14.1,1,48,287478,3,0,False,17,90,0,0,Arsenal,346,0.0,0.17,3380,35,Granit Xhaka,2.0,MID,3.5,0,0
-227,Newcastle,0,0,0,0,0,2023-05-07T15:30:00Z,0,0.0,2,0.0,0,0,365,0.0,0.0,0.0,0,41,65111,4,0,False,0,0,0,0,Arsenal,346,0.0,0.0,592,35,Mohamed Elneny,0.0,MID,0.0,0,0
149,Newcastle,0,0,0,0,0,2023-05-07T15:30:00Z,0,0.0,2,0.0,0,0,1462,1.8,0.0,0.0,0,42,20800,5,0,False,0,0,0,0,Arsenal,346,0.0,0.0,1313,35,Rob Holding,0.0,DEF,0.0,0,0
-90,Newcastle,0,0,1,0,0,2023-05-07T15:30:00Z,0,0.06,2,1.2,0,0,730,1.2,0.0,0.1,0,47,50659,6,0,False,3,10,0,0,Arsenal,346,0.0,0.0,820,35,Thomas Partey,0.0,MID,0.1,0,0
163326,Newcastle,0,2,10,1,0,2023-05-07T15:30:00Z,0,1.24,2,48.0,0,0,199101,8.8,0.17,25.4,1,66,3163029,7,1,False,30,79,0,0,Arsenal,346,0.5,0.67,35775,35,Martin Ødegaard,45.0,MID,11.8,0,0
-230,Newcastle,0,0,1,0,0,2023-05-07T15:30:00Z,0,0.15,2,4.4,0,0,510,0.6,0.02,1.3,0,46,80691,8,0,False,7,29,0,0,Arsenal,346,0.0,0.02,740,35,Kieran Tierney,2.0,DEF,0.8,0,0
-18,Newcastle,0,0,0,0,0,2023-05-07T15:30:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,53,11435,9,0,False,0,0,0,0,Arsenal,346,0.0,0.0,18,35,Nicolas Pépé,0.0,MID,0.0,0,0
-5452,Newcastle,0,0,6,1,0,2023-05-07T15:30:00Z,0,1.3,2,13.0,0,0,53726,3.6,0.03,2.3,1,50,1723816,10,0,False,24,90,0,0,Arsenal,346,0.0,0.03,59178,35,Ben White,2.0,DEF,1.7,0,0
-5067,Newcastle,0,0,0,0,0,2023-05-07T15:30:00Z,0,0.06,2,0.0,0,0,486,0.6,0.0,0.0,0,64,205341,11,0,False,-2,3,0,1,Arsenal,346,0.0,0.0,5553,35,Eddie Nketiah,0.0,FWD,0.0,0,0
-73,Newcastle,0,0,0,0,0,2023-05-07T15:30:00Z,0,0.0,2,0.0,0,0,100,0.2,0.0,0.0,0,56,41140,12,0,False,0,0,0,0,Arsenal,346,0.0,0.0,173,35,Emile Smith Rowe,0.0,MID,0.0,0,0
-179242,Newcastle,0,0,3,1,0,2023-05-07T15:30:00Z,0,1.24,2,14.8,0,0,29728,4.0,0.05,14.0,1,82,3391056,13,0,False,8,86,0,0,Arsenal,346,0.26,0.31,208970,35,Bukayo Saka,21.0,MID,5.0,0,0
-391,Newcastle,0,0,0,0,0,2023-05-07T15:30:00Z,0,0.0,2,0.0,0,0,24,0.0,0.0,0.0,0,42,55639,14,0,False,0,0,0,0,Arsenal,346,0.0,0.0,415,35,Takehiro Tomiyasu,0.0,DEF,0.0,0,0
