transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,season,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
-6,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,45,8702,22,0,true,0,0,0,0,Arsenal,371,0.00,0.00,6,38,Lucas Torreira di Pascua,0.0,MID,0.0,5,0
468,Wolves,0,0,1,0,0,2023-05-28T15:30:00Z,0,0.18,0,10.0,0,0,747,1.1,2022-23,0.62,22.7,0,47,5145,23,0,true,9,30,0,0,Arsenal,371,0.15,0.77,279,38,Reiss Nelson,23.0,MID,5.6,5,0
1067,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,3124,0.5,2022-23,0.00,0.0,0,38,161439,24,0,true,0,0,0,0,Arsenal,371,0.00,0.00,2057,38,Matt Turner,0.0,GK,0.0,5,0
318,Wolves,0,0,1,0,0,2023-05-28T15:30:00Z,0,0.18,0,0.8,0,0,447,1.5,2022-23,0.00,0.5,0,56,15789,25,0,true,3,15,0,0,Arsenal,371,0.00,0.00,129,38,Fábio Vieira,0.0,MID,0.1,5,0
-17747,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,265,0.0,2022-23,0.00,0.0,0,49,1778569,26,0,true,0,0,0,0,Arsenal,371,0.00,0.00,18012,38,William Saliba,0.0,DEF,0.0,5,0
-7,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,46,7547,27,0,true,0,0,0,0,Arsenal,371,0.00,0.00,7,38,Marquinhos,0.0,MID,0.0,5,0
61190,Wolves,0,3,12,1,0,2023-05-28T15:30:00Z,0,0.47,0,66.4,0,1,92891,12.5,2022-23,0.38,20.5,1,81,3243753,28,1,true,52,90,0,0,Arsenal,371,0.23,0.61,31701,38,Gabriel Jesus,49.0,FWD,13.6,5,0
61,Wolves,0,0,9,1,0,2023-05-28T15:30:00Z,0,0.32,0,46.0,0,2,26730,7.1,2022-23,0.28,24.3,1,66,821521,111,0,true,33,79,0,0,Arsenal,371,0.12,0.40,26669,38,Leandro Trossard,16.0,MID,8.6,5,0
869,Wolves,0,0,3,1,0,2023-05-28T15:30:00Z,0,0.47,0,14.0,0,0,1480,3.5,2022-23,0.04,7.3,1,57,218785,130,0,true,17,90,0,0,Arsenal,371,0.03,0.07,611,38,Jorginho,1.0,MID,2.2,5,0
-47680,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,234,0.0,2022-23,0.00,0.0,0,50,1027644,313,0,true,0,0,0,0,Arsenal,371,0.00,0.00,47914,38,Oleksandr Zinchenko,0.0,DEF,0.0,5,0
