name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,3806,0,2,1,0.0,0,-563,0,563,53,True,0,Everton,Redmond
Junior Stanislas,MID,Bournemouth,-0.5,0,0,0,0,0.0,58,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,2885,0,0,0,0.0,0,-52,107,159,48,True,0,Brentford,Stanislas
Armando Broja,FWD,Chelsea,1.5,0,0,3,0,0.0,150,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2022-10-01T14:00:00Z,15,0,0,0,0,9,0,53060,0,2,1,0.0,1,-502,4453,4955,53,False,0,Crystal Palace,Broja
Fabian Schär,DEF,Newcastle,4.0,0,0,25,1,14.3,366,0.0,0.0,0.0,0.0,84,0,0,3.1,12.8,2022-10-01T14:00:00Z,82,0,0,0,0,9,0,948358,0,4,1,4.0,6,-1198,66324,67522,47,False,0,Fulham,Schär
Jonny Evans,DEF,Leicester,2.2,0,0,22,1,10.7,249,0.0,0.0,0.0,0.0,86,0,0,2.9,18.2,2022-10-03T19:00:00Z,90,0,0,0,0,9,0,27618,0,0,4,0.0,6,-484,1482,1966,44,True,0,Nott'm Forest,Evans
Brennan Johnson,FWD,Nott'm Forest,1.5,0,0,5,0,13.4,394,0.0,0.0,0.0,0.0,86,4,0,4.9,11.0,2022-10-03T19:00:00Z,90,0,0,0,0,9,0,147873,0,0,4,25.0,2,-8956,13503,22459,59,False,0,Leicester,Johnson
Cheick Doucouré,MID,Crystal Palace,1.5,0,0,8,0,10.7,514,0.0,0.0,0.0,0.0,83,1,0,2.1,9.8,2022-10-01T14:00:00Z,83,0,0,0,0,9,0,17194,0,2,1,0.0,2,248,1520,1272,50,True,0,Chelsea,C.Doucouré
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0.0,553,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,4151,0,0,4,0.0,0,-75,205,280,44,False,0,Leicester,Hammond
Luke Cundle,MID,Wolves,0.0,0,0,0,0,0.0,485,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2022-10-01T16:30:00Z,0,0,0,0,0,9,0,29744,0,0,2,0.0,0,-1893,0,1893,44,False,0,West Ham,Cundle
Fin Stevens,DEF,Brentford,0.0,0,0,0,0,0.0,540,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,21068,0,0,0,0.0,0,-1626,0,1626,40,False,0,Bournemouth,Stevens
Brandon Austin,GK,Spurs,0.0,0,0,0,0,0.0,451,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,0,0,0,0,9,0,32345,0,1,3,0.0,0,-273,584,857,40,False,0,Arsenal,Austin
Luka Milivojevic,MID,Crystal Palace,-0.5,0,0,0,0,0.0,158,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,49046,0,2,1,0.0,0,-1670,1521,3191,44,True,0,Chelsea,Milivojevic
Wesley Fofana,DEF,Chelsea,2.5,0,0,16,0,2.2,272,0.0,0.0,0.0,0.0,83,1,0,1.6,13.4,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,261186,0,2,1,0.0,2,15675,36901,21226,44,False,0,Crystal Palace,W.Fofana
Gianluca Scamacca,FWD,West Ham,4.0,0,2,34,1,15.3,529,0.0,0.0,0.0,0.0,90,0,1,6.3,37.8,2022-10-01T16:30:00Z,65,0,0,0,0,9,0,41651,0,0,2,10.0,8,-552,2697,3249,67,True,0,Wolves,Scamacca
Alisson Ramses Becker,GK,Liverpool,3.0,0,0,15,0,0.0,281,0.0,0.0,0.0,0.0,87,3,0,2.7,27.4,2022-10-01T14:00:00Z,90,0,0,0,0,9,3,1541717,0,3,3,0.0,2,21490,67880,46390,54,True,0,Brighton,Alisson
Che Adams,FWD,Southampton,3.5,1,0,11,0,38.1,411,0.0,0.0,0.0,0.0,89,2,0,10.1,26.2,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,97332,0,2,1,37.0,5,-8206,7183,15389,64,True,0,Everton,Adams
Sam Greenwood,FWD,Leeds,0.0,0,0,0,0,0.0,237,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2022-10-02T15:30:00Z,0,0,0,0,0,9,0,1198158,0,0,0,0.0,0,-37803,72425,110228,43,True,0,Aston Villa,Greenwood
Nathaniel Chalobah,MID,Fulham,-1.0,0,0,-5,0,0.0,203,0.0,0.0,0.0,0.0,84,4,0,0.0,0.0,2022-10-01T14:00:00Z,7,0,0,0,1,9,0,13074,0,4,1,0.0,-2,-360,545,905,44,True,0,Newcastle,Chalobah
Nathaniel Phillips,DEF,Liverpool,1.0,0,0,0,0,0.0,501,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,46098,0,3,3,0.0,0,-505,1777,2282,40,True,0,Brighton,Phillips
Loïc Mbe Soh,DEF,Nott'm Forest,-0.5,0,0,0,0,0.0,393,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,3667,0,0,4,0.0,0,-119,30,149,43,False,0,Leicester,Mbe Soh
Jason Steele,GK,Brighton,-1.0,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,77020,0,3,3,0.0,0,-2572,1014,3586,40,False,0,Liverpool,Steele
Tosin Adarabioyo,DEF,Fulham,3.5,0,0,8,0,0.2,209,0.0,0.0,0.0,0.0,84,4,0,0.8,8.2,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,17705,0,4,1,0.0,0,4637,6315,1678,45,True,0,Newcastle,Tosin
Kalvin Phillips,MID,Man City,0.0,0,0,0,0,0.0,325,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,15940,0,3,6,0.0,0,-1290,132,1422,48,True,0,Man Utd,Phillips
Carlos Ribeiro Dias,MID,Nott'm Forest,-0.5,0,0,0,0,0.0,383,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,50644,0,0,4,0.0,0,12552,17927,5375,43,False,0,Leicester,Cafú
Marek Rodák,GK,Fulham,0.0,0,0,0,0,0.0,213,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,20596,0,4,1,0.0,0,-468,641,1109,44,True,0,Newcastle,Rodák
Ryan Fraser,MID,Newcastle,1.5,0,0,3,0,13.0,359,0.0,0.0,0.0,0.0,84,1,0,1.8,3.2,2022-10-01T14:00:00Z,24,0,0,0,0,9,0,10999,0,4,1,2.0,1,-301,1232,1533,53,False,0,Fulham,Fraser
Luke Thomas,DEF,Leicester,-0.5,0,0,0,0,0.0,270,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,8537,0,0,4,0.0,0,-241,236,477,43,True,0,Nott'm Forest,Thomas
Karl Darlow,GK,Newcastle,0.0,0,0,0,0,0.0,353,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,176689,0,4,1,0.0,0,-14170,199,14369,40,False,0,Fulham,Darlow
Rodrigo Hernandez,MID,Man City,2.0,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,217899,0,3,6,0.0,0,-9578,8600,18178,58,True,0,Man Utd,Rodri
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,-0.5,0,0,0,0,0.0,326,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,258572,0,3,6,0.0,0,-3697,6927,10624,102,False,0,Man City,Ronaldo
Fraser Forster,GK,Spurs,0.0,0,0,0,0,0.0,426,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,0,0,0,0,9,0,435504,0,1,3,0.0,0,-9612,5760,15372,39,False,0,Arsenal,Forster
Alex Oxlade-Chamberlain,MID,Liverpool,0.0,0,0,0,0,0.0,278,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,712,0,3,3,0.0,0,-17,17,34,49,True,0,Brighton,Chamberlain
Ethan Nwaneri,MID,Arsenal,0.5,0,0,0,0,0.0,630,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,0,0,0,0,9,0,418,0,1,3,0.0,0,294,356,62,45,True,0,Spurs,Nwaneri
Jack Grealish,MID,Man City,7.0,0,0,15,0,34.4,305,0.0,0.0,0.0,0.0,88,1,0,8.5,10.8,2022-10-02T13:00:00Z,74,0,0,0,0,9,0,123440,0,3,6,40.0,2,4614,8095,3481,68,True,0,Man Utd,Grealish
James McAtee,MID,Man City,0.0,0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,480,0,3,6,0.0,0,-11,0,11,45,True,0,Man Utd,McAtee
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,415,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,1117,0,2,1,0.0,0,-41,0,41,45,True,0,Everton,Smallbone
Chris Wood,FWD,Newcastle,0.4,0,0,0,0,0.0,354,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,59072,0,4,1,0.0,0,-5939,1396,7335,56,False,0,Fulham,Wood
Darren Randolph,GK,West Ham,0.0,0,0,0,0,0.0,571,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2022-10-01T16:30:00Z,0,0,0,0,0,9,0,16194,0,0,2,0.0,0,35,496,461,40,True,0,Wolves,Randolph
Leander Dendoncker,MID,Aston Villa,0.5,0,0,0,0,0.0,479,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2022-10-02T15:30:00Z,0,0,0,0,0,9,0,9170,0,0,0,0.0,0,-330,258,588,48,False,0,Leeds,Dendoncker
Allan Marques Loureiro,MID,Everton,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,9192,0,2,1,0.0,0,-640,243,883,48,False,0,Southampton,Allan
Ibrahima Konaté,DEF,Liverpool,0.5,0,0,0,0,0.0,290,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,19975,0,3,3,0.0,0,-445,355,800,48,True,0,Brighton,Konaté
