transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,season,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
5315,Nott'm Forest,0,0,2,0,1,2023-05-20T16:30:00Z,0,0.32,0,3.4,0,0,12919,5.3,2022-23,0.01,1.6,1,48,300848,3,0,false,8,62,0,0,Arsenal,367,0.00,0.01,7604,37,Granit Xhaka,0.0,MID,0.5,1,0
274,Nott'm Forest,0,0,0,0,0,2023-05-20T16:30:00Z,0,0.00,0,0.0,0,0,857,0.0,2022-23,0.00,0.0,0,41,65668,4,0,false,0,0,0,0,Arsenal,367,0.00,0.00,583,37,Mohamed Elneny,0.0,MID,0.0,1,0
-630,Nott'm Forest,0,0,0,0,0,2023-05-20T16:30:00Z,0,0.00,0,0.0,0,0,773,0.7,2022-23,0.00,0.0,0,42,19621,5,0,false,0,0,0,0,Arsenal,367,0.00,0.00,1403,37,Rob Holding,0.0,DEF,0.0,1,0
-138,Nott'm Forest,0,0,2,0,1,2023-05-20T16:30:00Z,0,0.55,0,14.8,0,0,503,1.5,2022-23,0.10,13.9,1,47,50327,6,0,false,16,90,0,0,Arsenal,367,0.00,0.10,641,37,Thomas Partey,6.0,MID,3.5,1,0
91401,Nott'm Forest,0,0,2,0,1,2023-05-20T16:30:00Z,0,0.55,0,2.6,0,0,209054,7.7,2022-23,0.11,25.0,1,68,3560448,7,0,false,13,90,0,0,Arsenal,367,0.03,0.14,117653,37,Martin Ødegaard,5.0,MID,3.3,1,0
3864,Nott'm Forest,0,0,1,0,0,2023-05-20T16:30:00Z,0,0.23,0,0.8,0,0,4736,1.5,2022-23,0.02,2.1,0,46,88287,8,0,false,0,27,0,0,Arsenal,367,0.08,0.10,872,37,Kieran Tierney,6.0,DEF,0.9,1,0
-8,Nott'm Forest,0,0,0,0,0,2023-05-20T16:30:00Z,0,0.00,0,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,53,11419,9,0,false,0,0,0,0,Arsenal,367,0.00,0.00,8,37,Nicolas Pépé,0.0,MID,0.0,1,0
-13979,Nott'm Forest,0,0,2,0,1,2023-05-20T16:30:00Z,0,0.55,0,17.8,0,0,55432,3.3,2022-23,0.12,22.8,1,50,1732362,10,0,false,16,90,0,0,Arsenal,367,0.00,0.12,69411,37,Ben White,0.0,DEF,4.1,1,0
-1751,Nott'm Forest,0,0,1,0,0,2023-05-20T16:30:00Z,0,0.23,0,0.0,0,0,802,1.0,2022-23,0.02,0.8,0,63,200886,11,0,false,2,27,0,0,Arsenal,367,0.00,0.02,2553,37,Eddie Nketiah,4.0,FWD,0.4,1,0
37,Nott'm Forest,0,0,0,0,0,2023-05-20T16:30:00Z,0,0.00,0,0.0,0,0,141,0.7,2022-23,0.00,0.0,0,56,41337,12,0,false,0,0,0,0,Arsenal,367,0.00,0.00,104,37,Emile Smith Rowe,0.0,MID,0.0,1,0
