name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,415,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,764,0,0,1,0.0,0,-7,0,7,45,False,0,Leeds,Smallbone
Martial Godo,MID,Fulham,0.0,0,0,0,0,0.0,641,0.0,0.0,0.0,0.0,244,0,0,0.0,0.0,2023-02-24T20:00:00Z,0,0,0,0,0,25,0,555,0,1,1,0.0,0,8,64,56,45,True,0,Wolves,Godo
Chris Wood,FWD,Nott'm Forest,3.5,0,0,4,0,3.2,354,0.01,0.01,0.0,2.31,250,2,0,0.4,1.0,2023-02-25T15:00:00Z,76,0,0,0,0,25,0,91103,1,0,4,0.0,2,11450,14744,3294,56,False,0,West Ham,Wood
Darren Randolph,GK,Bournemouth,-1.5,0,0,0,0,0.0,571,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2023-02-25T17:30:00Z,0,0,0,0,0,25,0,16270,0,4,1,0.0,0,-59,182,241,40,True,0,Man City,Randolph
Leander Dendoncker,MID,Aston Villa,0.5,0,0,0,0,0.0,479,0.0,0.0,0.0,0.0,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,7529,0,2,0,0.0,0,2,131,129,47,False,0,Everton,Dendoncker
Keylor Navas,GK,Nott'm Forest,3.5,0,0,13,0,0.0,729,0.0,0.0,0.0,2.73,250,4,0,1.4,13.8,2023-02-25T15:00:00Z,90,0,0,0,0,25,1,102916,1,0,4,0.0,0,33424,38290,4866,45,False,0,West Ham,Navas
Allan Marques Loureiro,MID,Everton,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,6243,0,2,0,0.0,0,-27,0,27,48,True,0,Aston Villa,Allan
Allan Marques Loureiro,MID,Everton,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2023-03-01T19:45:00Z,0,0,0,0,0,25,0,6243,0,0,4,0.0,0,-27,0,27,48,False,0,Arsenal,Allan
Ibrahima Konaté,DEF,Liverpool,1.7,0,0,0,0,0.0,290,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,0,0,0,0,25,0,42854,0,0,0,0.0,0,-2775,330,3105,48,False,0,Crystal Palace,Konaté
Ibrahima Konaté,DEF,Liverpool,1.7,0,0,25,1,1.3,290,0.06,0.06,0.0,0.93,67,0,0,1.4,10.4,2023-03-01T20:00:00Z,90,0,0,0,0,25,0,42854,1,0,2,2.0,6,-2775,330,3105,48,True,0,Wolves,Konaté
