name,transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,expected_goal_involvements,expected_goals,fixture,transfers_out,round,position,threat,ict_index,penalties_saved,team_h_score
Takehiro Tomiyasu,-789,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,13,0.0,0.0,0.0,0,42,57142,14,0,0,False,0,0,0,Arsenal,0.0,0.0,309,802,31,DEF,0,0.0,0,2
Aaron Ramsdale,-4603,West Ham,0,0,0,2,1,2023-04-16T13:00:00Z,0,1.75,2,14.2,1,0,18357,2.5,0.0,0.0,1,49,1301483,15,0,13,False,90,0,0,Arsenal,0.0,0.0,309,22960,31,GK,0,1.4,0,2
Gabriel dos Santos Magalhães,45460,West Ham,0,0,0,2,1,2023-04-16T13:00:00Z,0,1.75,2,26.6,0,0,81327,2.0,0.02,1.3,1,53,1830703,16,0,21,False,90,0,0,Arsenal,0.0,0.14,309,35867,31,DEF,6,3.4,0,2
Nuno Tavares,-2,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,45,768,17,0,0,False,0,0,0,Arsenal,0.0,0.0,309,2,31,DEF,0,0.0,0,2
Gabriel Martinelli,608125,West Ham,0,0,0,2,5,2023-04-16T13:00:00Z,0,1.75,2,29.4,0,1,622762,8.0,0.68,42.1,1,68,4881573,19,0,21,False,84,0,0,Arsenal,0.0,0.09,309,14637,31,MID,26,9.8,0,2
Pablo Marí Villar,-4,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,45,1740,20,0,0,False,0,0,0,Arsenal,0.0,0.0,309,4,31,DEF,0,0.0,0,2
Lucas Torreira di Pascua,-19,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,45,8778,22,0,0,False,0,0,0,Arsenal,0.0,0.0,309,19,31,MID,0,0.0,0,2
Reiss Nelson,-133,West Ham,0,0,0,0,1,2023-04-16T13:00:00Z,0,0.0,2,1.0,0,0,69,0.7,0.01,1.2,0,47,4364,23,0,4,False,5,0,0,Arsenal,0.0,0.0,309,202,31,MID,0,0.2,0,2
Matt Turner,-3,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,2573,0.5,0.0,0.0,0,38,142483,24,0,0,False,0,0,0,Arsenal,0.0,0.0,309,2576,31,GK,0,0.0,0,2
Fábio Ferreira Vieira,-94,West Ham,0,0,0,0,1,2023-04-16T13:00:00Z,0,0.0,2,2.2,0,0,34,1.0,0.08,14.2,0,56,15254,25,0,4,False,5,0,0,Arsenal,0.0,0.0,309,128,31,MID,0,1.6,0,2
William Saliba,-257469,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,337,0.0,0.0,0.0,0,50,2200674,26,0,0,False,0,0,0,Arsenal,0.0,0.0,309,257806,31,DEF,0,0.0,0,2
Marcus Oliveira Alencar,-33,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,46,7649,27,0,0,False,0,0,0,Arsenal,0.0,0.0,309,33,31,MID,0,0.0,0,2
Gabriel Jesus,139743,West Ham,2,0,0,2,7,2023-04-16T13:00:00Z,0,1.43,2,35.2,0,0,153899,7.3,0.02,4.4,1,81,3171370,28,1,28,False,66,0,1,Arsenal,0.0,0.93,309,14156,31,FWD,33,7.3,0,2
Leandro Trossard,-21055,West Ham,0,0,0,0,1,2023-04-16T13:00:00Z,0,0.32,2,3.0,0,0,30002,3.5,0.02,2.9,0,67,951159,111,0,2,False,23,0,0,Arsenal,0.0,0.0,309,51057,31,MID,2,0.8,0,2
Jorge Luiz Frello Filho,-1340,West Ham,0,0,0,0,1,2023-04-16T13:00:00Z,0,0.32,2,6.2,0,0,451,1.3,0.03,1.8,0,57,218827,130,0,3,False,23,0,0,Arsenal,0.0,0.0,309,1791,31,MID,0,0.8,0,2
Oleksandr Zinchenko,5176,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,42290,1.7,0.0,0.0,0,52,1600621,313,0,0,False,0,0,0,Arsenal,0.0,0.0,309,37114,31,DEF,0,0.0,0,2
Matthew Smith,8,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,86,0.5,0.0,0.0,0,44,8272,607,0,0,False,0,0,0,Arsenal,0.0,0.0,309,78,31,MID,0,0.0,0,2
Ethan Nwaneri,-2,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,27,0.5,0.0,0.0,0,45,1049,630,0,0,False,0,0,0,Arsenal,0.0,0.0,309,29,31,MID,0,0.0,0,2
Lino Sousa,-36,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,69,0.5,0.0,0.0,0,40,7775,631,0,0,False,0,0,0,Arsenal,0.0,0.0,309,105,31,DEF,0,0.0,0,2
Karl Hein,-13,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,25,0.5,0.0,0.0,0,39,1787,655,0,0,False,0,0,0,Arsenal,0.0,0.0,309,38,31,GK,0,0.0,0,2
Amario Cozier-Duberry,3,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,10,0.5,0.0,0.0,0,45,290,668,0,0,False,0,0,0,Arsenal,0.0,0.0,309,7,31,MID,0,0.0,0,2
Nathan Butler-Oyedeji,-5,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,45,600,685,0,0,False,0,0,0,Arsenal,0.0,0.0,309,5,31,FWD,0,0.0,0,2
Jakub Kiwior,53,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,107,1.0,0.0,0.0,0,40,1433,710,0,0,False,0,0,0,Arsenal,0.0,0.0,309,54,31,DEF,0,0.0,0,2
Reuell Walters,12,West Ham,0,0,0,0,0,2023-04-16T13:00:00Z,0,0.0,2,0.0,0,0,44,0.5,0.0,0.0,0,40,392,751,0,0,False,0,0,0,Arsenal,0.0,0.0,309,32,31,DEF,0,0.0,0,2
Philippe Coutinho,-1221,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,78,0.0,0.0,0.0,0,66,332424,29,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,1299,31,MID,0,0.0,0,3
Emiliano Martínez,27730,Newcastle,0,0,1,0,6,2023-04-15T11:30:00Z,0,0.54,0,18.4,2,0,46442,6.7,0.0,0.0,1,50,736526,31,0,25,True,90,0,0,Aston Villa,0.0,0.0,301,18712,31,GK,0,1.8,0,3
Calum Chambers,23,Newcastle,0,0,0,0,1,2023-04-15T11:30:00Z,0,0.0,0,2.0,0,0,171,0.1,0.0,0.0,0,42,17962,32,0,3,True,5,0,0,Aston Villa,0.0,0.0,301,148,31,DEF,0,0.2,0,3
Lucas Digne,-1917,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,1629,-0.3,0.0,0.0,0,46,143487,33,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,3546,31,DEF,0,0.0,0,3
Bertrand Traoré,3268,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,3491,2.7,0.0,0.0,0,49,9609,34,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,223,31,MID,0,0.0,0,3
Robin Olsen,-841,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,361,-0.5,0.0,0.0,0,39,166276,35,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,1202,31,GK,0,0.0,0,3
Morgan Sanson,-118,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,43,22142,36,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,118,31,MID,0,0.0,0,3
John McGinn,-200,Newcastle,0,0,1,0,3,2023-04-15T11:30:00Z,0,0.54,0,6.0,0,0,2023,3.1,0.19,10.1,1,51,66821,37,0,6,True,90,0,0,Aston Villa,0.0,0.1,301,2223,31,MID,10,2.6,0,3
Kortney Hause,-1,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,44,1024,38,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,1,31,DEF,0,0.0,0,3
Tyrone Mings,155713,Newcastle,0,0,1,0,6,2023-04-15T11:30:00Z,0,0.54,0,31.4,0,0,176676,6.3,0.01,0.3,1,45,1135008,39,0,28,True,90,0,0,Aston Villa,0.0,0.0,301,20963,31,DEF,2,3.4,0,3
Ollie Watkins,-25861,Newcastle,3,0,1,0,16,2023-04-15T11:30:00Z,0,0.54,0,91.2,0,1,96420,8.5,0.23,27.9,1,76,2195892,40,2,61,True,90,0,0,Aston Villa,0.0,0.95,301,122281,31,FWD,85,20.4,0,3
Marvelous Nakamba,-60,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,43,12929,41,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,60,31,MID,0,0.0,0,3
Emiliano Buendía,-1535,Newcastle,0,0,1,0,3,2023-04-15T11:30:00Z,0,0.54,0,4.2,0,0,10104,4.1,0.19,25.1,1,57,115119,42,0,7,True,90,0,0,Aston Villa,0.0,0.28,301,11639,31,MID,12,4.1,0,3
Matty Cash,-17520,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,91,0.0,0.0,0.0,0,46,388776,43,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,17611,31,DEF,0,0.0,0,3
Ezri Konsa Ngoyo,3797,Newcastle,0,0,1,0,6,2023-04-15T11:30:00Z,0,0.54,0,7.8,0,0,8390,4.5,0.02,0.7,1,44,70474,44,0,25,True,90,0,0,Aston Villa,0.0,0.0,301,4593,31,DEF,2,1.1,0,3
Leon Bailey,-25203,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,1497,0.0,0.0,0.0,0,44,353474,45,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,26700,31,MID,0,0.0,0,3
Douglas Luiz Soares de Paulo,3335,Newcastle,0,0,1,0,3,2023-04-15T11:30:00Z,0,0.54,0,15.0,0,0,7570,4.5,0.05,23.3,1,48,70390,46,0,11,True,90,0,0,Aston Villa,0.0,0.0,301,4235,31,MID,0,3.8,0,3
Jacob Ramsey,8756,Newcastle,2,0,1,0,13,2023-04-15T11:30:00Z,0,0.54,0,59.6,0,1,11411,6.7,0.18,44.8,1,52,91196,47,1,42,True,84,0,0,Aston Villa,0.0,0.53,301,2655,31,MID,30,13.4,0,3
Tim Iroegbunam,-1,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,45,1841,49,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,1,31,MID,0,0.0,0,3
Diego Carlos Santos Silva,73,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,616,-0.5,0.0,0.0,0,47,23955,50,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,543,31,DEF,0,0.0,0,3
Anwar El Ghazi,-5,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,48,3321,51,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,5,31,MID,0,0.0,0,3
Keinan Davis,-8,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,3927,52,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,8,31,FWD,0,0.0,0,3
Boubacar Kamara,-72,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,11,0.0,0.0,0.0,0,48,9913,53,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,83,31,MID,0,0.0,0,3
Cameron Archer,-1600,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,42,202739,54,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,1600,31,FWD,0,0.0,0,3
Jaden Philogene-Bidace,0,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,45,217,55,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,0,31,MID,0,0.0,0,3
Frédéric Guilbert,-442,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,39,68238,56,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,442,31,DEF,0,0.0,0,3
