transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
-173341,Man City,0,0,1,0,2,2023-04-26T19:00:00Z,0,1.33,0,0.0,0,0,15949,5.3,0.00,0.0,1,82,3280369,28,0,false,0,47,0,0,Arsenal,329,0.00,0.00,189290,33,Gabriel Fernando de Jesus,0.0,FWD,0.0,2,0
-53993,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,1363,1.1,0.00,0.0,0,67,864702,111,0,false,0,0,0,0,Arsenal,329,0.00,0.00,55356,33,Leandro Trossard,0.0,MID,0.0,2,0
-834,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,125,-0.1,0.00,0.0,0,57,217530,130,0,false,0,0,0,0,Arsenal,329,0.00,0.00,959,33,Jorge Luiz Frello Filho,0.0,MID,0.0,2,0
-63752,Man City,0,0,0,0,2,2023-04-26T19:00:00Z,0,1.33,0,0.0,0,0,5465,0.1,0.02,0.0,1,52,1351675,313,0,false,3,47,0,0,Arsenal,329,0.00,0.02,69217,33,Oleksandr Zinchenko,0.0,DEF,0.0,2,0
8,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,62,-0.5,0.00,0.0,0,44,8327,607,0,false,0,0,0,0,Arsenal,329,0.00,0.00,54,33,Matthew Smith,0.0,MID,0.0,2,0
10,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,27,-0.5,0.00,0.0,0,45,1076,630,0,false,0,0,0,0,Arsenal,329,0.00,0.00,17,33,Ethan Nwaneri,0.0,MID,0.0,2,0
-10,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,57,-0.5,0.00,0.0,0,40,7878,631,0,false,0,0,0,0,Arsenal,329,0.00,0.00,67,33,Lino Sousa,0.0,DEF,0.0,2,0
1,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,25,-0.5,0.00,0.0,0,39,1794,655,0,false,0,0,0,0,Arsenal,329,0.00,0.00,24,33,Karl Hein,0.0,GK,0.0,2,0
-1,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,2,-0.5,0.00,0.0,0,45,311,668,0,false,0,0,0,0,Arsenal,329,0.00,0.00,3,33,Amario Cozier-Duberry,0.0,MID,0.0,2,0
-4,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,45,592,685,0,false,0,0,0,0,Arsenal,329,0.00,0.00,4,33,Nathan Butler-Oyedeji,0.0,FWD,0.0,2,0
12,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,42,-0.3,0.00,0.0,0,40,1518,710,0,false,0,0,0,0,Arsenal,329,0.00,0.00,30,33,Jakub Kiwior,0.0,DEF,0.0,2,0
17,Man City,0,0,0,0,0,2023-04-26T19:00:00Z,0,0.00,0,0.0,0,0,45,-0.5,0.00,0.0,0,40,536,751,0,false,0,0,0,0,Arsenal,329,0.00,0.00,28,33,Reuell Walters,0.0,DEF,0.0,2,0
-590,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,24,0.0,0.00,0.0,0,66,331114,29,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,614,33,Philippe Coutinho Correia,0.0,MID,0.0,1,0
-54353,Fulham,0,0,5,1,0,2023-04-25T18:45:00Z,0,0.10,0,5.4,0,0,11481,4.3,0.00,0.0,1,50,763680,31,0,true,21,90,0,1,Aston Villa,321,0.00,0.00,65834,33,Emiliano Martínez Romero,0.0,GK,0.5,1,0
33,Fulham,0,0,1,0,0,2023-04-25T18:45:00Z,0,0.00,0,3.0,0,0,152,0.7,0.00,0.1,0,42,18193,32,0,true,4,5,0,0,Aston Villa,321,0.00,0.00,119,33,Calum Chambers,0.0,DEF,0.3,1,0
-768,Fulham,0,0,1,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.2,0,0,1651,0.5,0.00,0.3,0,46,142955,33,0,true,3,13,0,0,Aston Villa,321,0.00,0.00,2419,33,Lucas Digne,0.0,DEF,0.1,1,0
-489,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,216,2.7,0.00,0.3,0,49,8528,34,0,true,-2,13,0,1,Aston Villa,321,0.00,0.00,705,33,Bertrand Traoré,2.0,MID,0.1,1,0
564,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,1995,0.2,0.00,0.0,0,39,165485,35,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,1431,33,Robin Olsen,0.0,GK,0.0,1,0
-59,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,43,21998,36,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,59,33,Morgan Sanson,0.0,MID,0.0,1,0
-880,Fulham,0,0,6,1,0,2023-04-25T18:45:00Z,0,0.10,0,28.8,0,1,1387,4.0,0.31,41.0,1,51,68415,37,0,true,21,90,0,0,Aston Villa,321,0.12,0.43,2267,33,John McGinn,24.0,MID,9.4,1,0
0,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,44,1020,38,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,0,33,Kortney Hause,0.0,DEF,0.0,1,0
47106,Fulham,0,3,15,1,0,2023-04-25T18:45:00Z,0,0.10,0,43.2,0,0,88470,6.5,0.01,1.1,1,46,1429098,39,1,true,39,90,0,0,Aston Villa,321,0.07,0.08,41364,33,Tyrone Mings,35.0,DEF,7.9,1,0
28373,Fulham,0,0,2,1,0,2023-04-25T18:45:00Z,0,0.10,0,2.0,0,0,149653,7.3,0.00,1.5,1,77,2719611,40,0,true,3,90,0,0,Aston Villa,321,0.25,0.25,121280,33,Ollie Watkins,23.0,FWD,2.7,1,0
-37,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,43,12826,41,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,37,33,Marvelous Nakamba,0.0,MID,0.0,1,0
-970,Fulham,0,0,3,1,0,2023-04-25T18:45:00Z,0,0.10,0,4.2,0,0,9578,3.8,0.06,13.8,1,57,126955,42,0,true,1,90,0,0,Aston Villa,321,0.16,0.22,10548,33,Emiliano Buendía Stati,9.0,MID,2.7,1,0
-7312,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,60,0.0,0.00,0.0,0,46,367416,43,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,7372,33,Matty Cash,0.0,DEF,0.0,1,0
