name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,2958,0,1,2,0.0,0,-28,0,28,53,False,0,Fulham
Junior Stanislas,MID,Bournemouth,0.0,0,0,0,0,0.0,58,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,2454,0,2,0,0.0,0,-37,16,53,48,True,0,Crystal Palace
Armando Broja,FWD,Chelsea,0.0,0,0,0,0,0.0,150,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,0,0,0,0,18,0,48382,0,1,1,0.0,0,-4881,100,4981,53,False,0,Nott'm Forest
Fabian Schär,DEF,Newcastle,6.0,0,0,17,1,4.2,366,0.19894,0.52454,0.3256,0.4746,176,0,0,4.1,7.6,2022-12-31T15:00:00Z,90,0,0,0,0,18,0,1283324,1,0,0,29.0,6,57864,85844,27980,49,True,0,Leeds
Jonny Evans,DEF,Leicester,0.0,0,0,0,0,0.0,249,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,0,0,0,0,18,0,19096,0,1,2,0.0,0,-550,38,588,44,False,0,Liverpool
Brennan Johnson,FWD,Nott'm Forest,1.0,0,0,5,0,11.3,394,0.04902,0.47452,0.4255,0.9406,177,1,0,7.0,9.4,2023-01-01T16:30:00Z,81,0,0,0,0,18,0,90810,1,1,1,49.0,2,-2050,2171,4221,56,True,0,Chelsea
Cheick Doucouré,MID,Crystal Palace,2.5,0,0,11,1,0.7,514,0.00392,0.17532,0.1714,0.5581,171,0,0,3.6,17.6,2022-12-31T15:00:00Z,90,0,0,0,0,18,0,11880,1,2,0,18.0,3,-182,134,316,50,False,0,Bournemouth
Oliver Hammond,MID,Nott'm Forest,-1.0,0,0,0,0,0.0,553,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,0,0,0,0,18,0,3915,0,1,1,0.0,0,-54,47,101,43,True,0,Chelsea
Luke Cundle,MID,Wolves,0.0,0,0,0,0,0.0,485,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2022-12-31T12:30:00Z,0,0,0,0,0,18,0,20773,0,1,0,0.0,0,-283,0,283,44,True,0,Man Utd
Fin Stevens,DEF,Brentford,0.0,0,0,0,0,0.0,540,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,0,0,0,0,18,0,15236,0,2,0,0.0,0,-190,0,190,40,False,0,West Ham
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0.0,451,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,0,0,0,0,18,0,31910,0,2,0,0.0,0,-72,300,372,39,True,0,Aston Villa
Luka Milivojevic,MID,Crystal Palace,0.5,0,0,0,0,0.0,158,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,43592,0,2,0,0.0,0,-675,866,1541,43,False,0,Bournemouth
Wesley Fofana,DEF,Chelsea,0.0,0,0,0,0,0.0,272,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,0,0,0,0,18,0,91314,0,1,1,0.0,0,-2212,221,2433,43,False,0,Nott'm Forest
Gianluca Scamacca,FWD,West Ham,0.8,0,0,5,0,2.6,529,0.00193,0.17103,0.1691,1.6274,179,2,0,3.6,6.4,2022-12-30T19:45:00Z,90,0,0,0,0,18,0,97514,1,2,0,27.0,2,-17064,361,17425,67,True,0,Brentford
Alisson Ramses Becker,GK,Liverpool,3.5,0,0,14,0,0.0,281,0.01287,0.01287,0.0,0.9925,174,1,0,1.5,15.0,2022-12-30T20:00:00Z,90,0,0,0,0,18,1,1733970,1,1,2,0.0,2,3503,32635,29132,55,True,0,Leicester
Che Adams,FWD,Southampton,3.5,1,0,9,0,11.6,411,0.02315,0.36515,0.342,1.5336,173,2,0,6.0,7.8,2022-12-31T15:00:00Z,90,0,0,0,0,18,0,199135,1,1,2,41.0,5,-20918,10270,31188,64,False,0,Fulham
Sam Greenwood,FWD,Leeds,2.0,0,0,0,0,0.0,237,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,1509030,0,0,0,0.0,0,20313,66597,46284,42,False,0,Newcastle
Nathaniel Chalobah,MID,Fulham,0.0,0,0,0,0,0.0,203,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,9660,0,1,2,0.0,0,-119,153,272,44,True,0,Southampton
Nathaniel Phillips,DEF,Liverpool,1.0,0,0,0,0,0.0,501,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,0,0,0,0,18,0,54041,0,1,2,0.0,0,117,1505,1388,39,True,0,Leicester
Loïc Mbe Soh,DEF,Nott'm Forest,-1.0,0,0,0,0,0.0,393,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,0,0,0,0,18,0,3764,0,1,1,0.0,0,-35,26,61,42,True,0,Chelsea
Jason Steele,GK,Brighton,-0.5,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,0,0,0,0,18,0,75402,0,4,2,0.0,0,-109,846,955,39,True,0,Arsenal
Shola Shoretire,FWD,Man Utd,0.0,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2022-12-31T12:30:00Z,0,0,0,0,0,18,0,2845,0,1,0,0.0,0,128,468,340,45,False,0,Wolves
Tosin Adarabioyo,DEF,Fulham,0.5,0,0,3,0,0.0,209,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,1,0,0,0,0,18,0,12939,0,1,2,0.0,1,-434,100,534,45,True,0,Southampton
Kalvin Phillips,MID,Man City,1.0,0,0,0,0,0.0,325,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,13114,0,1,1,0.0,0,-83,55,138,48,True,0,Everton
Carlos Ribeiro Dias,MID,Nott'm Forest,-1.0,0,0,0,0,0.0,383,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,0,0,0,0,18,0,39595,0,1,1,0.0,0,-927,152,1079,43,True,0,Chelsea
Marek Rodák,GK,Fulham,0.0,0,0,0,0,0.0,213,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,18494,0,1,2,0.0,0,-249,212,461,43,True,0,Southampton
Ryan Fraser,MID,Newcastle,0.0,0,0,0,0,0.0,359,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,7567,0,0,0,0.0,0,-96,151,247,52,True,0,Leeds
Luke Thomas,DEF,Leicester,0.0,0,0,17,0,13.7,270,0.00668,0.00668,0.0,2.1245,174,2,0,2.8,14.6,2022-12-30T20:00:00Z,90,0,0,0,0,18,0,17571,1,1,2,0.0,1,-153,578,731,42,False,0,Liverpool
Karl Darlow,GK,Newcastle,0.0,0,0,0,0,0.0,353,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,109355,0,0,0,0.0,0,-2187,256,2443,39,True,0,Leeds
Rodri,MID,Man City,6.0,0,0,15,0,49.2,315,0.24393,0.85613,0.6122,0.0857,175,1,0,12.2,22.6,2022-12-31T15:00:00Z,90,0,0,0,0,18,0,170423,1,1,1,50.0,2,3684,5997,2313,56,True,0,Everton
Cristiano Ronaldo,FWD,Man Utd,0.0,0,0,0,0,0.0,326,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2022-12-31T12:30:00Z,0,0,0,0,0,18,0,239925,0,1,0,0.0,0,-9258,0,9258,102,False,0,Wolves
Fraser Forster,GK,Spurs,1.5,0,0,0,0,0.0,426,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,0,0,0,0,18,0,417754,0,2,0,0.0,0,334,4576,4242,39,True,0,Aston Villa
Alex Oxlade-Chamberlain,MID,Liverpool,3.0,0,0,10,0,11.6,278,0.02076,0.16896,0.1482,0.9585,174,1,0,2.9,11.2,2022-12-30T20:00:00Z,61,0,0,0,0,18,0,1978,1,1,2,6.0,2,437,609,172,49,True,0,Leicester
Ethan Nwaneri,MID,Arsenal,0.5,0,0,0,0,0.0,630,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,0,0,0,0,18,0,833,0,4,2,0.0,0,-6,36,42,45,False,0,Brighton
Jack Grealish,MID,Man City,6.5,0,0,10,0,9.2,305,0.06479,0.17789,0.1131,0.0857,175,1,0,5.3,2.2,2022-12-31T15:00:00Z,86,0,0,0,0,18,0,128073,1,1,1,42.0,2,6618,8376,1758,68,True,0,Everton
James McAtee,MID,Man City,0.0,0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,412,0,1,1,0.0,0,-2,0,2,45,True,0,Everton
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,415,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,842,0,1,2,0.0,0,-9,0,9,45,False,0,Fulham
Martial Godo,MID,Fulham,0.0,0,0,0,0,0.0,641,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,418,0,1,2,0.0,0,-11,30,41,45,True,0,Southampton
Chris Wood,FWD,Newcastle,5.0,0,0,-3,1,13.1,354,0.02568,0.32378,0.2981,0.4234,176,0,0,3.8,3.6,2022-12-31T15:00:00Z,63,0,0,0,0,18,0,95620,1,0,0,21.0,2,27027,30516,3489,56,True,0,Leeds
Darren Randolph,GK,West Ham,0.0,0,0,0,0,0.0,571,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,0,0,0,0,18,0,16072,0,2,0,0.0,0,43,244,201,40,True,0,Brentford
Leander Dendoncker,MID,Aston Villa,0.0,0,0,0,0,0.0,479,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,0,0,0,0,18,0,8167,0,2,0,0.0,0,-102,109,211,47,False,0,Spurs
Allan Marques Loureiro,MID,Everton,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,6516,0,1,1,0.0,0,-73,0,73,48,False,0,Man City
Ibrahima Konaté,DEF,Liverpool,1.0,0,0,0,0,0.0,290,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,0,0,0,0,18,0,50134,0,1,2,0.0,0,-3596,2230,5826,48,True,0,Leicester
Aleksandar Mitrović,FWD,Fulham,7.5,0,0,-6,0,2.3,210,0.02491,0.83001,0.8051,0.7941,173,1,0,2.8,4.0,2022-12-31T15:00:00Z,90,0,1,0,0,18,0,2811141,1,1,2,22.0,0,788009,808322,20313,70,True,0,Southampton
Christian Eriksen,MID,Man Utd,4.0,0,0,14,1,20.3,519,0.06712,0.06712,0.0,0.3905,180,0,0,2.7,6.8,2022-12-31T12:30:00Z,60,0,0,0,0,18,0,348773,1,1,0,0.0,3,2497,13721,11224,63,False,0,Wolves
Joe Willock,MID,Newcastle,3.0,0,0,2,1,1.5,373,0.02235,0.06835,0.046,0.4234,176,0,0,1.7,6.4,2022-12-31T15:00:00Z,63,0,0,0,0,18,0,76216,1,0,0,9.0,3,-1551,4510,6061,49,True,0,Leeds
Yerson Mosquera Valdelamar,DEF,Wolves,0.0,0,0,0,0,0.0,494,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2022-12-31T12:30:00Z,0,0,0,0,0,18,0,127141,0,1,0,0.0,0,-762,1521,2283,39,True,0,Man Utd
Roméo Lavia,MID,Southampton,0.2,0,0,3,0,0.0,321,0.0,0.0,0.0,0.7884,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,1,0,0,0,0,18,0,20397,0,1,2,0.0,1,-573,27,600,45,False,0,Fulham
Kristoffer Ajer,DEF,Brentford,0.0,0,0,0,0,0.0,84,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,0,0,0,0,18,0,7587,0,2,0,0.0,0,-575,34,609,45,False,0,West Ham
Emmanuel Dennis,FWD,Nott'm Forest,-0.5,0,0,0,0,0.0,585,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,0,0,0,0,18,0,15529,0,1,1,0.0,0,-825,767,1592,58,True,0,Chelsea
Will Hughes,MID,Crystal Palace,1.0,0,0,2,0,0.1,163,0.00059,0.00059,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,2,0,0,0,0,18,0,3027,0,2,0,0.0,1,-16,37,53,48,False,0,Bournemouth
Joe Ayodele-Aribo,MID,Southampton,1.0,0,0,5,0,0.3,512,0.00085,0.00085,0.0,0.3805,173,1,0,0.8,3.4,2022-12-31T15:00:00Z,66,0,0,0,0,18,0,35990,1,1,2,4.0,2,-1277,190,1467,52,False,0,Fulham
Orel Mangala,MID,Nott'm Forest,0.5,0,0,4,0,1.1,536,0.00365,0.00365,0.0,0.6846,177,1,0,0.0,0.0,2023-01-01T16:30:00Z,77,0,0,0,0,18,0,2336,1,1,1,0.0,2,-11,31,42,49,True,0,Chelsea
Luke Plange,FWD,Crystal Palace,0.0,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,29832,0,2,0,0.0,0,-327,0,327,45,False,0,Bournemouth
Cristian Romero,DEF,Spurs,0.5,0,0,9,0,4.3,443,0.02323,0.02323,0.0,1.0022,178,2,0,1.2,7.6,2023-01-01T14:00:00Z,90,0,0,0,0,18,0,131343,1,2,0,0.0,0,-4133,879,5012,49,True,1,Aston Villa
Jack Harrison,MID,Leeds,1.5,0,0,8,1,33.3,233,0.20269,0.24269,0.04,1.8452,176,0,0,4.3,5.4,2022-12-31T15:00:00Z,63,0,0,0,0,18,0,173082,1,0,0,4.0,3,-8361,266,8627,58,False,0,Newcastle
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0,0.0,575,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,0,0,0,0,18,0,5595,0,2,0,0.0,0,-74,20,94,59,True,0,Brentford
Luis Sinisterra,MID,Leeds,0.0,0,0,0,0,0.0,508,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,27383,0,0,0,0.0,0,-916,38,954,65,False,0,Newcastle
Nathaniel Clyne,DEF,Crystal Palace,4.0,0,0,23,1,2.2,157,0.01261,0.01261,0.0,0.5581,171,0,0,2.1,16.8,2022-12-31T15:00:00Z,90,0,0,0,0,18,0,15267,1,2,0,2.0,6,307,873,566,45,False,0,Bournemouth
Stuart Armstrong,MID,Southampton,1.0,0,0,1,0,0.6,405,0.01468,0.08558,0.0709,1.1531,173,1,0,0.9,0.0,2022-12-31T15:00:00Z,23,0,0,0,0,18,0,9166,0,1,2,8.0,1,-131,242,373,47,False,0,Fulham
Oriol Romeu,MID,Southampton,0.0,0,0,0,0,0.0,402,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,3457,0,1,2,0.0,0,-31,0,31,48,False,0,Fulham
Tyler Roberts,MID,Leeds,0.0,0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,64,0,0,0,0.0,0,0,0,0,50,False,0,Newcastle
Lamare Bogarde,DEF,Aston Villa,-0.5,0,0,0,0,0.0,638,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,0,0,0,0,18,0,5037,0,2,0,0.0,0,17,243,226,40,False,0,Spurs
Harrison Ashby,DEF,West Ham,0.0,0,0,0,0,0.0,555,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,0,0,0,0,18,0,41928,0,2,0,0.0,0,224,986,762,39,True,0,Brentford
Lewis Brunt,DEF,Leicester,-1.0,0,0,0,0,0.0,273,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,0,0,0,0,18,0,36208,0,1,2,0.0,0,-120,480,600,39,False,0,Liverpool
Matt Ritchie,DEF,Newcastle,0.5,0,0,0,0,0.0,350,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,5962,0,0,0,0.0,0,91,190,99,42,True,0,Leeds
Jannik Vestergaard,DEF,Leicester,-1.0,0,0,0,0,0.0,253,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,0,0,0,0,18,0,662896,0,1,2,0.0,0,-4349,7249,11598,39,False,0,Liverpool
Enock Mwepu,MID,Brighton,0.0,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,0,0,0,0,18,0,5576,0,4,2,0.0,0,-87,0,87,53,True,0,Arsenal
Trevoh Chalobah,DEF,Chelsea,1.5,0,0,0,0,0.0,141,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,0,0,0,0,18,0,85727,0,1,1,0.0,0,-6109,2154,8263,47,False,0,Nott'm Forest
Chris Richards,DEF,Crystal Palace,0.0,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,5315,0,2,0,0.0,0,-11,55,66,44,False,0,Bournemouth
Cameron Plain,GK,Bournemouth,0.0,0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,1484,0,2,0,0.0,0,19,103,84,40,True,0,Crystal Palace
Diogo Teixeira da Silva,FWD,Liverpool,0.0,0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,0,0,0,0,18,0,31230,0,1,2,0.0,0,-370,110,480,88,True,0,Leicester
Martin Dubravka,GK,Man Utd,0.0,0,0,0,0,0.0,355,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2022-12-31T12:30:00Z,0,0,0,0,0,18,0,45457,0,1,0,0.0,0,-487,219,706,42,False,0,Wolves
Rodrigo Moreno,MID,Leeds,2.5,0,0,5,1,0.8,225,0.0041,0.1498,0.1457,1.9493,176,0,0,4.6,0.4,2022-12-31T15:00:00Z,81,0,0,0,0,18,0,658187,1,0,0,45.0,3,-36138,18579,54717,63,False,0,Newcastle
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0,0,0,0,0.0,490,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2022-12-31T12:30:00Z,0,0,0,0,0,18,0,414,0,1,0,0.0,0,10,38,28,50,True,0,Man Utd
Mohammed Salisu,DEF,Southampton,1.0,0,0,9,0,4.4,420,0.02792,0.17242,0.1445,0.7452,173,2,0,2.0,9.4,2022-12-31T15:00:00Z,89,0,0,0,0,18,0,21250,1,1,2,6.0,1,-210,679,889,44,False,0,Fulham
Frederico Rodrigues de Paula Santos,MID,Man Utd,3.0,0,0,0,0,5.1,331,0.00822,0.00822,0.0,0.2844,180,0,0,0.9,4.0,2022-12-31T12:30:00Z,29,0,0,0,0,18,0,49252,0,1,0,0.0,0,779,1675,896,51,False,1,Wolves
Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,117,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,0,0,0,0,18,0,1626,0,4,2,0.0,0,-19,25,44,44,True,0,Arsenal
Lucas Paquetá,MID,West Ham,2.0,0,0,20,0,36.2,603,0.05401,0.12501,0.071,1.6274,179,2,0,5.6,15.4,2022-12-30T19:45:00Z,81,0,0,0,0,18,0,65843,1,2,0,4.0,2,230,3882,3652,59,True,0,Brentford
Jean-Philippe Mateta,FWD,Crystal Palace,0.5,0,0,1,0,10.8,168,0.02482,0.09872,0.0739,0.0374,171,0,0,1.8,0.0,2022-12-31T15:00:00Z,16,0,0,0,0,18,0,47041,0,2,0,8.0,1,-1625,1770,3395,52,False,0,Bournemouth
Salomón Rondón,FWD,Everton,0.0,0,0,0,0,0.0,177,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,0,0,0,0,18,0,50148,0,1,1,0.0,0,-4786,0,4786,49,False,0,Man City
Liam Cooper,DEF,Leeds,4.0,0,1,30,1,0.4,221,0.00311,0.00311,0.0,2.0081,176,0,0,2.4,21.4,2022-12-31T15:00:00Z,90,0,0,0,0,18,0,6894,1,0,0,2.0,7,-281,127,408,44,False,0,Newcastle
