name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,0,0,0,0,13,0,3230,0,1,1,0.0,0,-69,0,69,53,True,0,Arsenal,Redmond
Junior Stanislas,MID,Bournemouth,-0.3,0,0,0,0,0.0,58,0.0,0.0,0.0,0.0,129,0,0,0.0,0.0,2022-10-24T19:00:00Z,0,0,0,0,0,13,0,2574,0,0,2,0.0,0,-4,61,65,48,False,0,West Ham,Stanislas
Armando Broja,FWD,Chelsea,3.1,1,0,10,0,0.0,150,0.0,0.0,0.0,0.0,122,1,0,0.2,0.0,2022-10-22T16:30:00Z,11,0,0,0,0,13,0,56233,0,1,1,2.0,4,43,3535,3492,53,True,0,Man Utd,Broja
Fabian Schär,DEF,Newcastle,4.1,0,0,12,0,1.3,366,0.0,0.0,0.0,0.0,128,1,0,6.6,35.0,2022-10-23T15:30:00Z,90,0,0,0,0,13,0,1260723,0,2,1,30.0,2,15311,78937,63626,49,False,0,Spurs,Schär
Jonny Evans,DEF,Leicester,0.7,0,0,0,0,0.0,249,0.0,0.0,0.0,0.0,130,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,0,0,0,0,13,0,23470,0,4,0,0.0,0,-2142,18,2160,44,False,0,Wolves,Evans
Brennan Johnson,FWD,Nott'm Forest,-0.1,0,0,-2,0,0.0,394,0.0,0.0,0.0,0.0,126,0,0,2.0,3.0,2022-10-22T11:30:00Z,26,0,0,0,0,13,0,106585,0,0,1,17.0,1,-11982,1766,13748,57,True,0,Liverpool,Johnson
Cheick Doucouré,MID,Crystal Palace,0.0,0,0,0,0,0.0,514,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,0,0,0,0,13,0,14842,0,0,3,0.0,0,-1219,272,1491,50,False,0,Everton,C.Doucouré
Oliver Hammond,MID,Nott'm Forest,-1.5,0,0,0,0,0.0,553,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,0,0,0,0,13,0,4114,0,0,1,0.0,0,59,229,170,44,True,0,Liverpool,Hammond
Luke Cundle,MID,Wolves,0.0,0,0,0,0,0.0,485,0.0,0.0,0.0,0.0,130,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,0,0,0,0,13,0,25311,0,4,0,0.0,0,-651,0,651,44,True,0,Leicester,Cundle
Fin Stevens,DEF,Brentford,0.0,0,0,0,0,0.0,540,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,0,0,0,0,13,0,18077,0,0,4,0.0,0,-446,0,446,40,False,0,Aston Villa,Stevens
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0.0,451,0.0,0.0,0.0,0.0,128,0,0,0.0,0.0,2022-10-23T15:30:00Z,0,0,0,0,0,13,0,31371,0,2,1,0.0,0,-378,213,591,40,True,0,Newcastle,Austin
