name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,season
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.0,0.0,0.0,0.0,209,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,0,0,0,0,21,0,2912,0,1,0,0.0,0,-12,0,12,53,True,0,Aston Villa,2022-23
Junior Stanislas,MID,Bournemouth,0.0,0,0,0,0,0.0,58,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,0,0,0,0,21,0,2293,0,1,1,0.0,0,-38,10,48,48,True,0,Nott'm Forest,2022-23
Armando Broja,FWD,Chelsea,0.0,0,0,0,0,0.0,150,0.0,0.0,0.0,0.0,207,0,0,0.0,0.0,2023-01-21T12:30:00Z,0,0,0,0,0,21,0,42669,0,0,0,0.0,0,-1376,164,1540,53,False,0,Liverpool,2022-23
Fabian Schär,DEF,Newcastle,6.0,0,0,26,1,11.5,366,0.03527,0.36747,0.3322,0.296,203,0,0,7.1,25.2,2023-01-21T17:30:00Z,90,0,0,0,0,21,0,1632526,1,0,0,34.0,6,166536,196530,29994,51,False,0,Crystal Palace,2022-23
Jonny Evans,DEF,Leicester,0.0,0,0,0,0,0.0,249,0.0,0.0,0.0,0.0,206,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,0,0,0,0,21,0,18032,0,2,2,0.0,0,-276,25,301,44,True,0,Brighton,2022-23
Brennan Johnson,FWD,Nott'm Forest,4.5,1,0,17,0,26.4,394,0.09864,0.36954,0.2709,1.3582,202,1,0,9.5,23.8,2023-01-21T15:00:00Z,90,0,0,0,0,21,0,156078,1,1,1,45.0,5,62167,68742,6575,56,False,0,Bournemouth,2022-23
Cheick Doucouré,MID,Crystal Palace,2.0,0,0,8,1,4.9,514,0.187,0.2271,0.0401,1.4079,203,0,0,2.3,14.2,2023-01-21T17:30:00Z,90,0,0,0,0,21,0,11833,1,0,0,4.0,2,-241,93,334,50,True,1,Newcastle,2022-23
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0.0,553,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,0,0,0,0,21,0,3849,0,1,1,0.0,0,-53,55,108,43,False,0,Bournemouth,2022-23
Luke Cundle,MID,Wolves,0.0,0,0,0,0,0.0,485,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,0,0,0,0,21,0,20023,0,0,3,0.0,0,-215,0,215,44,False,0,Man City,2022-23
Fin Stevens,DEF,Brentford,0.0,0,0,0,0,0.0,540,0.0,0.0,0.0,0.0,205,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,0,0,0,0,21,0,14817,0,0,0,0.0,0,-120,0,120,40,False,0,Leeds,2022-23
