name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Nathan Redmond,MID,Southampton,1.5,0,0,3,0,0.0,403,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,0,0,0,0,1,0,5871,0,1,4,0.0,1,0,0,0,55,False,0,Spurs,Redmond
Junior Stanislas,MID,Bournemouth,1.1,0,0,3,0,0.0,58,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,0,0,0,0,1,0,9491,0,0,2,0.0,1,0,0,0,50,True,0,Aston Villa,Stanislas
Armando Broja,FWD,Chelsea,2.0,0,0,3,0,0.3,150,0.0,0.0,0.0,0.0,3,0,0,2.5,5.2,2022-08-06T16:30:00Z,15,0,0,0,0,1,0,124903,0,1,0,19.0,1,0,0,0,55,False,0,Everton,Broja
Fabian Schär,DEF,Newcastle,2.4,0,3,43,1,14.6,366,0.0,0.0,0.0,0.0,7,0,1,10.6,66.0,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,40132,0,0,2,25.0,15,0,0,0,45,True,0,Nott'm Forest,Schär
Jonny Evans,DEF,Leicester,1.9,0,0,15,0,1.3,249,0.0,0.0,0.0,0.0,6,2,0,1.5,14.0,2022-08-07T13:00:00Z,90,0,0,0,0,1,0,24256,0,2,2,0.0,1,0,0,0,45,True,0,Brentford,Evans
Brennan Johnson,FWD,Nott'm Forest,1.3,0,0,3,0,0.9,394,0.0,0.0,0.0,0.0,7,2,0,0.6,0.0,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,171887,0,0,2,6.0,2,0,0,0,60,False,0,Newcastle,Johnson
Cheick Doucouré,MID,Crystal Palace,1.1,0,0,16,0,3.8,514,0.0,0.0,0.0,0.0,1,1,0,1.0,5.8,2022-08-05T19:00:00Z,74,0,0,0,0,1,0,9875,0,2,0,0.0,2,0,0,0,50,True,0,Arsenal,C.Doucouré
Oliver Hammond,MID,Nott'm Forest,0.5,0,0,0,0,0.0,553,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,3300,0,0,2,0.0,0,0,0,0,45,False,0,Newcastle,Hammond
Luke Cundle,MID,Wolves,1.5,0,0,0,0,0.0,485,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,36521,0,1,2,0.0,0,0,0,0,45,False,0,Leeds,Cundle
Fin Stevens,DEF,Brentford,1.0,0,0,0,0,0.0,540,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,0,0,0,0,1,0,15679,0,2,2,0.0,0,0,0,0,40,False,0,Leicester,Stevens
