name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.0,0.0,0.0,0.0,212,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,0,0,0,0,22,0,2889,0,0,3,0.0,0,-23,0,23,53,False,0,Brentford,Redmond
Junior Stanislas,MID,Bournemouth,0.0,0,0,0,0,0.0,58,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,0,0,0,0,22,0,2256,0,0,1,0.0,0,-40,12,52,48,False,0,Brighton,Stanislas
Armando Broja,FWD,Chelsea,0.0,0,0,0,0,0.0,150,0.0,0.0,0.0,0.0,214,0,0,0.0,0.0,2023-02-03T20:00:00Z,0,0,0,0,0,22,0,40877,0,0,0,0.0,0,-1793,75,1868,53,True,0,Fulham,Broja
Fabian Schär,DEF,Newcastle,4.7,0,0,5,0,2.1,366,0.02,0.16,0.14,1.01,217,1,0,2.1,10.8,2023-02-04T17:30:00Z,90,0,0,0,0,22,0,1891925,1,1,1,8.0,2,244146,289650,45504,52,True,0,West Ham,Schär
Jonny Evans,DEF,Leicester,0.0,0,0,0,0,0.0,249,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,0,0,0,0,22,0,17712,0,4,2,0.0,0,-328,30,358,44,False,0,Aston Villa,Evans
Enzo Fernández,MID,Chelsea,1.8,0,0,22,1,11.6,724,0.01,0.04,0.02,0.67,214,0,0,4.4,31.2,2023-02-03T20:00:00Z,90,0,0,0,0,22,0,29803,1,0,0,1.0,3,28047,30077,2030,50,True,0,Fulham,Enzo
Brennan Johnson,FWD,Nott'm Forest,8.2,0,3,34,1,24.5,394,0.08,0.12,0.05,0.79,218,0,1,8.8,46.4,2023-02-05T14:00:00Z,90,0,0,0,0,22,0,181834,1,0,1,17.0,9,24009,46590,22581,56,True,0,Leeds,Johnson
Cheick Doucouré,MID,Crystal Palace,2.8,1,1,29,0,11.2,514,0.01,0.05,0.04,2.04,216,2,0,4.1,25.8,2023-02-04T15:00:00Z,81,0,0,0,0,22,0,11602,1,1,2,4.0,6,-310,115,425,50,False,0,Man Utd,C.Doucouré
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0.0,553,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05T14:00:00Z,0,0,0,0,0,22,0,3834,0,0,1,0.0,0,-56,63,119,43,True,0,Leeds,Hammond
Luke Cundle,MID,Wolves,0.0,0,0,0,0,0.0,485,0.0,0.0,0.0,0.0,220,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,0,0,0,0,22,0,19644,0,0,3,0.0,0,-373,0,373,44,True,0,Liverpool,Cundle
Fin Stevens,DEF,Brentford,0.0,0,0,0,0,0.0,540,0.0,0.0,0.0,0.0,212,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,0,0,0,0,22,0,14565,0,0,3,0.0,0,-246,0,246,40,True,0,Southampton,Stevens
Brandon Austin,GK,Spurs,-0.5,0,0,0,0,0.0,451,0.0,0.0,0.0,0.0,219,0,0,0.0,0.0,2023-02-05T16:30:00Z,0,0,0,0,0,22,0,32284,0,0,1,0.0,0,346,936,590,39,True,0,Man City,Austin
Luka Milivojevic,MID,Crystal Palace,0.2,0,0,0,0,0.0,158,0.0,0.0,0.0,0.0,216,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,0,0,0,0,22,0,38534,0,1,2,0.0,0,-1238,625,1863,42,False,0,Man Utd,Milivojevic
