transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,expected_goal_involvements,expected_goals,fixture,transfers_out,round,name,position,threat,ict_index,penalties_saved,team_h_score
0,18,0,0,0,0,1,2022-08-06T14:00:00Z,0,0.00000,1,0.0,0,0,0,1.5,0.00000,0.0,0,55,5871,403,0,3,False,1,0,0,Southampton,0.00000,0.00000,8,0,1,Nathan Redmond,MID,0.0,0.0,0,4
0,2,0,0,0,0,1,2022-08-06T14:00:00Z,0,0.00000,0,0.0,0,0,0,1.1,0.00000,0.0,0,50,9491,58,0,3,True,1,0,0,Bournemouth,0.00000,0.00000,2,0,1,Junior Stanislas,MID,0.0,0.0,0,2
0,8,0,0,0,0,1,2022-08-06T16:30:00Z,0,0.00000,1,5.2,0,0,0,2.0,0.00000,0.3,0,55,124903,150,0,3,False,15,0,0,Chelsea,0.00000,0.00000,3,0,1,Armando Broja,FWD,19.0,2.5,0,0
0,16,3,0,1,0,15,2022-08-06T14:00:00Z,0,0.00000,0,66.0,0,0,0,2.4,0.00000,14.6,0,45,40132,366,1,43,True,90,0,0,Newcastle,0.00000,0.00000,7,0,1,Fabian Schär,DEF,25.0,10.6,0,2
0,4,0,0,0,2,1,2022-08-07T13:00:00Z,0,0.00000,2,14.0,0,0,0,1.9,0.00000,1.3,0,45,24256,249,0,15,True,90,0,0,Leicester,0.00000,0.00000,6,0,1,Jonny Evans,DEF,0.0,1.5,0,2
0,15,0,0,0,2,2,2022-08-06T14:00:00Z,0,0.00000,0,0.0,0,0,0,1.3,0.00000,0.9,0,60,171887,394,0,3,False,90,0,0,Nott'm Forest,0.00000,0.00000,7,0,1,Brennan Johnson,FWD,6.0,0.6,0,2
0,1,0,0,0,1,2,2022-08-05T19:00:00Z,0,0.00000,2,5.8,0,0,0,1.1,0.00000,3.8,0,50,9875,514,0,16,True,74,0,0,Crystal Palace,0.00000,0.00000,1,0,1,Cheick Doucouré,MID,0.0,1.0,0,0
0,15,0,0,0,0,0,2022-08-06T14:00:00Z,0,0.00000,0,0.0,0,0,0,0.5,0.00000,0.0,0,45,3300,553,0,0,False,0,0,0,Nott'm Forest,0.00000,0.00000,7,0,1,Oliver Hammond,MID,0.0,0.0,0,2
0,11,0,0,0,0,0,2022-08-06T14:00:00Z,0,0.00000,1,0.0,0,0,0,1.5,0.00000,0.0,0,45,36521,485,0,0,False,0,0,0,Wolves,0.00000,0.00000,5,0,1,Luke Cundle,MID,0.0,0.0,0,2
0,10,0,0,0,0,0,2022-08-07T13:00:00Z,0,0.00000,2,0.0,0,0,0,1.0,0.00000,0.0,0,40,15679,540,0,0,False,0,0,0,Brentford,0.00000,0.00000,6,0,1,Fin Stevens,DEF,0.0,0.0,0,2
0,17,0,0,0,0,0,2022-08-06T14:00:00Z,0,0.00000,1,0.0,0,0,0,1.5,0.00000,0.0,0,40,27621,451,0,0,True,0,0,0,Spurs,0.00000,0.00000,8,0,1,Brandon Austin,GK,0.0,0.0,0,4
0,1,0,0,0,1,1,2022-08-05T19:00:00Z,0,0.00000,2,0.8,0,0,0,0.5,0.00000,1.4,0,45,54854,158,0,3,True,15,0,0,Crystal Palace,0.00000,0.00000,1,0,1,Luka Milivojevic,MID,0.0,0.2,0,0
0,4,0,0,0,2,1,2022-08-07T13:00:00Z,0,0.00000,2,19.2,0,0,0,1.9,0.00000,3.3,0,45,128115,272,0,12,True,90,0,0,Leicester,0.00000,0.00000,6,0,1,Wesley Fofana,DEF,6.0,2.9,0,2
0,13,0,0,0,1,1,2022-08-07T15:30:00Z,0,0.00000,2,0.0,0,0,0,0.3,0.00000,0.7,0,70,100675,529,0,1,True,33,0,0,West Ham,0.00000,0.00000,10,0,1,Gianluca Scamacca,FWD,0.0,0.1,0,0
0,9,0,0,0,2,1,2022-08-06T11:30:00Z,0,0.00000,2,8.2,1,0,0,5.5,0.00000,0.0,0,55,1567712,281,0,11,False,90,0,0,Liverpool,0.00000,0.00000,4,0,1,Alisson Ramses Becker,GK,0.0,0.8,0,2
0,18,0,0,0,0,0,2022-08-06T14:00:00Z,0,0.00000,1,0.0,0,0,0,1.5,0.00000,0.0,0,65,61566,411,0,0,False,0,0,0,Southampton,0.00000,0.00000,8,0,1,Che Adams,FWD,0.0,0.0,0,4
0,20,0,0,0,0,1,2022-08-06T14:00:00Z,0,0.00000,1,0.4,0,0,0,0.5,0.00000,0.5,0,45,1895580,237,0,4,True,17,0,0,Leeds,0.00000,0.00000,5,0,1,Sam Greenwood,FWD,21.0,2.2,0,2
0,12,0,0,0,0,0,2022-08-06T11:30:00Z,0,0.00000,2,0.0,0,0,0,0.0,0.00000,0.0,0,45,12756,203,0,0,True,0,0,0,Fulham,0.00000,0.00000,4,0,1,Nathaniel Chalobah,MID,0.0,0.0,0,2
0,9,0,0,0,0,0,2022-08-06T11:30:00Z,0,0.00000,2,0.0,0,0,0,2.5,0.00000,0.0,0,40,19157,501,0,0,False,0,0,0,Liverpool,0.00000,0.00000,4,0,1,Nathaniel Phillips,DEF,0.0,0.0,0,2
0,15,0,0,0,0,0,2022-08-06T14:00:00Z,0,0.00000,0,0.0,0,0,0,1.4,0.00000,0.0,0,45,3761,393,0,0,False,0,0,0,Nott'm Forest,0.00000,0.00000,7,0,1,Loïc Mbe Soh,DEF,0.0,0.0,0,2
0,14,0,0,0,0,0,2022-08-07T13:00:00Z,0,0.00000,2,0.0,0,0,0,0.5,0.00000,0.0,0,40,75605,102,0,0,False,0,0,0,Brighton,0.00000,0.00000,9,0,1,Jason Steele,GK,0.0,0.0,0,1
0,12,0,0,0,2,1,2022-08-06T11:30:00Z,0,0.00000,2,18.4,0,0,0,0.4,0.00000,0.4,0,45,5971,209,0,11,True,90,0,0,Fulham,0.00000,0.00000,4,0,1,Tosin Adarabioyo,DEF,0.0,1.9,0,2
0,19,0,0,0,0,1,2022-08-07T15:30:00Z,0,0.00000,2,0.6,0,0,0,2.6,0.00000,0.5,0,50,45423,325,0,3,False,1,0,0,Man City,0.00000,0.00000,10,0,1,Kalvin Phillips,MID,0.0,0.1,0,0
0,15,0,0,0,0,0,2022-08-06T14:00:00Z,0,0.00000,0,0.0,0,0,0,0.5,0.00000,0.0,0,45,42723,383,0,0,False,0,0,0,Nott'm Forest,0.00000,0.00000,7,0,1,Carlos Ribeiro Dias,MID,0.0,0.0,0,2
0,12,0,0,0,2,1,2022-08-06T11:30:00Z,0,0.00000,2,10.2,1,0,0,0.7,0.00000,0.0,0,45,12206,213,0,11,True,90,0,0,Fulham,0.00000,0.00000,4,0,1,Marek Rodák,GK,0.0,1.0,0,2
0,16,0,0,0,0,1,2022-08-06T14:00:00Z,0,0.00000,0,2.2,0,0,0,2.5,0.00000,10.3,0,55,14743,359,0,4,True,9,0,0,Newcastle,0.00000,0.00000,7,0,1,Ryan Fraser,MID,0.0,1.3,0,2
0,4,0,0,0,0,0,2022-08-07T13:00:00Z,0,0.00000,2,0.0,0,0,0,1.9,0.00000,0.0,0,45,8036,270,0,0,True,0,0,0,Leicester,0.00000,0.00000,6,0,1,Luke Thomas,DEF,0.0,0.0,0,2
