transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,season,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
7176,Brighton,0,0,1,0,1,2023-05-14T15:30:00Z,0,0.96,3.0,3.6,0,0,12485,3.8,2022-23,0.02,21.9,1,48,295114,3,0,True,2,59,0,0,Arsenal,351,0.1,0.12,5309,36,Granit Xhaka,4.0,MID,3.0,0.0,0
-103,Brighton,0,0,0,0,0,2023-05-14T15:30:00Z,0,0.0,3.0,0.0,0,0,344,0.0,2022-23,0.0,0.0,0,41,65059,4,0,True,0,0,0,0,Arsenal,351,0.0,0.0,447,36,Mohamed Elneny,0.0,MID,0.0,0.0,0
-684,Brighton,0,0,0,0,0,2023-05-14T15:30:00Z,0,0.0,3.0,0.0,0,0,671,2.0,2022-23,0.0,0.0,0,42,20209,5,0,True,0,0,0,0,Arsenal,351,0.0,0.0,1355,36,Rob Holding,0.0,DEF,0.0,0.0,0
-363,Brighton,0,0,0,0,2,2023-05-14T15:30:00Z,0,0.82,3.0,5.2,0,0,350,1.5,2022-23,0.06,21.3,0,47,50377,6,0,True,3,30,0,1,Arsenal,351,0.0,0.06,713,36,Thomas Partey,2.0,MID,2.9,0.0,0
307003,Brighton,0,0,2,0,1,2023-05-14T15:30:00Z,0,1.08,3.0,1.4,0,0,323482,8.2,2022-23,0.07,21.8,1,67,3479666,7,0,True,5,76,0,0,Arsenal,351,0.06,0.13,16479,36,Martin Ødegaard,7.0,MID,3.0,0.0,0
2641,Brighton,0,0,1,0,3,2023-05-14T15:30:00Z,0,1.78,3.0,9.0,0,0,3151,1.2,2022-23,0.0,0.8,1,46,83636,8,0,True,8,90,0,0,Arsenal,351,0.0,0.0,510,36,Kieran Tierney,0.0,DEF,1.0,0.0,0
-8,Brighton,0,0,0,0,0,2023-05-14T15:30:00Z,0,0.0,3.0,0.0,0,0,0,0.0,2022-23,0.0,0.0,0,53,11426,9,0,True,0,0,0,0,Arsenal,351,0.0,0.0,8,36,Nicolas Pépé,0.0,MID,0.0,0.0,0
25480,Brighton,0,0,1,0,3,2023-05-14T15:30:00Z,0,1.78,3.0,14.8,0,0,55198,3.7,2022-23,0.01,2.6,1,50,1751844,10,0,True,10,90,0,0,Arsenal,351,0.0,0.01,29718,36,Ben White,0.0,DEF,1.7,0.0,0
-3299,Brighton,0,0,1,0,2,2023-05-14T15:30:00Z,0,0.7,3.0,2.4,0,0,333,1.2,2022-23,0.0,10.4,0,63,202319,11,0,True,3,13,0,0,Arsenal,351,0.0,0.0,3632,36,Eddie Nketiah,4.0,FWD,1.7,0.0,0
-41,Brighton,0,0,1,0,2,2023-05-14T15:30:00Z,0,0.7,3.0,0.4,0,0,80,0.8,2022-23,0.04,0.6,0,56,41192,12,0,True,2,13,0,0,Arsenal,351,0.0,0.04,121,36,Emile Smith Rowe,0.0,MID,0.1,0.0,0
