name,transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,threat,position,ict_index,team_h_score,penalties_saved,season
Bukayo Saka,-96482,Southampton,0,3,13,0,3,2023-04-21T19:00:00Z,0,1.42,3,69.2,0,1,71803,4.8,0.49,70.9,1,85,4585971,13,1,True,44,90,0,0,Arsenal,311,0.33,0.82,168285,32,44.0,MID,18.4,3,0,2022-23
Takehiro Tomiyasu,-598,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,8,0.0,0.0,0.0,0,42,56521,14,0,True,0,0,0,0,Arsenal,311,0.0,0.0,606,32,0.0,DEF,0.0,3,0,2022-23
Aaron Ramsdale,7336,Southampton,0,0,2,0,3,2023-04-21T19:00:00Z,0,1.42,3,17.8,3,0,28742,2.8,0.0,0.0,1,49,1313066,15,0,True,11,90,0,0,Arsenal,311,0.0,0.0,21406,32,0.0,GK,1.8,3,0,2022-23
Gabriel,38629,Southampton,0,0,1,0,3,2023-04-21T19:00:00Z,0,1.42,3,15.4,0,0,78246,2.2,0.03,14.8,1,53,1868052,16,0,True,18,90,0,0,Arsenal,311,0.0,0.03,39617,32,0.0,DEF,3.0,3,0,2022-23
Nuno Tavares,-2,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,45,766,17,0,True,0,0,0,0,Arsenal,311,0.0,0.0,2,32,0.0,DEF,0.0,3,0,2022-23
Gabriel Martinelli,221574,Southampton,0,2,9,0,3,2023-04-21T19:00:00Z,0,1.42,3,51.8,0,0,239592,9.0,0.47,80.1,1,69,5292806,19,1,True,40,84,0,0,Arsenal,311,0.27,0.74,18018,32,43.0,MID,17.5,3,0,2022-23
Pablo Marí Villar,-2,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,45,1738,20,0,True,0,0,0,0,Arsenal,311,0.0,0.0,2,32,0.0,DEF,0.0,3,0,2022-23
Lucas Torreira di Pascua,-16,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,45,8761,22,0,True,0,0,0,0,Arsenal,311,0.0,0.0,16,32,0.0,MID,0.0,3,0,2022-23
Reiss Nelson,-76,Southampton,0,0,4,0,0,2023-04-21T19:00:00Z,0,0.0,3,6.2,0,1,52,2.2,0.01,12.3,0,47,4300,23,0,True,11,5,0,0,Arsenal,311,0.11,0.12,128,32,22.0,MID,4.1,3,0,2022-23
Matt Turner,-1073,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,1808,1.0,0.0,0.0,0,38,141704,24,0,True,0,0,0,0,Arsenal,311,0.0,0.0,2881,32,0.0,GK,0.0,3,0,2022-23
Fábio Vieira,-10,Southampton,0,0,1,0,2,2023-04-21T19:00:00Z,0,0.78,3,0.8,0,0,64,1.8,0.21,20.6,1,56,15302,25,0,True,3,56,0,0,Arsenal,311,0.1,0.31,74,32,8.0,MID,2.9,3,0,2022-23
William Saliba,-152654,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,234,0.0,0.0,0.0,0,50,2040885,26,0,True,0,0,0,0,Arsenal,311,0.0,0.0,152888,32,0.0,DEF,0.0,3,0,2022-23
Marquinhos,-21,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,46,7630,27,0,True,0,0,0,0,Arsenal,311,0.0,0.0,21,32,0.0,MID,0.0,3,0,2022-23
