name,transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,threat,position,ict_index,team_h_score,penalties_saved,web_name
Granit Xhaka,6470,Liverpool,0,0,1,0,2,2023-04-09T15:30:00Z,0,3.96,2,6.6,0,0,10283,6.3,0.01,2.2,1,49,288288,3,0,False,11,90,0,1,Arsenal,296,0.04,0.05,3813,30,7.0,MID,1.6,2,0,Xhaka
Mohamed Elneny,-478,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,233,0.0,0.0,0.0,0,41,66519,4,0,False,0,0,0,0,Arsenal,296,0.0,0.0,711,30,0.0,MID,0.0,2,0,Elneny
Rob Holding,480,Liverpool,0,0,1,0,2,2023-04-09T15:30:00Z,0,3.96,2,18.6,0,0,737,1.7,0.0,3.2,1,42,13335,5,0,False,10,90,0,0,Arsenal,296,0.0,0.0,257,30,2.0,DEF,2.4,2,0,Holding
Thomas Partey,-359,Liverpool,0,0,2,0,2,2023-04-09T15:30:00Z,0,3.96,2,17.6,0,0,617,1.7,0.0,3.8,1,47,50384,6,0,False,18,90,0,0,Arsenal,296,0.0,0.0,976,30,0.0,MID,2.1,2,0,Partey
Martin Ødegaard,-60902,Liverpool,0,0,2,0,1,2023-04-09T15:30:00Z,0,2.15,2,4.0,0,0,44522,3.3,0.01,1.8,1,67,3395392,7,0,False,5,79,0,0,Arsenal,296,0.05,0.06,105424,30,9.0,MID,1.5,2,0,Ødegaard
Kieran Tierney,-128,Liverpool,0,0,1,0,0,2023-04-09T15:30:00Z,0,1.17,2,1.2,0,0,246,2.0,0.0,0.3,0,46,78631,8,0,False,3,2,0,0,Arsenal,296,0.04,0.04,374,30,4.0,DEF,0.6,2,0,Tierney
Nicolas Pépé,-8,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,53,11488,9,0,False,0,0,0,0,Arsenal,296,0.0,0.0,8,30,0.0,MID,0.0,2,0,Pépé
Benjamin White,219438,Liverpool,0,0,0,0,2,2023-04-09T15:30:00Z,0,3.96,2,11.0,0,0,239266,4.3,0.0,0.8,1,48,1582014,10,0,False,9,90,0,1,Arsenal,296,0.0,0.0,19828,30,0.0,DEF,1.2,2,0,White
Eddie Nketiah,-27877,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,140,0.0,0.0,0.0,0,65,238821,11,0,False,0,0,0,0,Arsenal,296,0.0,0.0,28017,30,0.0,FWD,0.0,2,0,Nketiah
Emile Smith Rowe,-77,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,149,0.7,0.0,0.0,0,56,40949,12,0,False,0,0,0,0,Arsenal,296,0.0,0.0,226,30,0.0,MID,0.0,2,0,Smith Rowe
Bukayo Saka,-10478,Liverpool,0,0,1,0,2,2023-04-09T15:30:00Z,0,3.96,2,13.4,0,0,93204,6.7,0.21,41.2,1,86,4640888,13,0,False,11,90,0,1,Arsenal,296,0.0,0.21,103682,30,12.0,MID,6.7,2,0,Saka
Takehiro Tomiyasu,-1027,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,18,0.0,0.0,0.0,0,42,57909,14,0,False,0,0,0,0,Arsenal,296,0.0,0.0,1045,30,0.0,DEF,0.0,2,0,Tomiyasu
Aaron Ramsdale,-24604,Liverpool,0,0,1,0,2,2023-04-09T15:30:00Z,0,3.96,2,34.0,4,0,8391,2.3,0.0,0.0,1,49,1302682,15,0,False,12,90,0,1,Arsenal,296,0.0,0.0,32995,30,0.0,GK,3.4,2,0,Ramsdale
Gabriel dos Santos Magalhães,52962,Liverpool,0,0,1,0,2,2023-04-09T15:30:00Z,0,3.96,2,38.6,0,0,97168,1.7,0.0,0.4,1,52,1781260,16,0,False,14,90,0,0,Arsenal,296,0.11,0.11,44206,30,17.0,DEF,5.6,2,0,Gabriel
Nuno Varela Tavares,0,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,45,770,17,0,False,0,0,0,0,Arsenal,296,0.0,0.0,0,30,0.0,DEF,0.0,2,0,Tavares
Gabriel Martinelli Silva,17266,Liverpool,0,3,13,0,2,2023-04-09T15:30:00Z,0,3.96,2,65.8,0,1,87814,8.3,0.42,48.9,1,66,4262782,19,1,False,35,90,0,0,Arsenal,296,0.15,0.57,70548,30,37.0,MID,15.2,2,0,Martinelli
Pablo Marí Villar,-5,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,45,1744,20,0,False,0,0,0,0,Arsenal,296,0.0,0.0,5,30,0.0,DEF,0.0,2,0,Pablo Marí
Lucas Torreira di Pascua,-13,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,45,8797,22,0,False,0,0,0,0,Arsenal,296,0.0,0.0,13,30,0.0,MID,0.0,2,0,Torreira
Reiss Nelson,-261,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,55,0.0,0.0,0.0,0,47,4466,23,0,False,0,0,0,0,Arsenal,296,0.0,0.0,316,30,0.0,MID,0.0,2,0,Nelson
Matt Turner,612,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,2384,0.0,0.0,0.0,0,38,142125,24,0,False,0,0,0,0,Arsenal,296,0.0,0.0,1772,30,0.0,GK,0.0,2,0,Turner
Fábio Ferreira Vieira,-64,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,60,0.3,0.0,0.0,0,56,15286,25,0,False,0,0,0,0,Arsenal,296,0.0,0.0,124,30,0.0,MID,0.0,2,0,Fábio Vieira
William Saliba,-462770,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,267,0.0,0.0,0.0,0,51,2456567,26,0,False,0,0,0,0,Arsenal,296,0.0,0.0,463037,30,0.0,DEF,0.0,2,0,Saliba
