name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,season
Nathan Redmond,MID,Southampton,-0.3,0,0,0,0,0.0,403,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2022-08-27T11:30:00Z,0,0,0,0,0,4,0,5352,0,1,0,0.0,0,-800,145,945,54,True,0,Man Utd,2022-23
Junior Stanislas,MID,Bournemouth,0.0,0,0,0,0,0.0,58,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,5341,0,0,9,0.0,0,-2093,103,2196,49,False,0,Liverpool,2022-23
Armando Broja,FWD,Chelsea,1.0,0,0,0,0,0.0,150,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,75964,0,1,2,0.0,0,-23103,1092,24195,54,True,0,Leicester,2022-23
Fabian Schär,DEF,Newcastle,5.2,0,0,11,0,31.1,366,0.0,0.0,0.0,0.0,40,1,0,5.5,13.2,2022-08-28T13:00:00Z,90,0,0,0,0,4,0,830397,0,1,1,11.0,1,86674,164452,77778,47,False,1,Wolves,2022-23
Jonny Evans,DEF,Leicester,0.3,0,0,17,0,1.0,249,0.0,0.0,0.0,0.0,35,2,0,1.6,12.8,2022-08-27T14:00:00Z,90,0,0,0,0,4,0,28748,0,1,2,2.0,1,-2483,1088,3571,45,False,0,Chelsea,2022-23
Brennan Johnson,FWD,Nott'm Forest,2.2,0,0,5,0,3.3,394,0.0,0.0,0.0,0.0,38,2,0,3.1,1.6,2022-08-28T15:30:00Z,90,0,0,0,0,4,0,164821,0,2,0,26.0,1,12784,31958,19174,59,True,1,Spurs,2022-23
Cheick Doucouré,MID,Crystal Palace,1.0,0,0,9,0,0.6,514,0.0,0.0,0.0,0.0,37,4,0,2.5,17.0,2022-08-27T14:00:00Z,90,0,0,0,0,4,0,12952,0,2,4,7.0,2,-1725,921,2646,50,False,0,Man City,2022-23
Oliver Hammond,MID,Nott'm Forest,-1.0,0,0,0,0,0.0,553,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,0,0,0,0,4,0,3942,0,2,0,0.0,0,-475,170,645,45,True,0,Spurs,2022-23
Luke Cundle,MID,Wolves,0.0,0,0,0,0,0.0,485,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2022-08-28T13:00:00Z,0,0,0,0,0,4,0,40408,0,1,1,0.0,0,292,6015,5723,44,True,0,Newcastle,2022-23
Fin Stevens,DEF,Brentford,0.0,0,0,0,0,0.0,540,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,30275,0,1,1,0.0,0,-744,2485,3229,40,True,0,Everton,2022-23
Brandon Austin,GK,Spurs,1.0,0,0,0,0,0.0,451,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,0,0,0,0,4,0,33341,0,2,0,0.0,0,-1083,810,1893,40,False,0,Nott'm Forest,2022-23
Luka Milivojevic,MID,Crystal Palace,-0.2,0,0,0,0,0.0,158,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,59431,0,2,4,0.0,0,-6715,2622,9337,45,False,0,Man City,2022-23
