name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,334,0,0,0,0,2023-04-29T14:00:00Z,0,Brighton,0,0,0,0,34,0,18575,0,0,6,0,0,-47,0,47,44,FALSE,0,2022-23
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,333,0,0,0,0,2023-04-29T14:00:00Z,0,Nott'm Forest,0,0,0,0,34,0,13803,0,1,2,0,0,-40,0,40,40,TRUE,0,2022-23
Brandon Austin,GK,Spurs,-0.5,0,0,0,0,0,451,0,0,0,0,338,0,0,0,0,2023-04-30T15:30:00Z,0,Liverpool,0,0,0,0,34,0,31907,0,3,4,0,0,-66,158,224,39,FALSE,0,2022-23
Luka Milivojevic,MID,Crystal Palace,1,0,0,3,0,0,158,0,0,0,0,335,0,0,0,0,2023-04-29T11:30:00Z,1,West Ham,0,0,0,0,34,0,35699,0,3,4,0,1,-73,376,449,42,TRUE,0,2022-23
George Wickens,GK,Fulham,-1.5,0,0,0,0,0,747,0,0,0,0,336,0,0,0,0,2023-04-30T13:00:00Z,0,Man City,0,0,0,0,34,0,586,0,2,1,0,0,-61,64,125,40,TRUE,0,2022-23
George Wickens,GK,Fulham,-1.5,0,0,0,0,0,747,0,0,0,0,276,0,0,0,0,2023-05-03T19:00:00Z,0,Liverpool,0,0,0,0,34,0,586,0,0,1,0,0,-61,64,125,40,FALSE,0,2022-23
Wesley Fofana,DEF,Chelsea,0.5,0,0,18,0,1.3,272,0,0,0,2.07,331,3,0,1.6,14.2,2023-05-02T19:00:00Z,85,Arsenal,0,0,0,0,34,0,110792,1,1,3,0,1,-4376,1395,5771,43,FALSE,0,2022-23
Gianluca Scamacca,FWD,West Ham,0,0,0,0,0,0,529,0,0,0,0,335,0,0,0,0,2023-04-29T11:30:00Z,0,Crystal Palace,0,0,0,0,34,0,69067,0,3,4,0,0,-284,59,343,66,FALSE,0,2022-23
Gianluca Scamacca,FWD,West Ham,0,0,0,0,0,0,529,0,0,0,0,277,0,0,0,0,2023-05-03T19:00:00Z,0,Man City,0,0,0,0,34,0,69067,0,0,3,0,0,-284,59,343,66,FALSE,0,2022-23
Alisson,GK,Liverpool,7.6,0,0,18,0,0,281,0,0,0,1.99,338,3,0,2.2,21.8,2023-04-30T15:30:00Z,90,Spurs,0,0,0,0,34,3,1746421,1,3,4,0,2,15295,46027,30732,54,TRUE,0,2022-23
