name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,season
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0.0,451,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,0,0,0,0,10,0,32234,0,1,0,0.0,0,-380,533,913,40,False,0,Brighton,2022-23
Luka Milivojevic,MID,Crystal Palace,0.5,0,0,1,0,0.1,158,0.0,0.0,0.0,0.0,95,0,0,0.1,1.2,2022-10-09T13:00:00Z,26,0,0,0,0,10,0,46864,0,1,2,0.0,1,-2362,1368,3730,44,True,0,Leeds,2022-23
Wesley Fofana,DEF,Chelsea,0.0,0,0,0,0,0.0,272,0.0,0.0,0.0,0.0,94,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,225352,0,0,3,0.0,0,-35962,25584,61546,44,True,0,Wolves,2022-23
Gianluca Scamacca,FWD,West Ham,5.7,0,3,24,0,21.8,529,0.0,0.0,0.0,0.0,100,1,1,12.3,38.4,2022-10-09T13:00:00Z,79,0,0,0,0,10,0,130808,0,1,3,63.0,9,84891,90669,5778,67,True,0,Fulham,2022-23
Alisson,GK,Liverpool,2.5,0,0,21,0,0.1,281,0.0,0.0,0.0,0.0,91,3,0,3.6,36.2,2022-10-09T15:30:00Z,90,0,0,0,0,10,4,1438231,0,2,3,0.0,2,-105280,15811,121091,54,False,0,Arsenal,2022-23
Che Adams,FWD,Southampton,2.0,0,0,6,0,2.4,411,0.0,0.0,0.0,0.0,97,4,0,1.2,5.6,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,96204,0,0,4,4.0,2,-2397,12170,14567,64,False,0,Man City,2022-23
Sam Greenwood,FWD,Leeds,0.0,0,0,0,0,0.0,237,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,1197760,0,1,2,0.0,0,-7898,80792,88690,43,False,0,Crystal Palace,2022-23
Nathaniel Chalobah,MID,Fulham,0.0,0,0,0,0,0.0,203,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,11304,0,1,3,0.0,0,-1751,140,1891,44,False,0,West Ham,2022-23
Nathaniel Phillips,DEF,Liverpool,0.5,0,0,0,0,0.0,501,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,0,0,0,0,10,0,46447,0,2,3,0.0,0,-480,1728,2208,40,False,0,Arsenal,2022-23
Loïc Mbe Soh,DEF,Nott'm Forest,-0.5,0,0,0,0,0.0,393,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,0,0,0,0,10,0,3703,0,1,1,0.0,0,-56,55,111,43,True,0,Aston Villa,2022-23
