transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,team_a_score,influence,saves,assists,transfers_in,xP,creativity,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,fixture,transfers_out,round,name,position,threat,ict_index,penalties_saved,team_h_score
0,Leeds,0,0,0,0,0,2021-08-14T11:30:00Z,0,1,0.0,0,0,0,0.0,0.0,50,9363,286,0,0,True,0,0,0,Man Utd,6,0,1,Eric Bailly,DEF,0.0,0.0,0,5
0,Watford,0,0,0,0,0,2021-08-14T14:00:00Z,0,2,0.0,0,0,0,0.4,0.0,45,169789,49,0,0,False,0,0,0,Aston Villa,8,0,1,Keinan Davis,FWD,0.0,0.0,0,3
0,Aston Villa,0,0,0,0,0,2021-08-14T14:00:00Z,0,2,0.0,0,0,0,0.0,0.0,45,4092,394,0,0,True,0,0,0,Watford,8,0,1,Ayotomiwa Dele-Bashiru,MID,0.0,0.0,0,3
0,Everton,0,0,0,3,2,2021-08-14T14:00:00Z,0,1,21.6,0,0,0,2.3,30.5,65,299682,341,0,20,False,90,0,0,Southampton,4,0,1,James Ward-Prowse,MID,0.0,5.2,0,3
0,Leeds,3,0,0,1,20,2021-08-14T11:30:00Z,0,1,106.2,0,0,0,4.4,35.9,120,3381004,277,3,61,True,90,0,0,Man Utd,6,0,1,Bruno Miguel Borges Fernandes,MID,59.0,20.1,0,5
0,Norwich,0,0,0,0,0,2021-08-14T16:30:00Z,0,3,0.0,0,0,0,2.8,0.0,45,17548,223,0,0,False,0,0,0,Liverpool,7,0,1,Adrián San Miguel del Castillo,GK,0.0,0.0,0,0
0,Chelsea,0,0,0,3,2,2021-08-14T14:00:00Z,0,0,24.8,0,0,0,0.5,26.0,45,16857,148,0,22,False,90,0,0,Crystal Palace,3,0,1,James McArthur,MID,4.0,5.5,0,3
0,Aston Villa,0,0,0,0,0,2021-08-14T14:00:00Z,0,2,0.0,0,0,0,0.5,0.0,45,6634,405,0,0,True,0,0,0,Watford,8,0,1,Kwadwo Baah,MID,0.0,0.0,0,3
0,West Ham,0,0,0,0,0,2021-08-15T13:00:00Z,0,4,0.0,0,0,0,0.0,0.0,45,1515,301,0,0,True,0,0,0,Newcastle,9,0,1,Paul Dummett,DEF,0.0,0.0,0,2
0,Chelsea,0,0,0,3,2,2021-08-14T14:00:00Z,0,0,2.8,0,0,0,0.9,5.4,50,2741,157,0,8,False,76,0,0,Crystal Palace,3,0,1,Jairo Riedewald,MID,0.0,0.8,0,3
0,Burnley,3,0,0,0,9,2021-08-14T14:00:00Z,0,2,38.2,0,0,0,2.4,0.4,55,3931,74,1,28,False,14,0,0,Brighton,2,0,1,Alexis Mac Allister,MID,17.0,5.6,0,1
0,Burnley,0,0,0,0,0,2021-08-14T14:00:00Z,0,2,0.0,0,0,0,0.0,0.0,55,203,66,0,0,False,0,0,0,Brighton,2,0,1,Alireza Jahanbakhsh,MID,0.0,0.0,0,1
0,Leicester,0,0,0,0,0,2021-08-14T14:00:00Z,0,0,0.0,0,0,0,0.4,0.0,50,8049,428,0,0,False,0,0,0,Wolves,5,0,1,Willy Boly,DEF,0.0,0.0,0,1
0,Leeds,0,0,0,0,0,2021-08-14T11:30:00Z,0,1,0.0,0,0,0,2.2,0.0,45,4750,510,0,0,True,0,0,0,Man Utd,6,0,1,José Diogo Dalot Teixeira,DEF,0.0,0.0,0,5
0,Chelsea,0,0,0,2,1,2021-08-14T14:00:00Z,0,0,1.0,0,0,0,1.4,1.4,55,4667,155,0,3,False,56,0,0,Crystal Palace,3,0,1,Jeffrey Schlupp,MID,4.0,0.6,0,3
0,Aston Villa,0,0,0,0,0,2021-08-14T14:00:00Z,0,2,0.0,0,0,0,0.0,0.0,55,21981,468,0,0,True,0,0,0,Watford,8,0,1,Joshua King,FWD,0.0,0.0,0,3
0,Southampton,3,0,0,1,11,2021-08-14T14:00:00Z,0,1,63.8,0,1,0,2.4,29.3,75,640325,180,1,41,True,88,0,1,Everton,4,0,1,Richarlison de Andrade,FWD,37.0,13.0,0,3
0,Newcastle,0,0,0,0,0,2021-08-15T13:00:00Z,0,4,0.0,0,0,0,2.0,0.0,40,0,554,0,0,False,0,0,0,West Ham,9,0,1,Jamal Baptiste,DEF,0.0,0.0,0,2
0,Liverpool,0,0,0,0,0,2021-08-14T16:30:00Z,0,3,0.0,0,0,0,0.0,0.0,45,2098,321,0,0,True,0,0,0,Norwich,7,0,1,Sam Byram,DEF,0.0,0.0,0,0
0,Aston Villa,0,0,0,0,0,2021-08-14T14:00:00Z,0,2,0.0,0,0,0,1.2,0.0,45,47198,377,0,0,True,0,0,0,Watford,8,0,1,Danny Rose,DEF,0.0,0.0,0,3
0,Spurs,0,0,0,1,2,2021-08-15T15:30:00Z,0,0,6.6,1,0,0,4.5,0.0,60,683423,257,0,10,False,90,0,0,Man City,10,0,1,Ederson Santana de Moraes,GK,0.0,0.7,0,1
