name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Mads Bidstrup,MID,Brentford,0.0,0,0,0,0,0.0,97,262,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,5137,2,0,0.0,0,-145,0,145,44,True,0,Newcastle,Bidstrup
Jean-Philippe Gbamin,MID,Everton,0.0,0,0,0,0,0.0,504,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,2793,1,0,0.0,0,-46,20,66,44,True,0,Man City,Gbamin
Ashley Westwood,MID,Burnley,1.8,0,0,3,0,0.7,107,265,0,0,0.6,5.2,2022-02-26T15:00:00Z,30,0,0,0,0,27,0,29565,1,1,0.0,1,562,2776,2214,53,False,0,Crystal Palace,Westwood
Ashley Westwood,MID,Burnley,1.8,0,0,10,0,31.7,107,213,1,0,5.8,16.0,2022-03-01T19:45:00Z,87,0,0,0,0,27,0,29565,2,0,10.0,2,562,2776,2214,53,True,0,Leicester,Westwood
William Troost-Ekong,DEF,Watford,-1.0,0,0,0,0,0.0,387,268,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,8298,0,0,0.0,0,-119,61,180,43,False,0,Man Utd,Troost-Ekong
James Rodríguez,MID,Everton,0.0,0,0,0,0,0.0,166,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,42849,1,0,0.0,0,-71,0,71,69,True,0,Man City,James
Yves Bissouma,MID,Brighton,1.5,0,0,7,0,13.9,70,263,2,0,2.2,4.4,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,467624,2,0,4.0,1,-3834,3410,7244,44,True,1,Aston Villa,Bissouma
Cheikhou Kouyaté,DEF,Crystal Palace,1.3,0,0,5,0,0.6,150,265,0,0,0.3,2.4,2022-02-26T15:00:00Z,6,0,0,0,0,27,0,50061,1,1,0.0,1,550,1122,572,45,True,0,Burnley,Kouyaté
Joe Rodon,DEF,Spurs,0.5,0,0,0,0,0.0,374,267,0,0,0.0,0.0,2022-02-26T12:30:00Z,0,0,0,0,0,27,0,5767,4,0,0.0,0,1,88,87,42,False,0,Leeds,Rodon
Nemanja Matic,MID,Man Utd,1.6,0,0,15,1,22.3,271,268,0,0,3.6,13.6,2022-02-26T15:00:00Z,73,0,0,0,0,27,0,30655,0,0,0.0,3,596,1678,1082,43,True,0,Watford,Matic
Remi Matthews,GK,Crystal Palace,0.5,0,0,0,0,0.0,561,265,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,45111,1,1,0.0,0,1354,2437,1083,39,True,0,Burnley,Matthews
Mbwana Ally Samatta,FWD,Aston Villa,0.0,0,0,0,0,0.0,48,263,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,59,2,0,0.0,0,0,0,0,55,False,0,Brighton,Samatta
Nathan Aké,DEF,Man City,2.5,0,0,0,0,0.0,258,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,36227,1,0,0.0,0,-242,335,577,47,False,0,Everton,Aké
Morgan Gibbs-White,MID,Wolves,0.0,0,0,0,0,0.0,440,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,0,0,0,0,27,0,9716,0,1,0.0,0,-53,0,53,45,False,0,West Ham,Gibbs-White
