name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Jamal Lewis,DEF,Newcastle,0.0,0,0,0,0,0.0,311,262,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,7539,2,0,0.0,0,-176,22,198,42,False,0,Brentford,Lewis
Toby Alderweireld,DEF,Spurs,0.0,0,0,0,0,0.0,355,267,0,0,0.0,0.0,2022-02-26T12:30:00Z,0,0,0,0,0,27,0,1589,4,0,0.0,0,-5,0,5,50,False,0,Leeds,Alderweireld
Florin Andone,FWD,Brighton,0.0,0,0,0,0,0.0,500,263,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,4140,2,0,0.0,0,-16,0,16,50,True,0,Aston Villa,Andone
Scott McTominay,MID,Man Utd,0.0,0,0,0,0,0.0,285,268,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,42556,0,0,0.0,0,-9801,1095,10896,54,True,0,Watford,McTominay
John Stones,DEF,Man City,4.5,0,2,27,1,16.4,252,266,0,0,4.0,17.0,2022-02-26T17:30:00Z,90,0,0,0,0,27,0,238662,1,0,7.0,8,-837,1663,2500,52,False,0,Everton,Stones
Daniel Chesters,MID,West Ham,0.0,0,0,0,0,0.0,710,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,0,0,0,0,27,0,112,0,1,0.0,0,39,45,6,45,True,0,Wolves,Chesters
Jadon Sancho,MID,Man Utd,6.2,0,0,4,0,3.0,485,268,0,0,1.3,1.4,2022-02-26T15:00:00Z,28,0,0,0,0,27,0,397416,0,0,9.0,1,69823,75760,5937,89,True,0,Watford,Sancho
Tommy Doyle,MID,Man City,0.0,0,0,0,0,0.0,566,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,265,1,0,0.0,0,-1,0,1,45,False,0,Everton,Doyle
Taylor Richards,MID,Brighton,0.0,0,0,0,0,0.0,537,263,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,2322,2,0,0.0,0,-31,0,31,45,True,0,Aston Villa,Richards
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa,0.0,0,0,0,0,0.0,37,263,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,1567,2,0,0.0,0,-79,0,79,54,False,0,Brighton,Trézéguet
Christian Nørgaard,MID,Brentford,3.0,0,0,9,0,19.6,77,262,2,0,4.3,12.0,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,56710,2,0,11.0,2,2939,4083,1144,50,True,0,Newcastle,Nørgaard
James McArthur,MID,Crystal Palace,2.5,0,1,18,0,14.2,148,265,1,0,3.1,15.2,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,134606,1,1,2.0,3,2112,4810,2698,43,True,0,Burnley,McArthur
Harrison Ashby,DEF,West Ham,0.0,0,0,0,0,0.0,617,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,0,0,0,0,27,0,4325,0,1,0.0,0,-29,69,98,40,True,0,Wolves,Ashby
Finley Stevens,DEF,Brentford,-0.5,0,0,0,0,0.0,569,262,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,25074,2,0,0.0,0,-111,714,825,39,True,0,Newcastle,Stevens
Rodrigo Moreno,FWD,Leeds,2.9,0,0,-2,0,22.6,187,267,1,0,5.6,4.2,2022-02-26T12:30:00Z,45,0,0,0,0,27,0,119955,4,0,29.0,0,11490,16638,5148,62,True,1,Spurs,Rodrigo
Emmanuel Dennis,FWD,Watford,1.7,0,0,-1,1,2.8,450,268,0,0,3.5,7.0,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,3016461,0,0,25.0,2,-32539,91048,123587,61,False,0,Man Utd,Dennis
Joe Hart,GK,Spurs,0.0,0,0,0,0,0.0,352,267,0,0,0.0,0.0,2022-02-26T12:30:00Z,0,0,0,0,0,27,0,1535,4,0,0.0,0,-3,0,3,45,False,0,Leeds,Hart
Winston Reid,DEF,West Ham,0.0,0,0,0,0,0.0,410,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,0,0,0,0,27,0,73428,0,1,0.0,0,-723,0,723,39,True,0,Wolves,Reid
Dejan Kulusevski,MID,Spurs,5.3,0,0,30,1,14.0,701,267,0,1,13.4,42.4,2022-02-26T12:30:00Z,77,0,0,0,0,27,0,94256,4,0,78.0,8,59286,63379,4093,60,False,0,Leeds,Kulusevski
Amad Diallo,MID,Man Utd,0.0,0,0,0,0,0.0,636,268,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,376,0,0,0.0,0,-13,0,13,50,True,0,Watford,Diallo
Miguel Almirón,MID,Newcastle,1.0,0,0,3,0,0.0,308,262,0,0,1.0,3.0,2022-02-26T15:00:00Z,1,0,0,0,0,27,0,18711,2,0,7.0,1,-79,216,295,51,False,0,Brentford,Almirón
Daniel Castelo Podence,MID,Wolves,3.2,0,0,4,0,22.2,438,270,0,0,3.5,5.2,2022-02-27T14:00:00Z,30,0,0,0,0,27,0,35359,0,1,8.0,1,10957,13152,2195,55,False,0,West Ham,Podence
Nathaniel Clyne,DEF,Crystal Palace,1.7,0,0,12,0,3.9,493,265,1,0,2.7,13.8,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,8332,1,1,9.0,2,177,258,81,43,True,0,Burnley,Clyne
Ben Davies,DEF,Spurs,2.5,0,0,20,1,0.5,364,267,0,0,6.1,27.6,2022-02-26T12:30:00Z,90,0,0,0,0,27,0,148974,4,0,33.0,5,-2631,4479,7110,45,False,1,Leeds,Davies
Wilfred Ndidi,MID,Leicester,2.7,0,0,17,1,2.8,216,213,0,0,2.1,16.8,2022-03-01T19:45:00Z,90,0,0,0,0,27,0,75409,2,0,1.0,3,14,660,646,48,False,0,Burnley,Ndidi
Joshua Wilson-Esbrand,DEF,Man City,1.0,0,0,0,0,0.0,604,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,11337,1,0,0.0,0,42,816,774,39,False,0,Everton,Wilson-Esbrand
Jacob Sørensen,DEF,Norwich,-0.5,0,0,0,0,0.0,327,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,0,0,0,0,27,0,4084,0,2,0.0,0,-25,20,45,43,False,0,Southampton,Sørensen
Jan Zamburek,MID,Brentford,0.0,0,0,0,0,0.0,93,262,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,52839,2,0,0.0,0,-953,0,953,44,True,0,Newcastle,Zamburek
Tayo Adaramola,DEF,Crystal Palace,0.5,0,0,0,0,0.0,709,265,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,763,1,1,0.0,0,186,206,20,40,True,0,Burnley,Adaramola
Shane Long,FWD,Southampton,2.3,0,0,2,0,0.0,519,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,7,0,0,0,0,27,0,18143,0,2,0.0,1,1342,1895,553,54,True,0,Norwich,Long
Patrick Bamford,FWD,Leeds,0.0,0,0,0,0,0.0,189,267,0,0,0.0,0.0,2022-02-26T12:30:00Z,0,0,0,0,0,27,0,262977,4,0,0.0,0,-1366,109,1475,77,True,0,Spurs,Bamford
Kgaogelo Chauke,MID,Southampton,0.5,0,0,0,0,0.0,680,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,0,0,0,0,27,0,148,0,2,0.0,0,10,37,27,45,True,0,Norwich,Chauke
Dimitris Giannoulis,DEF,Norwich,-0.5,0,0,0,0,0.0,457,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,0,0,0,0,27,0,5473,0,2,0.0,0,-8,41,49,44,False,0,Southampton,Giannoulis
Ajibola Alese,DEF,West Ham,0.0,0,0,0,0,0.0,644,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,0,0,0,0,27,0,2074,0,1,0.0,0,-23,74,97,40,True,0,Wolves,Alese
Abdoulaye Doucouré,MID,Everton,-0.5,0,0,14,0,14.1,173,266,1,0,3.5,16.8,2022-02-26T17:30:00Z,90,0,0,0,0,27,0,104762,1,0,4.0,2,-2527,78,2605,53,True,0,Man City,Doucouré
Stuart Dallas,MID,Leeds,0.9,0,0,13,0,25.6,188,267,4,0,6.7,10.6,2022-02-26T12:30:00Z,90,0,0,0,0,27,0,275050,4,0,31.0,1,-3019,1240,4259,49,True,1,Spurs,Dallas
Jannik Vestergaard,DEF,Leicester,0.7,0,0,0,0,0.0,340,213,0,0,0.0,0.0,2022-03-01T19:45:00Z,0,0,0,0,0,27,0,41526,2,0,0.0,0,-191,257,448,47,False,0,Burnley,Vestergaard
Moussa Djenepo,MID,Southampton,1.0,0,0,3,0,0.0,350,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,1,0,0,0,0,27,0,4103,0,2,0.0,1,26,61,35,52,True,0,Norwich,Djenepo
Theo Walcott,MID,Southampton,0.7,0,0,0,0,0.0,332,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,0,0,0,0,27,0,10112,0,2,0.0,0,61,169,108,58,True,0,Norwich,Walcott
Jonathan Castro Otto,DEF,Wolves,0.0,0,0,0,0,0.0,433,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,0,0,0,0,27,0,8567,0,1,0.0,0,-73,211,284,45,False,0,West Ham,Jonny
Wesley Moraes,FWD,Aston Villa,0.0,0,0,0,0,0.0,47,263,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,8959,2,0,0.0,0,-44,0,44,54,False,0,Brighton,Wesley
Josh Benson,MID,Burnley,0.0,0,0,0,0,0.0,116,265,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,185,1,1,0.0,0,-1,0,1,45,False,0,Crystal Palace,Benson
Josh Benson,MID,Burnley,0.0,0,0,0,0,0.0,116,213,0,0,0.0,0.0,2022-03-01T19:45:00Z,0,0,0,0,0,27,0,185,2,0,0.0,0,-1,0,1,45,True,0,Leicester,Benson
