name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Kortney Hause,DEF,Aston Villa,0.0,0,0,0,0,0.0,36,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,16199,1,0,0.0,0,-134,122,256,44,True,0,Arsenal
Tyrone Mings,DEF,Aston Villa,4.3,0,0,7,0,0.6,38,291,1,0,0.9,8.2,2022-03-19T12:30:00Z,90,0,0,0,0,30,0,660538,1,0,0.0,1,21171,29722,8551,50,True,1,Arsenal
Ainsley Maitland-Niles,MID,Arsenal,0.0,0,0,0,0,0.0,13,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,4172,1,0,0.0,0,-26,0,26,52,False,0,Aston Villa
Jaden Philogene-Bidace,MID,Aston Villa,0.0,0,0,0,0,0.0,497,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,1524,1,0,0.0,0,-11,0,11,50,True,0,Arsenal
Björn Engels,DEF,Aston Villa,0.0,0,0,0,0,0.0,31,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,39,1,0,0.0,0,0,0,0,45,True,0,Arsenal
Tariqe Fosu-Henry,MID,Brentford,-0.3,0,0,4,0,4.8,79,293,0,0,3.1,5.2,2022-03-20T14:00:00Z,16,0,0,0,0,30,0,2789,1,2,21.0,1,12,32,20,51,False,0,Leicester
Thomas Partey,MID,Arsenal,5.0,0,0,10,1,16.8,15,291,0,0,3.8,14.0,2022-03-19T12:30:00Z,90,0,0,0,0,30,0,44361,1,0,7.0,2,12266,13245,979,50,False,1,Aston Villa
Karl Hein,GK,Arsenal,0.0,0,0,0,0,0.0,532,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,33114,1,0,0.0,0,-407,0,407,40,False,0,Aston Villa
Raúl Jiménez,FWD,Wolves,2.8,0,0,-16,0,11.2,430,300,3,0,1.3,0.0,2022-03-18T20:00:00Z,52,0,0,0,1,30,0,1470324,3,2,12.0,-2,180287,201587,21300,76,True,0,Leeds
Boubakary Soumaré,MID,Leicester,0.5,0,0,4,0,0.3,458,293,1,0,0.4,4.0,2022-03-20T14:00:00Z,11,0,0,0,0,30,0,7197,1,2,0.0,1,-90,28,118,48,True,0,Brentford
Héctor Bellerín,DEF,Arsenal,0.0,0,0,0,0,0.0,9,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,18144,1,0,0.0,0,-32,0,32,48,False,0,Aston Villa
Lucas Torreira,MID,Arsenal,0.0,0,0,0,0,0.0,18,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,10942,1,0,0.0,0,-33,0,33,45,False,0,Aston Villa
Nampalys Mendy,MID,Leicester,1.5,0,0,13,0,2.7,203,293,1,0,0.7,4.2,2022-03-20T14:00:00Z,90,0,0,0,0,30,0,99631,1,2,0.0,2,1684,4623,2939,43,True,0,Brentford
Alex Kral,MID,West Ham,0.0,0,0,0,0,0.0,589,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,9676,1,3,0.0,0,-84,25,109,44,False,0,Spurs
Josh Feeney,DEF,Aston Villa,-0.5,0,0,0,0,0.0,670,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,1043,1,0,0.0,0,21,69,48,40,True,0,Arsenal
Bertrand Traoré,MID,Aston Villa,-0.3,0,0,1,0,1.6,32,291,0,0,0.6,0.0,2022-03-19T12:30:00Z,21,0,0,0,0,30,0,25496,1,0,8.0,1,33,114,81,57,True,0,Arsenal
Christian Nørgaard,MID,Brentford,2.3,0,0,11,0,5.6,77,293,2,0,1.2,6.4,2022-03-20T14:00:00Z,90,0,0,0,0,30,0,53911,1,2,0.0,1,871,1713,842,50,False,1,Leicester
Wesley Fofana,DEF,Leicester,0.5,0,0,0,0,0.0,220,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,41239,1,2,0.0,0,7400,7614,214,43,True,0,Brentford
Arthur Masuaku,DEF,West Ham,0.0,0,0,0,0,5.9,417,298,2,0,1.2,5.8,2022-03-20T16:30:00Z,56,0,0,0,0,30,0,12132,1,3,0.0,0,-89,195,284,44,False,0,Spurs
Eddie Nketiah,FWD,Arsenal,1.8,0,0,1,0,1.4,20,291,0,0,0.1,0.0,2022-03-19T12:30:00Z,12,0,0,0,0,30,0,24619,1,0,0.0,1,1211,2412,1201,54,False,0,Aston Villa
Mateusz Klich,MID,Leeds,0.6,0,0,4,0,0.4,186,300,1,0,0.4,3.2,2022-03-18T20:00:00Z,45,0,0,0,0,30,0,26513,3,2,0.0,1,94,327,233,52,False,0,Wolves
Andriy Yarmolenko,MID,West Ham,1.4,0,0,2,0,0.6,412,298,1,0,0.3,0.0,2022-03-20T16:30:00Z,34,0,0,0,0,30,0,13077,1,3,4.0,1,1424,1564,140,51,False,0,Spurs
Leander Dendoncker,MID,Wolves,2.2,0,0,5,0,2.3,434,300,3,0,3.4,8.8,2022-03-18T20:00:00Z,90,0,0,0,0,30,0,34558,3,2,23.0,2,266,2169,1903,47,True,0,Leeds
Hee-Chan Hwang,FWD,Wolves,2.6,0,0,3,0,0.0,583,300,1,0,1.0,3.0,2022-03-18T20:00:00Z,12,0,0,0,0,30,0,385027,3,2,7.0,1,-283,28330,28613,54,True,0,Leeds
