name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Eric Bailly,DEF,Man Utd,0.0,0,0,0,0,0.0,286,228,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,0,0,0,0,23,0,11164,0,1,0.0,0,-326,42,368,49,True,0,West Ham,Bailly
Keinan Davis,FWD,Aston Villa,0.0,0,0,0,0,0.0,49,225,0,0,0.0,0.0,2022-01-22T12:30:00Z,0,0,0,0,0,23,0,178454,1,0,0.0,0,-15944,0,15944,45,False,0,Everton,Davis
Ayotomiwa Dele-Bashiru,MID,Watford,0.0,0,0,0,0,0.0,394,230,0,0,0.0,0.0,2022-01-21T20:00:00Z,0,0,0,0,0,23,0,901,3,0,0.0,0,-8,0,8,45,True,0,Norwich,Dele-Bashiru
Ayotomiwa Dele-Bashiru,MID,Watford,0.0,0,0,0,0,0.0,394,164,0,0,0.0,0.0,2022-02-05T18:00:00Z,0,0,0,0,0,23,0,901,0,0,0.0,0,-8,0,8,45,False,0,Burnley,Dele-Bashiru
James Ward-Prowse,MID,Southampton,4.0,0,0,16,0,28.8,341,229,1,0,5.1,22.2,2022-01-22T17:30:00Z,90,0,0,0,0,23,0,300618,1,1,0.0,2,15503,36877,21374,63,True,0,Man City,Ward-Prowse
Bruno Miguel Borges Fernandes,MID,Man Utd,8.7,0,0,12,1,45.3,277,228,0,0,6.2,9.8,2022-01-22T15:00:00Z,90,0,0,0,0,23,0,1840063,0,1,7.0,3,285654,313634,27980,117,True,0,West Ham,Fernandes
Adrián San Miguel del Castillo,GK,Liverpool,1.0,0,0,0,0,0.0,223,224,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,0,0,0,0,23,0,16272,3,1,0.0,0,-96,65,161,43,False,0,Crystal Palace,Adrián
James McArthur,MID,Crystal Palace,0.0,0,0,0,0,0.0,148,224,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,0,0,0,0,23,0,110840,3,1,0.0,0,-5255,1125,6380,43,True,0,Liverpool,McArthur
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,564,225,0,0,0.0,0.0,2022-01-22T12:30:00Z,0,0,0,0,0,23,0,1117,1,0,0.0,0,-1,0,1,60,True,0,Aston Villa,Kean
Kwadwo Baah,MID,Watford,0.0,0,0,0,0,0.0,405,230,0,0,0.0,0.0,2022-01-21T20:00:00Z,0,0,0,0,0,23,0,6343,3,0,0.0,0,-58,236,294,43,True,0,Norwich,Baah
Kwadwo Baah,MID,Watford,0.0,0,0,0,0,0.0,405,164,0,0,0.0,0.0,2022-02-05T18:00:00Z,0,0,0,0,0,23,0,6343,0,0,0.0,0,-58,236,294,43,False,0,Burnley,Baah
Paul Dummett,DEF,Newcastle,2.5,0,0,16,1,0.5,301,226,0,0,1.1,10.0,2022-01-22T15:00:00Z,62,0,0,0,0,23,0,1067,1,0,0.0,5,76,122,46,45,False,1,Leeds,Dummett
Jairo Riedewald,MID,Crystal Palace,-1.0,0,0,0,0,0.0,157,224,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,0,0,0,0,23,0,2580,3,1,0.0,0,-21,29,50,47,True,0,Liverpool,Riedewald
Alexis Mac Allister,MID,Brighton,3.7,0,0,20,0,17.8,74,227,1,0,5.2,17.6,2022-01-23T14:00:00Z,90,0,0,0,0,23,0,72014,1,1,17.0,2,-2640,7092,9732,53,False,0,Leicester,Mac Allister
Alireza Jahanbakhsh,MID,Brighton,0.0,0,0,0,0,0.0,66,227,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,0,0,0,0,23,0,102,1,1,0.0,0,0,0,0,55,False,0,Leicester,Jahanbakhsh
Willy Boly,DEF,Wolves,0.0,0,0,0,0,0.0,428,222,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,0,0,0,0,23,0,6805,2,1,0.0,0,-138,28,166,49,False,0,Brentford,Boly
José Diogo Dalot Teixeira,DEF,Man Utd,4.0,0,3,38,1,26.7,510,228,0,0,5.7,21.4,2022-01-22T15:00:00Z,90,0,0,0,0,23,0,214191,0,1,9.0,9,-7878,9042,16920,45,True,0,West Ham,Dalot
Jeffrey Schlupp,MID,Crystal Palace,2.0,0,0,6,0,3.7,155,224,3,0,2.1,8.8,2022-01-23T14:00:00Z,90,0,0,0,0,23,0,5157,3,1,8.0,1,-179,450,629,54,True,1,Liverpool,Schlupp
Samuel Kalu,MID,Watford,3.3,0,0,0,0,0.0,698,230,0,0,0.0,0.0,2022-01-21T20:00:00Z,0,0,0,0,0,23,0,0,3,0,0.0,0,0,0,0,50,True,0,Norwich,Kalu
Samuel Kalu,MID,Watford,3.3,0,0,0,0,0.0,698,164,0,0,0.0,0.0,2022-02-05T18:00:00Z,0,0,0,0,0,23,0,0,0,0,0.0,0,0,0,0,50,False,0,Burnley,Kalu
Robert Elliot,GK,Watford,0.0,0,0,0,0,0.0,574,230,0,0,0.0,0.0,2022-01-21T20:00:00Z,0,0,0,0,0,23,0,54964,3,0,0.0,0,-1301,137,1438,40,True,0,Norwich,Elliot
Robert Elliot,GK,Watford,0.0,0,0,0,0,0.0,574,164,0,0,0.0,0.0,2022-02-05T18:00:00Z,0,0,0,0,0,23,0,54964,0,0,0.0,0,-1301,137,1438,40,False,0,Burnley,Elliot
Joshua King,FWD,Watford,3.4,0,0,14,0,14.3,468,230,3,0,3.3,6.0,2022-01-21T20:00:00Z,90,0,0,0,0,23,0,925137,3,0,13.0,2,176552,340355,163803,58,True,0,Norwich,King
Joshua King,FWD,Watford,3.4,0,0,4,1,24.7,468,164,0,0,8.5,14.0,2022-02-05T18:00:00Z,90,0,0,0,0,23,0,925137,0,0,46.0,1,176552,340355,163803,58,False,1,Burnley,King
Richarlison de Andrade,FWD,Everton,4.5,0,0,-1,0,2.4,180,225,1,0,3.7,0.6,2022-01-22T12:30:00Z,90,0,0,0,0,23,0,329381,1,0,34.0,2,21932,27096,5164,74,True,0,Aston Villa,Richarlison
Jamal Baptiste,DEF,West Ham,0.0,0,0,0,0,0.0,554,228,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,0,0,0,0,23,0,20761,0,1,0.0,0,-176,102,278,40,False,0,Man Utd,Baptiste
Filip Marschall,GK,Aston Villa,0.0,0,0,0,0,0.0,650,225,0,0,0.0,0.0,2022-01-22T12:30:00Z,0,0,0,0,0,23,0,731,1,0,0.0,0,3,55,52,40,False,0,Everton,Marschall
Sam Byram,DEF,Norwich,0.7,0,0,3,0,1.3,321,230,0,0,0.4,2.4,2022-01-21T20:00:00Z,3,0,0,0,0,23,0,1310,3,0,0.0,1,77,117,40,44,False,0,Watford,Byram
Danny Rose,DEF,Watford,0.0,0,0,0,0,0.0,377,230,0,0,0.0,0.0,2022-01-21T20:00:00Z,0,0,0,0,0,23,0,19603,3,0,0.0,0,-218,347,565,42,True,0,Norwich,Rose
Danny Rose,DEF,Watford,0.0,0,0,0,0,0.0,377,164,0,0,0.0,0.0,2022-02-05T18:00:00Z,0,0,0,0,0,23,0,19603,0,0,0.0,0,-218,347,565,42,False,0,Burnley,Rose
Ederson Santana de Moraes,GK,Man City,5.0,0,0,11,0,0.0,257,229,1,0,1.7,16.8,2022-01-22T17:30:00Z,90,0,0,0,0,23,2,1075882,1,1,0.0,2,60900,80693,19793,61,False,0,Southampton,Ederson
Dion Sanderson,DEF,Wolves,0.0,0,0,0,0,0.0,686,222,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,0,0,0,0,23,0,291,2,1,0.0,0,169,190,21,40,False,0,Brentford,Sanderson
Liam Cooper,DEF,Leeds,0.0,0,0,0,0,0.0,184,226,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,0,0,0,0,23,0,21968,1,0,0.0,0,-707,95,802,44,True,0,Newcastle,Cooper
Frédéric Guilbert,DEF,Aston Villa,0.0,0,0,0,0,0.0,46,225,0,0,0.0,0.0,2022-01-22T12:30:00Z,0,0,0,0,0,23,0,1170,1,0,0.0,0,-6,0,6,45,False,0,Everton,Guilbert
Matt Targett,DEF,Aston Villa,-0.5,0,0,0,0,0.0,39,225,0,0,0.0,0.0,2022-01-22T12:30:00Z,0,0,0,0,0,23,0,191144,1,0,0.0,0,-12783,2806,15589,47,False,0,Everton,Targett
James McAtee,MID,Man City,1.0,0,0,0,0,0.0,629,229,0,0,0.0,0.0,2022-01-22T17:30:00Z,0,0,0,0,0,23,0,286,1,1,0.0,0,-6,21,27,44,False,0,Southampton,McAtee
Adama Traoré,MID,Wolves,3.5,0,0,0,0,1.3,435,222,0,0,0.2,0.2,2022-01-22T15:00:00Z,15,0,0,0,0,23,0,124292,2,1,0.0,1,2379,4821,2442,56,False,0,Brentford,Traoré
Jorge Luiz Frello Filho,MID,Chelsea,1.8,0,0,17,1,13.6,123,223,0,0,2.7,13.4,2022-01-23T16:30:00Z,72,0,0,0,0,23,0,547913,0,2,0.0,2,-54559,13556,68115,59,True,1,Spurs,Jorginho
Diogo Jota,MID,Liverpool,5.0,1,0,16,0,22.8,240,224,1,0,4.9,10.8,2022-01-23T14:00:00Z,90,0,0,0,0,23,0,3546479,3,1,15.0,5,275390,331714,56324,84,False,0,Crystal Palace,Jota
Ilkay Gündogan,MID,Man City,1.5,0,0,0,0,0.0,250,229,0,0,0.0,0.0,2022-01-22T17:30:00Z,0,0,0,0,0,23,0,298683,1,1,0.0,0,-30000,4711,34711,73,False,0,Southampton,Gündogan
