name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Eric Bailly,DEF,Man Utd,0.4,0,0,0,0,0.0,286,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,11647,0,1,0.0,0,-92,11,103,49,False,0,Crystal Palace,Bailly
Keinan Davis,FWD,Aston Villa,0.0,0,0,0,0,0.0,49,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,129785,2,3,0.0,0,-1579,0,1579,45,False,0,Man City,Davis
Ayotomiwa Dele-Bashiru,MID,Watford,0.0,0,0,0,0,0.0,394,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,832,1,2,0.0,0,-3,0,3,45,False,0,Chelsea,Dele-Bashiru
James Ward-Prowse,MID,Southampton,6.2,0,0,29,0,0.0,341,377,4,1,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,482522,1,4,0.0,7,-17129,12891,30020,64,False,0,Leicester,Ward-Prowse
Bruno Miguel Borges Fernandes,MID,Man Utd,2.9,0,0,0,0,0.0,277,376,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,1240027,0,1,0.0,1,-4540,5184,9724,116,False,1,Crystal Palace,Fernandes
Adrián San Miguel del Castillo,GK,Liverpool,1.0,0,0,0,0,0.0,223,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,16167,1,3,0.0,0,-13,46,59,43,True,0,Wolves,Adrián
James McArthur,MID,Crystal Palace,0.2,0,0,2,0,0.0,148,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,7,0,0,0,0,38,0,100204,0,1,0.0,1,-2432,105,2537,43,True,0,Man Utd,McArthur
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,564,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1094,1,5,0.0,0,-1,0,1,60,False,0,Arsenal,Kean
Kwadwo Baah,MID,Watford,-1.0,0,0,0,0,0.0,405,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,10632,1,2,0.0,0,305,971,666,43,False,0,Chelsea,Baah
Paul Dummett,DEF,Newcastle,0.5,0,0,0,0,0.0,301,374,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,2043,2,1,0.0,0,44,107,63,45,False,0,Burnley,Dummett
Jairo Riedewald,MID,Crystal Palace,-0.5,0,0,0,0,0.0,157,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,2717,0,1,0.0,0,-7,15,22,47,True,0,Man Utd,Riedewald
Alexis Mac Allister,MID,Brighton,3.0,0,0,21,0,0.0,74,373,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,44856,1,3,0.0,2,-123,2071,2194,51,True,0,West Ham,Mac Allister
