name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Aaron_Connolly_534,0,0,5,1,0.8,534,327,0,0,2.4,0,2020-07-04T11:30:00Z,71,0,0,0,0,33,0,202545,1,0,24,2,23879,36267,12388,42,FALSE,0,Norwich
Aaron_Cresswell_376,0,0,16,0,30.2,376,326,2,0,5,19,2020-07-05T13:15:00Z,90,0,0,0,0,33,0,90869,2,2,1,1,5569,7922,2353,45,FALSE,0,Newcastle
Aaron_Lennon_430,0,0,0,0,0,430,321,0,0,0,0,2020-07-05T11:00:00Z,0,0,0,0,0,33,0,6558,1,1,0,0,-180,48,228,46,TRUE,0,Sheffield Utd
Aaron_Mooy_516,1,0,25,1,44.3,516,327,0,0,8.1,34.8,2020-07-04T11:30:00Z,71,0,0,0,0,33,0,35093,1,0,2,6,-1160,930,2090,47,FALSE,0,Norwich
Aaron_Ramsdale_494,0,0,21,0,0,494,325,5,0,3.1,30.8,2020-07-04T14:00:00Z,90,0,0,0,0,33,6,253192,2,5,0,2,-9843,2692,12535,45,FALSE,0,Man Utd
Aaron_Wan-Bissaka_122,0,0,14,0,3.6,122,325,2,0,2.6,18.8,2020-07-04T14:00:00Z,90,0,0,0,0,33,0,1484251,2,5,4,1,221531,231688,10157,55,TRUE,0,Bournemouth
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0,0,0,0,0,596,321,0,0,0,0,2020-07-05T11:00:00Z,0,0,0,0,0,33,0,3379,1,1,0,0,-246,28,274,40,TRUE,0,Sheffield Utd
Abdoulaye_Doucouré_368,0,0,10,0,1.7,368,322,3,0,2.1,18.8,2020-07-04T19:00:00Z,90,0,0,0,0,33,0,148257,0,3,0,2,-14669,2099,16768,55,FALSE,0,Chelsea
Adalberto_Peñaranda_648,0,0,0,0,0,648,322,0,0,0,0,2020-07-04T19:00:00Z,0,0,0,0,0,33,0,110,0,3,0,0,52,68,16,45,FALSE,0,Chelsea
Adama_Traoré_417,0,0,-3,0,41.8,417,330,2,0,9,20.2,2020-07-04T16:30:00Z,90,0,0,0,0,33,0,1344768,2,0,28,2,-68240,54027,122267,58,TRUE,0,Arsenal
Adam_Idah_538,0,0,0,0,0.5,538,327,0,0,0.4,0,2020-07-04T11:30:00Z,23,0,0,0,0,33,0,9879,1,0,6,1,1,312,311,44,TRUE,0,Brighton
Adam_Lallana_195,0,0,0,0,0,195,324,0,0,0,0,2020-07-05T15:30:00Z,0,0,0,0,0,33,0,9442,0,2,0,0,-25,40,65,57,TRUE,0,Aston Villa
Adam_Masina_355,0,0,0,0,1,355,322,1,0,2.3,8.2,2020-07-04T19:00:00Z,26,0,0,0,0,33,0,26906,0,3,14,1,-440,1646,2086,43,FALSE,0,Chelsea
Adam_Smith_63,0,0,1,0,1.5,63,325,5,0,0,0,2020-07-04T14:00:00Z,76,0,0,0,0,33,0,30233,2,5,0,0,-485,169,654,43,FALSE,0,Man Utd
Adam_Webster_493,0,0,25,1,0.3,493,327,0,0,1.2,12,2020-07-04T11:30:00Z,90,0,0,0,0,33,0,30984,1,0,0,6,-2667,131,2798,44,FALSE,0,Norwich
Addji Keaninkin Marc-Israel_Guehi_545,0,0,0,0,0,545,322,0,0,0,0,2020-07-04T19:00:00Z,0,0,0,0,0,33,0,6357,0,3,0,0,42,154,112,39,TRUE,0,Watford
Ademola_Lookman_155,0,0,0,0,0,155,329,0,0,0,0,2020-07-06T19:00:00Z,0,0,0,0,0,33,0,463,0,1,0,0,0,4,4,50,FALSE,0,Spurs
Adrian_Mariappa_356,0,0,6,0,0.6,356,322,3,0,0.5,4.2,2020-07-04T19:00:00Z,90,0,0,0,0,33,0,19163,0,3,0,0,-442,176,618,42,FALSE,1,Chelsea
Adrián_San Miguel del Castillo_526,0,0,0,0,0,526,324,0,0,0,0,2020-07-05T15:30:00Z,0,0,0,0,0,33,0,156537,0,2,0,0,-44,2432,2476,40,TRUE,0,Aston Villa
Ahmed_El Mohamady_22,0,0,0,0,0,22,324,0,0,0,0,2020-07-05T15:30:00Z,0,0,0,0,0,33,0,78300,0,2,0,0,3259,5607,2348,41,FALSE,0,Liverpool
Ainsley_Maitland-Niles_4,0,0,1,0,0.7,4,330,0,0,1,9.4,2020-07-04T16:30:00Z,34,0,0,0,0,33,0,169706,2,0,0,0,-1613,666,2279,45,FALSE,1,Wolves
Akin_Famewo_552,0,0,0,0,0,552,327,0,0,0,0,2020-07-04T11:30:00Z,0,0,0,0,0,33,0,4906,1,0,0,0,83,220,137,39,TRUE,0,Brighton
Albian_Ajeti_514,0,0,0,0,0,514,326,0,0,0,0,2020-07-05T13:15:00Z,0,0,0,0,0,33,0,2790,2,2,0,0,19,78,59,56,FALSE,0,Newcastle
Alexander_Tettey_289,0,0,19,0,2.3,289,327,1,0,2.5,14.6,2020-07-04T11:30:00Z,77,0,0,0,0,33,0,24106,1,0,8,2,-407,472,879,45,TRUE,0,Brighton
Alexandre Nascimento_Costa Silva_387,0,0,0,0,0,387,326,0,0,0,0,2020-07-05T13:15:00Z,0,0,0,0,0,33,0,67447,2,2,0,0,261,1368,1107,43,FALSE,0,Newcastle
Alexandre_Jankewitz_649,0,0,0,0,0,649,328,0,0,0,0,2020-07-05T18:00:00Z,0,0,0,0,0,33,0,17,0,1,0,0,8,10,2,45,TRUE,0,Man City
Alexandre_Lacazette_12,0,3,28,0,0.3,12,330,0,1,7.2,37,2020-07-04T16:30:00Z,7,0,0,0,0,33,0,149072,2,0,35,8,-9652,1214,10866,92,FALSE,0,Wolves
Alexis_Mac Allister_627,0,0,3,0,0.6,627,327,0,0,0.5,4.2,2020-07-04T11:30:00Z,11,0,0,0,0,33,0,1165,1,0,0,1,48,188,140,55,FALSE,0,Norwich
Alexis_Sánchez_240,0,0,0,0,0,240,325,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,28344,2,5,0,0,-27,23,50,68,TRUE,0,Bournemouth
Alex_Iwobi_17,0,0,4,0,0.8,17,329,1,0,0.2,1.4,2020-07-06T19:00:00Z,45,0,0,0,0,33,0,66876,0,1,0,1,-122,428,550,56,FALSE,0,Spurs
Alex_McCarthy_318,0,3,33,1,0,318,328,0,0,5.4,54.2,2020-07-05T18:00:00Z,90,0,0,0,0,33,6,263751,0,1,0,11,-10825,4064,14889,45,TRUE,0,Man City
Alex_Oxlade-Chamberlain_193,0,0,7,1,3.1,193,324,0,0,0.3,0.2,2020-07-05T15:30:00Z,60,0,0,0,0,33,0,43842,0,2,0,3,-1024,1285,2309,61,TRUE,0,Aston Villa
Alfie_Lewis_651,0,0,0,0,0,651,326,0,0,0,0,2020-07-05T13:15:00Z,0,0,0,0,0,33,0,50,2,2,0,0,28,31,3,45,FALSE,0,Newcastle
Alfie_Whiteman_543,0,0,0,0,0,543,329,0,0,0,0,2020-07-06T19:00:00Z,0,0,0,0,0,33,0,35720,0,1,0,0,-189,118,307,40,TRUE,0,Everton
Alireza_Jahanbakhsh_50,0,0,0,0,0,50,327,0,0,0,0,2020-07-04T11:30:00Z,0,0,0,0,0,33,0,7485,1,0,0,0,-79,42,121,58,FALSE,0,Norwich
Alisson_Ramses Becker_189,0,2,32,1,0,189,324,0,0,2.9,28.8,2020-07-05T15:30:00Z,90,0,0,0,0,33,3,715193,0,2,0,9,550,10481,9931,62,TRUE,0,Aston Villa
Allan_Saint-Maximin_500,0,0,6,0,12.1,500,326,2,0,3.3,10.6,2020-07-05T13:15:00Z,68,0,0,0,0,33,0,300352,2,2,10,2,160766,169479,8713,55,TRUE,0,West Ham
Andreas_Christensen_108,0,0,26,1,2.9,108,322,0,0,2.3,19.8,2020-07-04T19:00:00Z,90,0,0,0,0,33,0,53971,0,3,0,6,4429,5768,1339,48,TRUE,0,Watford
Andreas_Pereira_246,0,0,0,0,0,246,325,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,28767,2,5,0,0,-380,156,536,48,TRUE,0,Bournemouth
Andrew_Robertson_181,0,0,21,1,11.3,181,324,0,0,3.1,13.6,2020-07-05T15:30:00Z,90,0,0,0,0,33,0,1334553,0,2,6,5,-14791,17691,32482,70,TRUE,1,Aston Villa
Andrew_Surman_80,0,0,0,0,0,80,325,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,2729,2,5,0,0,-13,11,24,47,FALSE,0,Man Utd
Andre_Gray_364,0,0,0,0,0,364,322,0,0,0,0,2020-07-04T19:00:00Z,0,0,0,0,0,33,0,27136,0,3,0,0,-195,281,476,55,FALSE,0,Chelsea
Andre_Green_32,0,0,0,0,0,32,324,0,0,0,0,2020-07-05T15:30:00Z,0,0,0,0,0,33,0,769,0,2,0,0,-9,10,19,48,FALSE,0,Liverpool
Andriy_Yarmolenko_392,0,0,5,0,15.9,392,326,0,0,3.1,7.6,2020-07-05T13:15:00Z,15,0,0,0,0,33,0,55898,2,2,7,1,1654,2030,376,52,FALSE,0,Newcastle
Andros_Townsend_135,0,0,10,0,27.8,135,323,1,0,3.6,7.8,2020-07-04T14:00:00Z,8,0,0,0,0,33,0,71219,0,3,0,1,-272,299,571,56,FALSE,0,Leicester
André Filipe_Tavares Gomes_422,0,0,5,0,6.3,422,329,1,0,0.4,0,2020-07-06T19:00:00Z,90,0,0,0,0,33,0,22936,0,1,1,1,-80,344,424,52,FALSE,1,Spurs
Andy_Carroll_520,0,0,1,0,2.4,520,326,0,0,0.2,0,2020-07-05T13:15:00Z,9,0,0,0,0,33,0,7956,2,2,0,1,274,652,378,54,TRUE,0,West Ham
Andy_King_480,0,0,0,0,0,480,323,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,29384,0,3,0,0,52,2046,1994,42,TRUE,0,Crystal Palace
Andy_Lonergan_530,0,0,0,0,0,530,324,0,0,0,0,2020-07-05T15:30:00Z,0,0,0,0,0,33,0,2018,0,2,0,0,-1,15,16,42,TRUE,0,Aston Villa
Angelo_Ogbonna_377,0,0,10,0,0.3,377,326,2,0,1.9,15,2020-07-05T13:15:00Z,90,0,0,0,0,33,0,65814,2,2,4,1,-1102,682,1784,45,FALSE,0,Newcastle
Angel_Gomes_245,0,0,0,0,0,245,325,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,6802,2,5,0,0,-97,13,110,47,TRUE,0,Bournemouth
Angus_Gunn_319,0,0,0,0,0,319,328,0,0,0,0,2020-07-05T18:00:00Z,0,0,0,0,0,33,0,101193,0,1,0,0,-896,325,1221,42,TRUE,0,Man City
Anthony_Driscoll-Glennon_572,0,0,0,0,0,572,321,0,0,0,0,2020-07-05T11:00:00Z,0,0,0,0,0,33,0,2840,1,1,0,0,-7,120,127,39,TRUE,0,Sheffield Utd
Anthony_Gordon_561,0,0,3,0,26.6,561,329,0,0,4.5,10,2020-07-06T19:00:00Z,45,0,0,0,0,33,0,6378,0,1,8,1,1505,1900,395,45,FALSE,0,Spurs
Anthony_Knockaert_52,0,0,0,0,0,52,327,0,0,0,0,2020-07-04T11:30:00Z,0,0,0,0,0,33,0,664,1,0,0,0,0,11,11,53,FALSE,0,Norwich
Anthony_Martial_239,2,1,42,0,4,239,325,2,1,8,33,2020-07-04T14:00:00Z,79,0,0,0,0,33,0,1351286,2,5,43,14,129572,184208,54636,82,TRUE,0,Bournemouth
Antonio_Rüdiger_104,0,0,0,0,0,104,322,0,0,0,0,2020-07-04T19:00:00Z,0,0,0,0,0,33,0,53512,0,3,0,0,313,2562,2249,60,TRUE,0,Watford
Anwar_El Ghazi_30,0,0,8,0,5.4,30,324,1,0,3.7,10.6,2020-07-05T15:30:00Z,73,0,0,0,0,33,0,62562,0,2,21,2,-6267,348,6615,53,FALSE,0,Liverpool
Archie_Mair_551,0,0,0,0,0,551,327,0,0,0,0,2020-07-04T11:30:00Z,0,0,0,0,0,33,0,5686,1,0,0,0,9,127,118,40,TRUE,0,Brighton
Armando_Broja_631,0,0,0,0,0,631,322,0,0,0,0,2020-07-04T19:00:00Z,0,0,0,0,0,33,0,1065,0,3,0,0,-19,105,124,45,TRUE,0,Watford
Arnaut_Danjuma Groeneveld_492,0,0,-5,0,1.7,492,325,2,0,0.7,0,2020-07-04T14:00:00Z,45,0,0,0,0,33,0,2182,2,5,7,1,-13,20,33,58,FALSE,0,Man Utd
Arthur_Masuaku_378,0,0,0,0,0,378,326,0,0,0,0,2020-07-05T13:15:00Z,0,0,0,0,0,33,0,33041,2,2,0,0,-918,178,1096,41,FALSE,0,Newcastle
Artur_Boruc_73,0,0,0,0,0,73,325,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,18452,2,5,0,0,-44,119,163,42,FALSE,0,Man Utd
Ashley_Barnes_90,0,0,0,0,0,90,321,0,0,0,0,2020-07-05T11:00:00Z,0,0,0,0,0,33,0,159135,1,1,0,0,-641,12,653,61,TRUE,0,Sheffield Utd
Ashley_Westwood_101,0,1,17,0,42.4,101,321,1,0,6.1,16.4,2020-07-05T11:00:00Z,90,0,0,0,0,33,0,51344,1,1,2,3,2235,4718,2483,55,TRUE,0,Sheffield Utd
Ashley_Young_224,0,0,0,0,0,224,325,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,21855,2,5,0,0,-51,8,59,54,TRUE,0,Bournemouth
Asmir_Begovic_72,0,0,0,0,0,72,325,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,51447,2,5,0,0,-151,51,202,42,FALSE,0,Man Utd
Axel_Tuanzebe_481,0,0,0,0,0,481,325,0,0,0,0,2020-07-04T14:00:00Z,0,0,0,0,0,33,0,7338,2,5,0,0,-54,6,60,44,TRUE,0,Bournemouth
Aymeric_Laporte_202,0,0,15,0,3.2,202,328,1,0,3.9,14.8,2020-07-05T18:00:00Z,90,0,0,0,0,33,0,252276,0,1,21,2,10212,17486,7274,63,FALSE,0,Southampton
Ayotomiwa_Dele-Bashiru_563,0,0,0,0,0,563,322,0,0,0,0,2020-07-04T19:00:00Z,0,0,0,0,0,33,0,928,0,3,0,0,9,55,46,45,FALSE,0,Chelsea
Ayoze_Pérez_265,0,0,15,1,26.7,265,323,0,0,5.5,10.4,2020-07-04T14:00:00Z,74,0,0,0,0,33,0,405298,0,3,18,3,-15415,3848,19263,61,TRUE,0,Crystal Palace
Bailey_Peacock-Farrell_495,0,0,0,0,0,495,321,0,0,0,0,2020-07-05T11:00:00Z,0,0,0,0,0,33,0,5904,1,1,0,0,49,93,44,43,TRUE,0,Sheffield Utd
Bamidele_Alli_344,0,0,0,0,0,344,329,0,0,0,0,2020-07-06T19:00:00Z,0,0,0,0,0,33,0,242027,0,1,0,0,-11867,2650,14517,83,TRUE,0,Everton
