name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Aaron Connolly,0,3,53,1,23.8,534,72,0,2,20.1,70.2,2019-10-05T11:30:00Z,79,0,0,0,0,8,0,35026,0,3,107.0,13,2156,5952,3796,45,True,0,Spurs,Brighton,FWD
Aaron Cresswell,0,0,16,0,1.3,376,80,1,0,1.8,13.0,2019-10-05T16:30:00Z,83,0,0,0,0,8,0,167821,2,1,4.0,2,106465,111664,5199,49,True,0,Crystal Palace,West Ham,DEF
Aaron Lennon,0,0,3,0,0.8,430,73,0,0,0.1,0.0,2019-10-05T14:00:00Z,6,0,0,0,0,8,0,7140,0,1,0.0,1,-379,155,534,48,True,0,Everton,Burnley,MID
Aaron Mooy,0,0,15,1,14.9,516,72,0,0,3.5,19.0,2019-10-05T11:30:00Z,90,0,0,0,0,8,0,11138,0,3,1.0,3,-370,324,694,48,True,0,Spurs,Brighton,MID
Aaron Ramsdale,0,0,10,0,0.0,494,71,1,0,1.1,10.6,2019-10-06T13:00:00Z,90,0,0,0,0,8,1,58222,0,1,0.0,2,6643,12532,5889,45,False,0,Arsenal,Bournemouth,GK
Aaron Wan-Bissaka,0,0,0,0,0.0,122,76,0,0,0.0,0.0,2019-10-06T15:30:00Z,0,0,0,0,0,8,0,1407083,0,1,0.0,0,-200518,4987,205505,55,False,0,Newcastle,Man Utd,DEF
Abdoulaye Doucouré,0,0,9,1,7.5,368,79,0,0,3.3,12.8,2019-10-05T14:00:00Z,90,0,0,0,0,8,0,69647,0,0,13.0,3,-4812,796,5608,57,True,0,Sheffield Utd,Watford,MID
Adama Traoré,0,3,59,1,14.3,417,75,0,2,12.5,84.4,2019-10-06T13:00:00Z,90,0,0,0,0,8,0,26625,2,0,26.0,16,-461,2170,2631,50,False,0,Man City,Wolves,MID
Adam Idah,0,0,0,0,0.0,538,77,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,6427,5,1,0.0,0,130,1059,929,45,True,0,Aston Villa,Norwich,FWD
Adam Lallana,0,0,3,0,0.1,195,74,0,0,0.0,0.2,2019-10-05T14:00:00Z,1,0,0,0,0,8,0,7420,1,2,0.0,1,-289,111,400,58,True,0,Leicester,Liverpool,MID
Adam Masina,0,0,0,0,0.0,355,79,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,4247,0,0,0.0,0,-134,22,156,44,True,0,Sheffield Utd,Watford,DEF
Adam Smith,0,0,0,0,0.0,63,71,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,0,0,0,0,8,0,34248,0,1,0.0,0,-5160,18,5178,43,False,0,Arsenal,Bournemouth,DEF
Adam Webster,0,0,32,1,10.8,493,72,0,0,3.8,24.8,2019-10-05T11:30:00Z,90,0,0,0,0,8,0,8328,0,3,2.0,6,212,728,516,44,True,0,Spurs,Brighton,DEF
Addji Keaninkin Marc-Israel Guehi,0,0,0,0,0.0,545,78,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,0,0,0,0,8,0,1832,4,1,0.0,0,947,1119,172,40,False,0,Southampton,Chelsea,DEF
Ademola Lookman,0,0,0,0,0.0,155,73,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,459,0,1,0.0,0,-12,7,19,50,False,0,Burnley,Everton,MID
Adrian Mariappa,0,0,0,0,0.0,356,79,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,11059,0,0,0.0,0,-411,137,548,43,True,0,Sheffield Utd,Watford,DEF
Adrián San Miguel del Castillo,0,0,10,0,0.0,526,74,1,0,0.5,4.8,2019-10-05T14:00:00Z,90,0,0,0,0,8,0,479476,1,2,0.0,2,7035,32847,25812,46,True,0,Leicester,Liverpool,GK
Ahmed El Mohamady,0,0,0,0,0.0,22,77,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,79229,5,1,0.0,0,-6403,1485,7888,43,False,0,Norwich,Aston Villa,DEF
Ainsley Maitland-Niles,0,0,0,0,0.0,4,71,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,0,0,0,0,8,0,368825,0,1,0.0,0,-36045,6617,42662,50,True,0,Bournemouth,Arsenal,DEF
Akin Famewo,0,0,0,0,0.0,552,77,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,0,5,1,0.0,0,0,0,0,40,True,0,Aston Villa,Norwich,DEF
Albian Ajeti,0,0,0,0,0.0,514,80,0,0,0.0,0.0,2019-10-05T16:30:00Z,0,0,0,0,0,8,0,2553,2,1,0.0,0,-60,109,169,58,True,0,Crystal Palace,West Ham,FWD
Alexander Tettey,0,0,0,0,0.0,289,77,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,12378,5,1,0.0,0,-1221,19,1240,45,True,0,Aston Villa,Norwich,MID
Alexandre Nascimento Costa Silva,0,0,0,0,0.0,387,80,0,0,0.0,0.0,2019-10-05T16:30:00Z,0,0,0,0,0,8,0,85759,2,1,0.0,0,-3690,2490,6180,44,True,0,Crystal Palace,West Ham,FWD
Alexandre Lacazette,0,0,0,0,0.0,12,71,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,0,0,0,0,8,0,101731,0,1,0.0,0,-5536,219,5755,93,True,0,Bournemouth,Arsenal,FWD
Alexis Sánchez,0,0,0,0,0.0,240,76,0,0,0.0,0.0,2019-10-06T15:30:00Z,0,0,0,0,0,8,0,30754,0,1,0.0,0,-671,49,720,68,False,0,Newcastle,Man Utd,MID
Alex Iwobi,0,0,15,0,18.9,17,73,1,0,9.1,13.6,2019-10-05T14:00:00Z,90,0,0,0,0,8,0,113141,0,1,58.0,2,-12702,3598,16300,59,False,0,Burnley,Everton,MID
Alex McCarthy,0,0,0,0,0.0,318,78,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,0,0,0,0,8,0,28899,4,1,0.0,0,-1703,20,1723,44,True,0,Chelsea,Southampton,GK
Alex Oxlade-Chamberlain,0,0,0,0,0.0,193,74,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,22200,1,2,0.0,0,-1331,482,1813,63,True,0,Leicester,Liverpool,MID
Alfie Whiteman,0,0,0,0,0.0,543,72,0,0,0.0,0.0,2019-10-05T11:30:00Z,0,0,0,0,0,8,0,17278,0,3,0.0,0,3735,4819,1084,40,False,0,Brighton,Spurs,GK
Alireza Jahanbakhsh,0,0,0,0,0.0,50,72,0,0,0.0,0.0,2019-10-05T11:30:00Z,0,0,0,0,0,8,0,4329,0,3,0.0,0,-59,42,101,58,True,0,Spurs,Brighton,MID
Alisson Ramses Becker,0,0,0,0,0.0,189,74,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,0,0,0,0,8,0,376371,1,2,0.0,0,-8719,5147,13866,58,True,0,Leicester,Liverpool,GK
Allan Saint-Maximin,0,0,9,1,22.0,500,76,0,0,4.3,6.2,2019-10-06T15:30:00Z,82,0,0,0,0,8,0,14236,0,1,15.0,3,-96,693,789,54,True,0,Man Utd,Newcastle,MID
Andreas Christensen,0,0,0,0,0.0,108,78,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,0,0,0,0,8,0,65843,4,1,0.0,0,1963,4611,2648,50,False,0,Southampton,Chelsea,DEF
Andreas Pereira,0,0,8,0,5.0,246,76,1,0,3.1,9.0,2019-10-06T15:30:00Z,90,0,0,0,0,8,0,32745,0,1,17.0,2,-2090,1420,3510,50,False,0,Newcastle,Man Utd,MID
Andrew Robertson,0,0,20,0,16.9,181,74,1,0,5.7,19.0,2019-10-05T14:00:00Z,90,0,0,0,0,8,0,1347696,1,2,21.0,2,4261,37689,33428,69,True,0,Leicester,Liverpool,DEF
Andrew Surman,0,0,0,0,0.0,80,71,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,0,0,0,0,8,0,3036,0,1,0.0,0,-154,45,199,48,False,0,Arsenal,Bournemouth,MID
Andre Gray,0,0,1,0,12.8,364,79,0,0,2.5,1.6,2019-10-05T14:00:00Z,58,0,0,0,0,8,0,34500,0,0,11.0,1,-2389,1235,3624,58,True,0,Sheffield Utd,Watford,FWD
