name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Aaron Connolly,0,0,-5,0,1.3,534,115,2,0,0.3,0.0,2019-11-10T14:00:00Z,45,0,0,0,0,12,0,246255,1,3,4.0,1,-10884,18973,29857,47,False,0,Man Utd,Brighton,FWD,0
Aaron Cresswell,0,0,10,0,13.5,376,111,3,0,5.1,15.0,2019-11-09T15:00:00Z,90,0,0,0,0,12,0,120953,0,3,22.0,1,-18203,1960,20163,49,False,0,Burnley,West Ham,DEF,0
Aaron Lennon,0,0,0,0,0.0,430,111,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,0,0,0,0,12,0,6749,0,3,0.0,0,-105,128,233,47,True,0,West Ham,Burnley,MID,0
Aaron Mooy,0,0,0,0,0.0,516,115,0,0,0.0,0.0,2019-11-10T14:00:00Z,0,0,0,0,0,12,0,10811,1,3,0.0,0,-284,276,560,48,False,0,Man Utd,Brighton,MID,0
Aaron Ramsdale,0,1,23,0,0.0,494,116,2,0,4.4,44.2,2019-11-09T15:00:00Z,90,0,0,0,0,12,7,249480,1,2,0.0,4,124055,128192,4137,46,False,0,Newcastle,Bournemouth,GK,0
Aaron Wan-Bissaka,0,0,14,0,12.2,122,115,1,0,4.1,23.0,2019-11-10T14:00:00Z,90,0,0,0,0,12,0,1206868,1,3,6.0,2,-25546,24488,50034,54,True,0,Brighton,Man Utd,DEF,0
Abdoulaye Doucouré,0,0,18,1,2.8,368,117,0,0,5.1,16.0,2019-11-08T20:00:00Z,90,0,0,0,0,12,0,73521,2,0,32.0,3,2550,5533,2983,57,False,0,Norwich,Watford,MID,0
Adama Traoré,1,0,26,0,18.8,417,120,1,0,6.1,30.2,2019-11-10T14:00:00Z,90,0,0,0,0,12,0,305096,1,2,12.0,5,37799,60034,22235,51,True,0,Aston Villa,Wolves,MID,0
Adam Idah,0,0,0,0,0.0,538,117,0,0,0.0,0.0,2019-11-08T20:00:00Z,0,0,0,0,0,12,0,7398,2,0,0.0,0,-344,343,687,45,True,0,Watford,Norwich,FWD,0
Adam Lallana,0,0,0,0,0.0,195,114,0,0,0.0,0.0,2019-11-10T16:30:00Z,0,0,0,0,0,12,0,8813,1,3,0.0,0,176,477,301,58,True,0,Man City,Liverpool,MID,0
Adam Masina,0,0,-1,0,0.0,355,117,0,0,0.0,0.0,2019-11-08T20:00:00Z,2,0,0,0,0,12,0,4500,2,0,0.0,0,12,129,117,43,False,1,Norwich,Watford,DEF,0
Adam Smith,0,0,12,0,11.9,63,116,2,0,2.8,16.0,2019-11-09T15:00:00Z,77,0,0,0,0,12,0,53525,1,2,0.0,1,17200,19236,2036,43,False,0,Newcastle,Bournemouth,DEF,0
