name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP,season
Adrián,0,0,5,0,0.0,526,134,1,0,0.7,7.0,2019-11-30T15:00:00Z,12,0,0,0,0,14,2,187210,1,2,0.0,1,-10163,1709,11872,42,True,0,Brighton,Liverpool,GK,0,2019-20
Ahmed Elmohamady,0,0,0,0,0.0,22,135,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,64671,2,2,0.0,0,-1822,691,2513,42,False,0,Man Utd,Aston Villa,DEF,0,2019-20
Ainsley Maitland-Niles,0,0,0,0,0.0,4,137,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,0,0,0,0,14,0,207441,2,2,0.0,0,-12813,353,13166,47,False,0,Norwich,Arsenal,DEF,0,2019-20
Akin Famewo,0,0,0,0,0.0,552,137,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,0,0,0,0,14,0,4098,2,2,0.0,0,46,266,220,40,True,0,Arsenal,Norwich,DEF,0,2019-20
Albian Ajeti,0,0,0,0,0.0,514,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,2551,1,0,0.0,0,-14,54,68,58,False,0,Chelsea,West Ham,FWD,0,2019-20
Alexander Tettey,0,0,0,0,0.0,289,137,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,0,0,0,0,14,0,14515,2,2,0.0,0,-267,860,1127,45,True,0,Arsenal,Norwich,MID,0,2019-20
Alexandre Nascimento Costa Silva,0,0,0,0,0.0,387,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,71074,1,0,0.0,0,-2077,303,2380,44,False,0,Chelsea,West Ham,FWD,0,2019-20
Alexandre Lacazette,0,0,1,0,17.1,12,137,2,0,6.7,2.6,2019-12-01T14:00:00Z,90,0,0,0,0,14,0,174762,2,2,47.0,2,38113,45378,7265,93,False,0,Norwich,Arsenal,FWD,0,2019-20
Alexis Sánchez,0,0,0,0,0.0,240,135,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,29266,2,2,0.0,0,-140,23,163,68,True,0,Aston Villa,Man Utd,MID,0,2019-20
Alex Iwobi,0,0,12,0,16.3,17,133,1,0,2.3,6.2,2019-12-01T16:30:00Z,77,0,0,0,0,14,0,88418,1,2,0.0,2,-5972,756,6728,57,False,0,Leicester,Everton,MID,0,2019-20
Alex McCarthy,0,0,13,0,0.0,318,138,1,0,1.8,18.0,2019-11-30T17:30:00Z,90,0,0,0,0,14,2,37519,1,2,0.0,2,5344,6658,1314,43,True,0,Watford,Southampton,GK,0,2019-20
Alex Oxlade-Chamberlain,0,0,7,1,13.8,193,134,0,0,7.5,14.8,2019-11-30T15:00:00Z,77,0,0,0,0,14,0,44427,1,2,46.0,3,-104,4694,4798,62,True,0,Brighton,Liverpool,MID,0,2019-20
Alfie Whiteman,0,0,0,0,0.0,543,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,29392,2,3,0.0,0,1043,2004,961,40,True,0,Bournemouth,Spurs,GK,0,2019-20
Alireza Jahanbakhsh,0,0,0,0,0.0,50,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,4518,1,2,0.0,0,-43,17,60,58,False,0,Liverpool,Brighton,MID,0,2019-20
Alisson,0,0,7,0,0.0,189,134,1,0,1.2,12.2,2019-11-30T15:00:00Z,75,0,0,0,1,14,2,620937,1,2,0.0,-1,1583,17958,16375,60,True,0,Brighton,Liverpool,GK,0,2019-20
Allan Saint-Maximin,0,0,11,0,1.8,500,136,1,0,1.9,10.4,2019-11-30T12:30:00Z,79,0,0,0,0,14,0,35105,2,2,7.0,2,-1548,2081,3629,54,True,0,Man City,Newcastle,MID,0,2019-20
Andreas Christensen,0,0,0,0,0.0,108,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,43013,1,0,0.0,0,-611,298,909,49,True,0,West Ham,Chelsea,DEF,0,2019-20
Andreas Pereira,0,0,14,0,34.1,246,135,2,0,4.6,9.0,2019-12-01T16:30:00Z,90,0,0,0,0,14,0,48090,2,2,3.0,2,-1735,3690,5425,50,True,0,Aston Villa,Man Utd,MID,0,2019-20
Andrew Robertson,0,0,9,0,5.7,181,134,1,0,3.0,11.6,2019-11-30T15:00:00Z,90,0,0,0,0,14,0,1610506,1,2,13.0,2,108997,123886,14889,70,True,0,Brighton,Liverpool,DEF,0,2019-20
Andrew Surman,0,0,0,0,0.0,80,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,2546,2,3,0.0,0,-71,16,87,47,False,0,Spurs,Bournemouth,MID,0,2019-20
Andre Gray,0,0,-1,0,0.3,364,138,2,0,0.3,0.0,2019-11-30T17:30:00Z,23,0,0,0,0,14,0,29980,1,2,6.0,1,-964,743,1707,57,False,0,Southampton,Watford,FWD,0,2019-20
Andre Green,0,0,0,0,0.0,32,135,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,777,2,2,0.0,0,1,6,5,49,False,0,Man Utd,Aston Villa,MID,0,2019-20
Andriy Yarmolenko,0,0,-1,0,0.1,392,132,0,0,0.2,0.2,2019-11-30T15:00:00Z,19,0,0,0,0,14,0,213784,1,0,2.0,0,-73325,1865,75190,58,False,1,Chelsea,West Ham,MID,0,2019-20
Andros Townsend,0,0,12,1,17.2,135,131,0,0,3.2,10.6,2019-11-30T15:00:00Z,68,0,0,0,0,14,0,92422,2,0,4.0,3,1734,3450,1716,56,False,0,Burnley,Crystal Palace,MID,0,2019-20
André Gomes,0,0,0,0,0.0,422,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,23216,1,2,0.0,0,-729,18,747,53,False,0,Leicester,Everton,MID,0,2019-20
Andy Carroll,0,0,0,0,0.0,520,136,0,0,0.0,0.0,2019-11-30T12:30:00Z,0,0,0,0,0,14,0,6654,2,2,0.0,0,-80,257,337,54,True,0,Man City,Newcastle,FWD,0,2019-20
Andy King,0,0,0,0,0.0,480,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,29304,1,2,0.0,0,-2557,597,3154,43,True,0,Everton,Leicester,MID,0,2019-20
Andy Lonergan,0,0,0,0,0.0,530,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,1718,1,2,0.0,0,-25,10,35,43,True,0,Brighton,Liverpool,GK,0,2019-20
Angelo Ogbonna,0,0,26,1,0.2,377,132,0,0,3.0,30.2,2019-11-30T15:00:00Z,90,0,0,0,0,14,0,29254,1,0,0.0,6,963,1797,834,45,False,0,Chelsea,West Ham,DEF,0,2019-20
Angel Gomes,0,0,0,0,0.0,245,135,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,6375,2,2,0.0,0,-3,151,154,48,True,0,Aston Villa,Man Utd,MID,0,2019-20
Angus Gunn,0,0,0,0,0.0,319,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,0,0,0,0,14,0,167371,1,2,0.0,0,-8532,1821,10353,45,True,0,Watford,Southampton,GK,0,2019-20
Anthony Gordon,0,0,0,0,0.0,561,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,1017,1,2,0.0,0,115,252,137,45,False,0,Leicester,Everton,FWD,0,2019-20
Anthony Knockaert,0,0,0,0,0.0,52,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,661,1,2,0.0,0,-1,5,6,54,False,0,Liverpool,Brighton,MID,0,2019-20
Anthony Martial,0,0,1,0,2.8,239,135,2,0,7.0,6.2,2019-12-01T16:30:00Z,81,0,0,0,0,14,0,655168,2,2,61.0,2,-24488,30957,55445,78,True,0,Aston Villa,Man Utd,MID,0,2019-20
Antonio Rüdiger,0,0,0,0,0.0,104,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,6512,1,0,0.0,0,-63,48,111,60,True,0,West Ham,Chelsea,DEF,0,2019-20
Anwar El Ghazi,1,0,15,0,14.0,30,135,0,0,3.3,19.0,2019-12-01T16:30:00Z,17,0,0,0,0,14,0,112641,2,2,0.0,4,-185,9863,10048,55,False,0,Man Utd,Aston Villa,MID,0,2019-20
Archie Mair,0,0,0,0,0.0,551,137,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,0,0,0,0,14,0,3063,2,2,0.0,0,272,429,157,40,True,0,Arsenal,Norwich,GK,0,2019-20
Arnaut Danjuma,1,0,24,0,3.4,492,139,3,0,5.2,18.2,2019-11-30T15:00:00Z,90,0,0,0,0,14,0,2205,2,3,30.0,5,-33,41,74,58,False,0,Spurs,Bournemouth,MID,0,2019-20
Arthur Masuaku,0,0,2,0,0.3,378,132,0,0,0.1,0.2,2019-11-30T15:00:00Z,7,0,0,0,0,14,0,40300,1,0,0.0,1,-2583,149,2732,44,False,0,Chelsea,West Ham,DEF,0,2019-20
Artur Boruc,0,0,0,0,0.0,73,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,19579,2,3,0.0,0,-279,151,430,43,False,0,Spurs,Bournemouth,GK,0,2019-20
Ashley Barnes,0,0,1,0,0.9,90,131,1,0,1.8,0.0,2019-11-30T15:00:00Z,61,0,0,0,0,14,0,336130,2,0,20.0,2,42964,55144,12180,63,True,0,Crystal Palace,Burnley,FWD,0,2019-20
Ashley Westwood,0,0,0,0,0.0,101,131,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,28197,2,0,0.0,0,-6098,186,6284,54,True,0,Crystal Palace,Burnley,MID,0,2019-20
Ashley Young,0,0,0,0,0.0,224,135,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,24225,2,2,0.0,0,-508,322,830,54,True,0,Aston Villa,Man Utd,DEF,0,2019-20
Asmir Begovic,0,0,0,0,0.0,72,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,65255,2,3,0.0,0,-1595,14,1609,43,False,0,Spurs,Bournemouth,GK,0,2019-20
