name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Anthony Driscoll-Glennon,0,0,0,0,0.0,572,158,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,0,0,0,0,16,0,0,0,5,0.0,0,0,0,0,40,False,0,Spurs,Burnley,DEF,0
Ayotomiwa Dele-Bashiru,0,0,0,0,0.0,563,159,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,0,0,0,0,16,0,173,0,0,0.0,0,4,39,35,45,True,0,Crystal Palace,Watford,MID,0
Patrick Roberts,0,0,0,0,0.0,435,157,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,0,0,0,0,16,0,3952,2,1,0.0,0,-60,22,82,52,True,0,Sheffield Utd,Norwich,MID,0
Alex Iwobi,0,0,7,0,19.5,17,154,1,0,3.1,7.2,2019-12-07T12:30:00Z,90,0,0,0,0,16,0,83702,1,3,4.0,2,-2322,717,3039,56,True,0,Chelsea,Everton,MID,0
Jordan Ayew,0,0,6,1,4.4,468,159,0,0,1.6,5.8,2019-12-07T15:00:00Z,90,0,0,0,0,16,0,541894,0,0,6.0,2,-32598,17552,50150,51,False,0,Watford,Crystal Palace,FWD,0
Frederick Woodman,0,0,0,0,0.0,264,156,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,0,0,0,0,16,0,61405,1,2,0.0,0,-241,512,753,40,True,0,Southampton,Newcastle,GK,0
Divock Origi,0,0,0,0,0.0,188,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,0,0,0,0,16,0,204955,3,0,0.0,0,14418,17632,3214,52,False,0,Bournemouth,Liverpool,FWD,0
Manuel Lanzini,0,0,0,0,0.0,391,160,0,0,0.0,0.0,2019-12-09T20:00:00Z,0,0,0,0,0,16,0,56199,3,1,0.0,0,-2464,11,2475,62,True,0,Arsenal,West Ham,MID,0
Wesley Hoedt,0,0,0,0,0.0,485,156,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,0,0,0,0,16,0,2782,1,2,0.0,0,-26,26,52,43,False,0,Newcastle,Southampton,DEF,0
Timm Klose,0,0,0,0,0.0,272,157,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,0,0,0,0,16,0,2153,2,1,0.0,0,-27,9,36,44,True,0,Sheffield Utd,Norwich,DEF,0
Adam Lallana,0,0,0,0,0.0,195,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,0,0,0,0,16,0,8896,3,0,0.0,0,-56,121,177,58,False,0,Bournemouth,Liverpool,MID,0
Georges-Kévin Nkoudou,0,0,0,0,0.0,527,158,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,0,0,0,0,16,0,859,0,5,0.0,0,-7,6,13,50,True,0,Burnley,Spurs,MID,0
Danny Ings,0,2,25,0,3.3,313,156,2,1,6.6,32.0,2019-12-08T14:00:00Z,87,0,0,0,0,16,0,735193,1,2,31.0,8,105710,132721,27011,63,False,0,Newcastle,Southampton,FWD,0
Emerson,0,0,0,0,0.0,107,154,0,0,0.0,0.0,2019-12-07T12:30:00Z,0,0,0,0,0,16,0,62514,1,3,0.0,0,-1354,1983,3337,55,False,0,Everton,Chelsea,DEF,0
Aaron Mooy,0,0,10,0,4.5,516,153,2,0,1.8,5.2,2019-12-08T16:30:00Z,90,0,0,0,0,16,0,11977,2,2,8.0,2,1453,1766,313,48,True,0,Wolves,Brighton,MID,0
David Button,0,0,0,0,0.0,48,153,0,0,0.0,0.0,2019-12-08T16:30:00Z,0,0,0,0,0,16,0,1530751,2,2,0.0,0,-17551,3832,21383,40,True,0,Wolves,Brighton,GK,0
