name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,web_name
Aaron Connolly,0,0,2,1,5.8,534,104,0,0,4.8,0.0,2019-11-02T15:00:00Z,85,0,0,0,0,11,0,263242,0,2,46.0,2,109148,118970,9822,46,True,0,Norwich,Brighton,FWD,Connolly
Aaron Cresswell,0,0,11,0,7.8,376,110,3,0,1.9,7.4,2019-11-02T15:00:00Z,90,0,0,0,0,11,0,140056,3,2,4.0,0,2389,11799,9410,49,True,1,Newcastle,West Ham,DEF,Cresswell
Aaron Lennon,0,0,0,0,0.0,430,108,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,0,0,0,0,11,0,6786,0,3,0.0,0,-206,131,337,48,False,0,Sheffield Utd,Burnley,MID,Lennon
Aaron Mooy,0,0,0,0,0.0,516,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,0,0,0,0,11,0,11065,0,2,0.0,0,-214,519,733,48,True,0,Norwich,Brighton,MID,Mooy
Aaron Ramsdale,0,2,29,1,0.0,494,103,0,0,2.0,19.6,2019-11-02T12:30:00Z,90,0,0,0,0,11,4,108434,0,1,0.0,9,16805,22278,5473,45,True,0,Man Utd,Bournemouth,GK,Ramsdale
Aaron Wan-Bissaka,0,0,16,0,2.8,122,103,1,0,2.0,17.2,2019-11-02T12:30:00Z,80,0,0,0,0,11,0,1223982,0,1,0.0,2,-6567,36330,42897,54,False,0,Bournemouth,Man Utd,DEF,Wan-Bissaka
Abdoulaye Doucouré,0,0,19,0,29.2,368,109,2,0,7.2,19.0,2019-11-02T17:30:00Z,90,0,0,0,0,11,0,69812,2,1,24.0,2,-2456,2193,4649,57,True,0,Chelsea,Watford,MID,Doucouré
Adama Traoré,0,0,3,0,27.3,417,101,1,0,4.3,9.8,2019-11-02T15:00:00Z,90,0,0,0,0,11,0,260912,1,1,6.0,2,144,38894,38750,51,False,0,Arsenal,Wolves,MID,Traoré
Adam Idah,0,0,0,0,0.0,538,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,0,0,0,0,11,0,7611,0,2,0.0,0,13,802,789,45,False,0,Brighton,Norwich,FWD,Idah
Adam Lallana,0,0,15,0,40.8,195,102,1,0,7.7,21.8,2019-11-02T15:00:00Z,83,0,0,0,0,11,0,8428,2,1,14.0,2,50,428,378,58,False,0,Aston Villa,Liverpool,MID,Lallana
Adam Masina,0,0,6,0,10.3,355,109,2,0,3.1,15.4,2019-11-02T17:30:00Z,90,0,0,0,0,11,0,4428,2,1,5.0,1,92,164,72,43,True,0,Chelsea,Watford,DEF,Masina
Adam Smith,1,3,38,1,30.3,63,103,0,0,6.7,32.2,2019-11-02T12:30:00Z,90,0,0,0,0,11,0,34048,0,1,4.0,12,1555,2453,898,43,True,0,Man Utd,Bournemouth,DEF,Adam Smith
Adam Webster,0,0,12,0,0.4,493,104,0,0,0.6,5.2,2019-11-02T15:00:00Z,35,0,0,0,0,11,0,18946,0,2,0.0,1,1035,2672,1637,44,True,0,Norwich,Brighton,DEF,Webster
Addji Keaninkin Marc-Israel Guehi,0,0,0,0,0.0,545,109,0,0,0.0,0.0,2019-11-02T17:30:00Z,0,0,0,0,0,11,0,4530,2,1,0.0,0,302,723,421,40,False,0,Watford,Chelsea,DEF,Guehi
Ademola Lookman,0,0,0,0,0.0,155,106,0,0,0.0,0.0,2019-11-03T16:30:00Z,0,0,0,0,0,11,0,458,1,1,0.0,0,-1,8,9,50,True,0,Spurs,Everton,MID,Lookman
Adrian Mariappa,0,0,5,0,0.4,356,109,1,0,1.3,8.2,2019-11-02T17:30:00Z,70,0,0,0,0,11,0,10416,2,1,4.0,1,-295,118,413,43,True,1,Chelsea,Watford,DEF,Mariappa
Adrián San Miguel del Castillo,0,0,0,0,0.0,526,102,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,0,0,0,0,11,0,244645,2,1,0.0,0,-60248,1451,61699,44,False,0,Aston Villa,Liverpool,GK,Adrián
Ahmed El Mohamady,0,0,6,0,0.1,22,102,2,0,1.0,9.6,2019-11-02T15:00:00Z,21,0,0,0,0,11,0,68834,2,1,0.0,0,-2656,1644,4300,42,True,0,Liverpool,Aston Villa,DEF,El Mohamady
Ainsley Maitland-Niles,0,0,0,0,0.0,4,101,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,0,0,0,0,11,0,263873,1,1,0.0,0,-33655,1268,34923,48,True,0,Wolves,Arsenal,DEF,Maitland-Niles
Akin Famewo,0,0,0,0,0.0,552,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,0,0,0,0,11,0,2910,0,2,0.0,0,362,605,243,40,False,0,Brighton,Norwich,DEF,Famewo
Albian Ajeti,0,0,1,0,21.8,514,110,1,0,2.9,3.0,2019-11-02T15:00:00Z,45,0,0,0,0,11,0,2576,3,2,4.0,1,0,100,100,58,True,0,Newcastle,West Ham,FWD,Ajeti
Alexander Tettey,0,0,14,0,0.0,289,104,1,0,1.5,15.2,2019-11-02T15:00:00Z,83,0,0,0,0,11,0,11992,0,2,0.0,2,-3,371,374,45,False,0,Brighton,Norwich,MID,Tettey
