name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,web_name
Aaron Connolly,0,0,0,0,0.1,534,334,1,0,0.4,0.0,2020-07-08T19:15:00Z,19,0,0,0,0,34,0,193857,3,1,6,1,-342,18924,19266,42,True,0,Liverpool,Brighton,FWD,Connolly
Aaron Cresswell,0,0,15,0,18.8,376,340,1,0,3.1,12.4,2020-07-08T17:00:00Z,90,0,0,0,0,34,0,102714,1,0,0,2,10722,12833,2111,45,True,0,Burnley,West Ham,DEF,Cresswell
Aaron Lennon,0,0,0,0,0.0,430,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,0,0,0,0,34,0,6433,1,0,0,0,-132,5,137,46,False,0,West Ham,Burnley,MID,Lennon
Aaron Mooy,0,0,5,0,15.0,516,334,1,0,2.1,5.6,2020-07-08T19:15:00Z,19,0,0,0,0,34,0,35559,3,1,0,1,362,1706,1344,47,True,0,Liverpool,Brighton,MID,Mooy
Aaron Ramsdale,0,0,20,1,4.0,494,333,0,0,0.7,3.2,2020-07-09T17:00:00Z,90,0,0,0,0,34,0,247887,0,0,0,6,-6334,1997,8331,45,True,0,Spurs,Bournemouth,GK,Ramsdale
Aaron Wan-Bissaka,0,0,13,1,3.2,122,332,0,0,1.3,2.6,2020-07-09T19:15:00Z,65,0,0,0,0,34,0,1481804,3,0,7,5,17221,75256,58035,55,False,1,Aston Villa,Man Utd,DEF,Wan-Bissaka
Abd-Al-Ali Morakinyo Olaposi Koiki,0,0,0,0,0.0,596,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,0,0,0,0,34,0,3216,1,0,0,0,-184,6,190,40,False,0,West Ham,Burnley,DEF,Koiki
Abdoulaye Doucouré,0,0,7,0,4.6,368,339,1,0,1.8,5.4,2020-07-07T17:00:00Z,90,0,0,0,0,34,0,154065,1,2,8,2,3874,11461,7587,55,True,0,Norwich,Watford,MID,Doucouré
Adalberto Peñaranda,0,0,0,0,0.0,648,339,0,0,0.0,0.0,2020-07-07T17:00:00Z,0,0,0,0,0,34,0,172,1,2,0,0,25,54,29,45,True,0,Norwich,Watford,FWD,Peñaranda
Adama Traoré,0,0,8,1,8.4,417,338,0,0,2.1,6.8,2020-07-08T17:00:00Z,78,0,0,0,0,34,0,1275503,0,1,6,3,-76247,30391,106638,57,False,0,Sheffield Utd,Wolves,MID,Traoré
Adam Idah,0,0,-2,0,0.6,538,339,0,0,0.5,0.0,2020-07-07T17:00:00Z,14,0,0,0,0,34,0,9978,1,2,7,1,61,342,281,44,False,0,Watford,Norwich,FWD,Idah
Adam Lallana,0,0,0,0,0.0,195,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,0,0,0,0,34,0,9438,3,1,0,0,-38,21,59,57,False,0,Brighton,Liverpool,MID,Lallana
Adam Masina,0,0,6,0,1.8,355,339,1,0,0.4,0.4,2020-07-07T17:00:00Z,90,0,0,0,0,34,0,32402,1,2,2,2,4381,5688,1307,43,True,0,Norwich,Watford,DEF,Masina
Adam Smith,0,0,20,1,0.9,63,333,0,0,1.5,12.0,2020-07-09T17:00:00Z,62,0,0,0,0,34,0,30133,0,0,2,6,-189,191,380,43,True,0,Spurs,Bournemouth,DEF,Adam Smith
Adam Webster,0,0,19,0,0.8,493,334,3,0,4.7,46.6,2020-07-08T19:15:00Z,90,0,0,0,0,34,0,33601,3,1,0,1,2199,3036,837,44,True,0,Liverpool,Brighton,DEF,Webster
Addji Keaninkin Marc-Israel Guehi,0,0,0,0,0.0,545,335,0,0,0.0,0.0,2020-07-07T17:00:00Z,0,0,0,0,0,34,0,6439,3,2,0,0,83,171,88,39,False,0,Crystal Palace,Chelsea,DEF,Guehi
Ademola Lookman,0,0,0,0,0.0,155,336,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,0,0,0,0,34,0,464,1,1,0,0,1,1,0,50,True,0,Southampton,Everton,MID,Lookman
Adrian Mariappa,0,0,0,0,0.0,356,339,0,0,0.0,0.0,2020-07-07T17:00:00Z,0,0,0,0,0,34,0,19529,1,2,0,0,207,604,397,42,True,0,Norwich,Watford,DEF,Mariappa
Adrián San Miguel del Castillo,0,0,0,0,0.0,526,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,0,0,0,0,34,0,155979,3,1,0,0,-614,1261,1875,40,False,0,Brighton,Liverpool,GK,Adrián
Ahmed El Mohamady,0,0,0,0,0.0,22,332,0,0,0.0,0.0,2020-07-09T19:15:00Z,0,0,0,0,0,34,0,78855,3,0,0,0,926,2897,1971,41,True,0,Man Utd,Aston Villa,DEF,El Mohamady
Ainsley Maitland-Niles,0,0,3,0,0.5,4,331,0,0,0.1,0.4,2020-07-07T19:15:00Z,1,0,0,0,0,34,0,168886,1,1,0,1,-985,658,1643,45,True,0,Leicester,Arsenal,DEF,Maitland-Niles
Akin Famewo,0,0,0,0,0.0,552,339,0,0,0.0,0.0,2020-07-07T17:00:00Z,0,0,0,0,0,34,0,4972,1,2,0,0,162,283,121,39,False,0,Watford,Norwich,DEF,Famewo
Albian Ajeti,0,0,2,0,0.0,514,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,4,0,0,0,0,34,0,2770,1,0,1,1,-27,36,63,56,True,0,Burnley,West Ham,FWD,Ajeti
Alexander Tettey,0,0,5,0,2.0,289,339,1,0,0.8,5.6,2020-07-07T17:00:00Z,54,0,0,0,0,34,0,23446,1,2,0,0,-657,315,972,45,False,1,Watford,Norwich,MID,Tettey
Alexandre Nascimento Costa Silva,0,0,0,0,0.0,387,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,0,0,0,0,34,0,66769,1,0,0,0,-282,952,1234,43,True,0,Burnley,West Ham,FWD,Xande Silva
Alexandre Jankewitz,0,0,0,0,0.0,649,336,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,0,0,0,0,34,0,31,1,1,0,0,4,8,4,45,False,0,Everton,Southampton,MID,Jankewitz
Alexandre Lacazette,0,0,-2,1,12.6,12,331,0,0,5.3,6.2,2020-07-07T19:15:00Z,70,0,0,0,0,34,0,149215,1,1,34,2,-914,2945,3859,92,True,0,Leicester,Arsenal,FWD,Lacazette
Alexis Mac Allister,0,0,5,0,11.3,627,334,2,0,1.9,7.2,2020-07-08T19:15:00Z,70,0,0,0,0,34,0,1079,3,1,0,2,-106,41,147,55,True,0,Liverpool,Brighton,MID,Mac Allister
Alexis Sánchez,0,0,0,0,0.0,240,332,0,0,0.0,0.0,2020-07-09T19:15:00Z,0,0,0,0,0,34,0,28339,3,0,0,0,-10,22,32,68,False,0,Aston Villa,Man Utd,MID,Sánchez
Alex Iwobi,0,0,0,0,0.7,17,336,1,0,2.1,3.6,2020-07-09T17:00:00Z,45,0,0,0,0,34,0,66584,1,1,17,1,-374,208,582,56,True,0,Southampton,Everton,MID,Iwobi
Alex McCarthy,0,0,14,0,0.0,318,336,1,0,2.4,24.0,2020-07-09T17:00:00Z,90,0,0,0,0,34,3,272752,1,1,0,3,4718,9903,5185,45,False,0,Everton,Southampton,GK,McCarthy
Alex Oxlade-Chamberlain,0,0,9,0,15.8,193,334,1,0,4.6,0.4,2020-07-08T19:15:00Z,60,0,0,0,0,34,0,42957,3,1,30,2,-966,565,1531,61,False,0,Brighton,Liverpool,MID,Chamberlain
Alfie Lewis,0,0,0,0,0.0,651,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,0,0,0,0,34,0,67,1,0,0,0,11,23,12,45,True,0,Burnley,West Ham,MID,Lewis
Alfie Whiteman,0,0,0,0,0.0,543,333,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,0,0,0,0,34,0,35574,0,0,0,0,-177,66,243,40,False,0,Bournemouth,Spurs,GK,Whiteman
Alireza Jahanbakhsh,0,0,0,0,0.0,50,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,0,0,0,0,34,0,7445,3,1,0,0,-63,12,75,58,True,0,Liverpool,Brighton,MID,Jahanbakhsh
Alisson Ramses Becker,0,0,11,0,0.0,189,334,1,0,1.2,11.8,2020-07-08T19:15:00Z,90,0,0,0,0,34,1,724458,3,1,0,2,7360,12722,5362,62,False,0,Brighton,Liverpool,GK,Alisson
Allan Saint-Maximin,0,0,0,0,0.0,500,337,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,0,0,0,0,34,0,260201,0,5,0,0,-22959,27235,50194,55,False,0,Man City,Newcastle,MID,Saint-Maximin
Andreas Christensen,0,0,14,0,0.7,108,335,2,0,1.6,15.4,2020-07-07T17:00:00Z,90,0,0,0,0,34,0,60401,3,2,0,1,6583,7476,893,48,False,0,Crystal Palace,Chelsea,DEF,Christensen
Andreas Pereira,0,0,0,0,0.0,246,332,0,0,0.0,0.0,2020-07-09T19:15:00Z,0,0,0,0,0,34,0,28380,3,0,0,0,-428,71,499,48,False,0,Aston Villa,Man Utd,MID,Pereira
Andrew Robertson,1,1,30,0,59.8,181,334,0,0,9.7,32.8,2020-07-08T19:15:00Z,45,0,0,0,0,34,0,1332327,3,1,4,5,-3188,16426,19614,70,False,0,Brighton,Liverpool,DEF,Robertson
Andrew Surman,0,0,0,0,0.0,80,333,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,0,0,0,0,34,0,2719,0,0,0,0,-20,11,31,47,True,0,Spurs,Bournemouth,MID,Surman
Andre Gray,0,0,0,0,0.0,364,339,0,0,0.0,0.0,2020-07-07T17:00:00Z,0,0,0,0,0,34,0,27266,1,2,0,0,42,437,395,55,True,0,Norwich,Watford,FWD,Gray
Andre Green,0,0,0,0,0.0,32,332,0,0,0.0,0.0,2020-07-09T19:15:00Z,0,0,0,0,0,34,0,787,3,0,0,0,16,28,12,48,True,0,Man Utd,Aston Villa,MID,Green
Andriy Yarmolenko,0,0,13,0,24.8,392,340,1,0,8.1,15.0,2020-07-08T17:00:00Z,61,0,0,0,0,34,0,56721,1,0,41,2,878,1522,644,52,True,0,Burnley,West Ham,MID,Yarmolenko
Andros Townsend,0,0,2,0,4.7,135,335,0,0,0.7,2.4,2020-07-07T17:00:00Z,10,0,0,0,0,34,0,71044,3,2,0,1,-227,189,416,56,True,0,Chelsea,Crystal Palace,MID,Townsend
André Filipe Tavares Gomes,0,0,-1,0,10.4,422,336,1,0,0.8,0.0,2020-07-09T17:00:00Z,41,0,0,0,0,34,0,23018,1,1,0,1,21,284,263,52,True,0,Southampton,Everton,MID,André Gomes
Andy Carroll,0,0,0,0,0.0,520,337,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,0,0,0,0,34,0,7574,0,5,0,0,-350,150,500,54,False,0,Man City,Newcastle,FWD,Carroll
Andy King,0,0,0,0,0.0,480,331,0,0,0.0,0.0,2020-07-07T19:15:00Z,0,0,0,0,0,34,0,29566,1,1,0,0,70,1613,1543,42,False,0,Arsenal,Leicester,MID,King
Andy Lonergan,0,0,0,0,0.0,530,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,0,0,0,0,34,0,2021,3,1,0,0,-13,3,16,42,False,0,Brighton,Liverpool,GK,Lonergan
Angelo Ogbonna,0,0,14,0,14.6,377,340,1,0,3.5,15.8,2020-07-08T17:00:00Z,90,0,0,0,0,34,0,66236,1,0,5,2,155,1177,1022,45,True,0,Burnley,West Ham,DEF,Ogbonna
Angel Gomes,0,0,0,0,0.0,245,332,0,0,0.0,0.0,2020-07-09T19:15:00Z,0,0,0,0,0,34,0,6728,3,0,0,0,-83,2,85,47,False,0,Aston Villa,Man Utd,MID,Gomes
Angus Gunn,0,0,0,0,0.0,319,336,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,0,0,0,0,34,0,100551,1,1,0,0,-701,228,929,42,False,0,Everton,Southampton,GK,Gunn
Anthony Driscoll-Glennon,0,0,0,0,0.0,572,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,0,0,0,0,34,0,2906,1,0,0,0,52,138,86,39,False,0,West Ham,Burnley,DEF,Driscoll-Glennon
Anthony Gordon,0,0,7,0,4.4,561,336,1,0,1.3,7.0,2020-07-09T17:00:00Z,73,0,0,0,0,34,0,6455,1,1,2,2,260,799,539,45,True,0,Southampton,Everton,FWD,Gordon
