name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Aaron Connolly,0,0,1,0,0.1,534,37,1,0,0.0,0.2,2019-08-31T14:00:00Z,24,0,0,0,0,4,0,0,0,4,0,1,0,0,0,45,False,0,Man City,Brighton,FWD,0
Aaron Cresswell,0,0,0,0,0.0,376,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,0,0,0,0,4,0,23220,0,2,0,0,-2026,1064,3090,49,True,0,Norwich,West Ham,DEF,0
Aaron Lennon,0,0,7,0,2.4,430,32,3,0,0.5,2.8,2019-08-31T16:30:00Z,90,0,0,0,0,4,0,7475,3,0,0,2,-852,343,1195,49,True,0,Liverpool,Burnley,MID,0
Aaron Mooy,0,0,0,0,0.0,516,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,0,0,0,0,4,0,13914,0,4,0,0,-2921,388,3309,50,False,0,Man City,Brighton,MID,0
Aaron Ramsdale,0,0,13,0,0.0,494,36,3,0,1.3,13.0,2019-08-31T14:00:00Z,90,0,0,0,0,4,2,19406,1,3,0,1,4356,7190,2834,45,False,0,Leicester,Bournemouth,GK,0
Aaron Wan-Bissaka,0,0,13,0,13.2,122,39,1,0,5.0,27.0,2019-08-31T11:30:00Z,90,0,0,0,0,4,0,2212774,1,1,10,2,-159617,59340,218957,56,False,0,Southampton,Man Utd,DEF,0
Abdoulaye Doucouré,0,0,9,0,3.7,368,38,1,0,3.3,7.4,2019-08-31T14:00:00Z,70,0,0,0,0,4,0,104908,1,1,22,1,-25500,1172,26672,59,False,1,Newcastle,Watford,MID,0
Adama Traoré,0,0,6,0,1.3,417,35,3,0,1.7,13.4,2019-09-01T13:00:00Z,90,0,0,0,0,4,0,20863,2,3,2,2,-457,2396,2853,50,False,0,Everton,Wolves,MID,0
Adam Lallana,0,0,0,0,0.0,195,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,0,0,0,0,4,0,7520,3,0,0,0,-457,300,757,59,False,0,Burnley,Liverpool,MID,0
Adam Masina,0,0,0,0,0.0,355,38,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,0,0,0,0,4,0,4512,1,1,0,0,-354,46,400,44,False,0,Newcastle,Watford,DEF,0
Adam Smith,0,0,12,0,1.3,63,36,2,0,3.1,7.2,2019-08-31T14:00:00Z,63,0,0,0,0,4,0,75064,1,3,22,1,-5546,3428,8974,45,False,0,Leicester,Bournemouth,DEF,0
Adam Webster,0,0,15,0,0.8,493,37,4,0,2.1,18.4,2019-08-31T14:00:00Z,90,0,0,0,0,4,0,5678,0,4,2,0,-542,53,595,44,False,0,Man City,Brighton,DEF,0
Ademola Lookman,0,0,0,0,0.0,155,35,0,0,0.0,0.0,2019-09-01T13:00:00Z,0,0,0,0,0,4,0,531,2,3,0,0,-51,17,68,50,True,0,Wolves,Everton,MID,0
Adrian Mariappa,0,0,0,0,0.0,356,38,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,0,0,0,0,4,0,12689,1,1,0,0,-1158,156,1314,44,False,0,Newcastle,Watford,DEF,0
Adrián,0,0,25,1,0.0,526,32,0,0,2.1,20.8,2019-08-31T16:30:00Z,90,0,0,0,0,4,2,330807,3,0,0,6,82258,107126,24868,45,False,0,Burnley,Liverpool,GK,0
Ahmed Elmohamady,0,0,0,0,0.0,22,34,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,0,0,0,0,4,0,114557,0,1,0,0,-11443,4902,16345,45,False,0,Crystal Palace,Aston Villa,DEF,0
