transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,team_a_score,influence,saves,assists,transfers_in,xP,creativity,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,fixture,transfers_out,round,name,threat,position,ict_index,penalties_saved,team_h_score
0,Man City,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,60,3165,514,0,0,True,0,0,0,West Ham,8,0,1,Albian Ajeti,0,FWD,0.0,0,0
0,Liverpool,0,0,0,0,0,2019-08-09T19:00:00Z,0,1,0.0,0,0,0,0,0.0,45,10849,289,0,0,False,0,0,0,Norwich,1,0,1,Alexander Tettey,0,MID,0.0,0,4
0,Man City,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,45,118372,387,0,0,True,0,0,0,West Ham,8,0,1,Alexandre Nascimento Costa Silva,0,FWD,0.0,0,0
0,Newcastle,0,0,0,0,0,2019-08-11T13:00:00Z,0,1,0.0,0,0,0,0,0.0,95,193916,12,0,0,False,0,0,0,Arsenal,10,0,1,Alexandre Lacazette,0,FWD,0.0,0,0
0,Chelsea,0,0,0,0,0,2019-08-11T15:30:00Z,0,0,0.0,0,0,0,0,0.0,70,68707,240,0,0,True,0,0,0,Man Utd,9,0,1,Alexis Sánchez,0,MID,0.0,0,4
0,Crystal Palace,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,60,128875,17,0,0,False,0,0,0,Everton,4,0,1,Alex Iwobi,0,MID,0.0,0,0
0,Burnley,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,45,45934,318,0,0,False,0,0,0,Southampton,3,0,1,Alex McCarthy,0,GK,0.0,0,3
0,Norwich,0,0,0,0,0,2019-08-09T19:00:00Z,0,1,0.0,0,0,0,0,0.0,65,28598,193,0,0,True,0,0,0,Liverpool,1,0,1,Alex Oxlade-Chamberlain,0,MID,0.0,0,4
0,Watford,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,60,5564,50,0,0,False,0,0,0,Brighton,7,0,1,Alireza Jahanbakhsh,0,MID,0.0,0,0
0,Norwich,0,0,0,0,1,2019-08-09T19:00:00Z,0,1,5.6,2,0,0,0,0.0,60,1769075,189,0,7,True,38,0,0,Liverpool,1,0,1,Alisson,0,GK,0.6,0,4
0,Arsenal,0,0,0,0,1,2019-08-11T13:00:00Z,0,1,0.0,0,0,0,0,0.0,55,34113,500,0,2,True,23,0,0,Newcastle,10,0,1,Allan Saint-Maximin,0,MID,0.0,0,0
0,Man Utd,0,0,0,4,0,2019-08-11T15:30:00Z,0,0,23.2,0,0,0,0,1.6,50,52353,108,0,16,False,90,0,0,Chelsea,9,0,1,Andreas Christensen,2,DEF,2.7,0,4
0,Chelsea,0,0,1,0,6,2019-08-11T15:30:00Z,0,0,22.0,0,1,0,0,20.1,50,9129,246,0,22,True,73,0,0,Man Utd,9,0,1,Andreas Pereira,4,MID,4.6,0,4
0,Norwich,0,0,0,1,2,2019-08-09T19:00:00Z,0,1,12.4,0,0,0,0,24.7,70,1889240,181,0,15,True,90,0,0,Liverpool,1,0,1,Andrew Robertson,7,DEF,4.4,0,4
0,Sheffield Utd,0,0,0,0,0,2019-08-10T14:00:00Z,0,1,0.0,0,0,0,0,0.0,50,3616,80,0,0,True,0,0,0,Bournemouth,2,0,1,Andrew Surman,0,MID,0.0,0,1
0,Brighton,0,0,0,2,2,2019-08-10T14:00:00Z,0,3,1.4,0,0,0,0,2.5,60,46334,364,0,3,True,74,0,0,Watford,7,0,1,Andre Gray,17,FWD,2.1,0,0
0,Spurs,0,0,0,0,0,2019-08-10T16:30:00Z,0,1,0.0,0,0,0,0,0.0,50,1639,32,0,0,False,0,0,0,Aston Villa,6,0,1,Andre Green,0,MID,0.0,0,3
0,Man City,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,60,11742,392,0,0,True,0,0,0,West Ham,8,0,1,Andriy Yarmolenko,0,MID,0.0,0,0
0,Everton,0,0,1,0,3,2019-08-10T14:00:00Z,0,0,10.0,0,0,0,0,11.7,60,212703,135,0,14,True,90,0,0,Crystal Palace,4,0,1,Andros Townsend,0,MID,2.2,0,0
0,Crystal Palace,0,0,0,0,1,2019-08-10T14:00:00Z,0,0,7.6,0,0,0,0,11.3,55,68985,422,0,6,False,45,0,0,Everton,4,0,1,André Gomes,0,MID,1.9,0,0
0,Arsenal,0,0,0,0,0,2019-08-11T13:00:00Z,0,1,0.0,0,0,0,0,0.0,55,10294,520,0,0,True,0,0,0,Newcastle,10,0,1,Andy Carroll,0,FWD,0.0,0,0
0,Wolves,0,0,0,0,0,2019-08-11T13:00:00Z,0,0,0.0,0,0,0,0,0.0,45,33262,480,0,0,True,0,0,0,Leicester,5,0,1,Andy King,0,MID,0.0,0,0
0,Man City,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,45,19136,377,0,0,True,0,0,0,West Ham,8,0,1,Angelo Ogbonna,0,DEF,0.0,0,0
0,Chelsea,0,0,0,0,0,2019-08-11T15:30:00Z,0,0,0.0,0,0,0,0,0.0,50,7553,245,0,0,True,0,0,0,Man Utd,9,0,1,Angel Gomes,0,MID,0.0,0,4
0,Burnley,0,0,0,3,1,2019-08-10T14:00:00Z,0,0,9.8,1,0,0,0,0.0,45,49447,319,0,10,False,90,0,0,Southampton,3,0,1,Angus Gunn,0,GK,1.0,0,3
0,Watford,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,55,1177,52,0,0,False,0,0,0,Brighton,7,0,1,Anthony Knockaert,0,MID,0.0,0,0
0,Chelsea,0,0,1,0,7,2019-08-11T15:30:00Z,0,0,39.2,0,0,0,0,19.3,75,327361,239,1,19,True,90,0,1,Man Utd,9,0,1,Anthony Martial,71,MID,13.0,0,4
0,Man Utd,0,0,0,0,0,2019-08-11T15:30:00Z,0,0,0.0,0,0,0,0,0.0,60,6039,104,0,0,False,0,0,0,Chelsea,9,0,1,Antonio Rüdiger,0,DEF,0.0,0,4
0,Spurs,0,0,0,3,2,2019-08-10T16:30:00Z,0,1,1.4,0,0,0,0,5.3,55,19086,30,0,0,False,90,0,0,Aston Villa,6,0,1,Anwar El Ghazi,8,MID,1.5,0,3
0,Sheffield Utd,0,0,0,0,0,2019-08-10T14:00:00Z,0,1,0.0,0,0,0,0,0.0,60,4272,492,0,0,True,0,0,0,Bournemouth,2,0,1,Arnaut Danjuma,0,MID,0.0,0,1
0,Man City,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,45,23599,378,0,0,True,0,0,0,West Ham,8,0,1,Arthur Masuaku,0,DEF,0.0,0,0
0,Sheffield Utd,0,0,0,0,0,2019-08-10T14:00:00Z,0,1,0.0,0,0,0,0,0.0,45,25338,73,0,0,True,0,0,0,Bournemouth,2,0,1,Artur Boruc,0,GK,0.0,0,1
0,Southampton,3,0,1,0,13,2019-08-10T14:00:00Z,0,0,71.4,0,0,0,0,1.8,65,43298,90,2,58,True,83,0,0,Burnley,3,0,1,Ashley Barnes,89,FWD,16.2,0,3
0,Southampton,0,0,1,0,3,2019-08-10T14:00:00Z,0,0,6.4,0,0,0,0,11.5,55,51159,101,0,7,True,90,0,0,Burnley,3,0,1,Ashley Westwood,0,MID,1.8,0,3
0,Chelsea,0,0,0,0,0,2019-08-11T15:30:00Z,0,0,0.0,0,0,0,0,0.0,55,24251,224,0,0,True,0,0,0,Man Utd,9,0,1,Ashley Young,0,DEF,0.0,0,4
0,Sheffield Utd,0,0,0,0,0,2019-08-10T14:00:00Z,0,1,0.0,0,0,0,0,0.0,45,176267,72,0,0,True,0,0,0,Bournemouth,2,0,1,Asmir Begovic,0,GK,0.0,0,1
0,Chelsea,0,0,0,0,0,2019-08-11T15:30:00Z,0,0,0.0,0,0,0,0,0.0,45,7610,481,0,0,True,0,0,0,Man Utd,9,0,1,Axel Tuanzebe,0,DEF,0.0,0,4
0,West Ham,0,0,1,0,6,2019-08-10T11:30:00Z,0,5,19.2,0,0,0,0,0.9,65,459735,202,0,26,False,90,0,0,Man City,8,0,1,Aymeric Laporte,0,DEF,2.0,0,0
0,Wolves,0,0,1,0,3,2019-08-11T13:00:00Z,0,0,2.0,0,0,0,0,3.6,65,960786,265,0,7,True,75,0,0,Leicester,5,0,1,Ayoze Pérez,12,MID,1.8,0,0
0,Southampton,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,45,3785,495,0,0,True,0,0,0,Burnley,3,0,1,Bailey Peacock-Farrell,0,GK,0.0,0,3
0,Aston Villa,0,0,0,0,0,2019-08-10T16:30:00Z,0,1,0.0,0,0,0,0,0.0,85,38989,344,0,0,True,0,0,0,Spurs,6,0,1,Dele Alli,0,MID,0.0,0,3
0,Wolves,0,0,1,0,6,2019-08-11T13:00:00Z,0,0,5.4,0,0,0,0,16.8,55,315266,161,0,23,True,90,0,0,Leicester,5,0,1,Ben Chilwell,9,DEF,3.1,0,0
0,West Ham,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,60,22287,204,0,0,False,0,0,0,Man City,8,0,1,Benjamin Mendy,0,DEF,0.0,0,0
0,Aston Villa,0,0,0,0,0,2019-08-10T16:30:00Z,0,1,0.0,0,0,0,0,0.0,55,9750,329,0,0,True,0,0,0,Spurs,6,0,1,Ben Davies,0,DEF,0.0,0,3
0,Brighton,0,0,0,3,1,2019-08-10T14:00:00Z,0,3,10.0,1,0,0,0,0.0,50,168877,366,0,9,True,90,0,0,Watford,7,0,1,Ben Foster,0,GK,1.0,0,0
0,Southampton,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,40,182745,89,0,0,True,0,0,0,Burnley,3,0,1,Ben Gibson,0,DEF,0.0,0,3
0,Liverpool,0,0,0,4,0,2019-08-09T19:00:00Z,0,1,23.8,0,0,0,0,0.1,45,13966,273,0,18,False,90,0,0,Norwich,1,0,1,Ben Godfrey,7,DEF,3.1,0,4
0,Man City,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,40,67721,384,0,0,True,0,0,0,West Ham,8,0,1,Ben Johnson,0,DEF,0.0,0,0
0,Southampton,0,0,1,0,6,2019-08-10T14:00:00Z,0,0,21.2,0,0,0,0,0.1,50,47250,83,0,27,True,90,0,0,Burnley,3,0,1,Ben Mee,2,DEF,2.3,0,3
0,Bournemouth,0,0,0,0,0,2019-08-10T14:00:00Z,0,1,0.0,0,0,0,0,0.0,50,2668,472,0,0,False,0,0,0,Sheffield Utd,2,0,1,Ben Osborn,0,MID,0.0,0,1
0,Watford,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,45,6689,56,0,0,False,0,0,0,Brighton,7,0,1,Beram Kayal,0,MID,0.0,0,0
0,West Ham,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,80,1507840,218,0,0,False,0,0,0,Man City,8,0,1,Bernardo Silva,0,MID,0.0,0,0
0,Watford,0,0,0,0,1,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.4,45,9572,39,0,3,False,1,0,0,Brighton,7,0,1,Bernardo,0,DEF,0.0,0,0
0,Crystal Palace,0,0,1,0,2,2019-08-10T14:00:00Z,0,0,6.8,0,0,0,0,19.5,65,29043,152,0,4,False,90,0,1,Everton,4,0,1,Bernard,10,MID,3.6,0,0
0,Newcastle,1,0,1,0,7,2019-08-11T13:00:00Z,0,1,18.0,2,0,0,0,0.0,50,276322,14,0,27,False,90,0,0,Arsenal,10,0,1,Bernd Leno,0,GK,1.8,0,0
0,Bournemouth,3,0,0,0,8,2019-08-10T14:00:00Z,0,1,32.4,0,0,0,0,0.5,60,46529,298,1,26,False,8,0,0,Sheffield Utd,2,0,1,Billy Sharp,35,FWD,6.8,0,1
0,Spurs,0,0,0,0,0,2019-08-10T16:30:00Z,0,1,0.0,0,0,0,0,0.0,45,9062,33,0,0,False,0,0,0,Aston Villa,6,0,1,Birkir Bjarnason,0,MID,0.0,0,3
0,Spurs,0,0,0,3,1,2019-08-10T16:30:00Z,0,1,27.8,0,0,0,0,0.0,45,6280,455,0,12,False,90,0,0,Aston Villa,6,0,1,Björn Engels,0,DEF,2.8,0,3
0,Man Utd,0,0,0,0,0,2019-08-11T15:30:00Z,0,0,0.0,0,0,0,0,0.0,60,10428,116,0,0,False,0,0,0,Chelsea,9,0,1,Callum Hudson-Odoi,0,MID,0.0,0,4
0,Bournemouth,0,0,0,1,2,2019-08-10T14:00:00Z,0,1,4.6,0,0,0,0,0.9,55,55367,453,0,2,False,90,0,0,Sheffield Utd,2,0,1,Callum Robinson,29,MID,3.5,0,1
0,Burnley,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,45,10048,327,0,0,False,0,0,0,Southampton,3,0,1,Callum Slattery,0,MID,0.0,0,3
0,Sheffield Utd,0,0,0,1,5,2019-08-10T14:00:00Z,0,1,2.4,0,1,0,0,2.3,80,1093028,67,0,10,True,89,0,0,Bournemouth,2,0,1,Callum Wilson,35,FWD,4.0,0,1
0,Newcastle,0,0,1,0,6,2019-08-11T13:00:00Z,0,1,13.0,0,0,0,0,0.2,45,39038,467,0,26,False,90,0,0,Arsenal,10,0,1,Calum Chambers,0,DEF,1.3,0,0
0,Man City,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,45,20626,397,0,0,True,0,0,0,West Ham,8,0,1,Carlos Sánchez,0,MID,0.0,0,0
0,Newcastle,0,0,0,0,0,2019-08-11T13:00:00Z,0,1,0.0,0,0,0,0,0.0,45,3502,9,0,0,False,0,0,0,Arsenal,10,0,1,Carl Jenkinson,0,DEF,0.0,0,0
0,Crystal Palace,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,60,11663,146,0,0,False,0,0,0,Everton,4,0,1,Cenk Tosun,0,FWD,0.0,0,0
0,Burnley,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,60,11296,312,0,0,False,0,0,0,Southampton,3,0,1,Charlie Austin,0,FWD,0.0,0,3
0,Sheffield Utd,0,0,0,0,0,2019-08-10T14:00:00Z,0,1,0.0,0,0,0,0,0.0,45,14037,60,0,0,True,0,0,0,Bournemouth,2,0,1,Charlie Daniels,0,DEF,0.0,0,1
0,Southampton,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,45,91379,87,0,0,True,0,0,0,Burnley,3,0,1,Charlie Taylor,0,DEF,0.0,0,3
0,Everton,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,50,10397,139,0,0,True,0,0,0,Crystal Palace,4,0,1,Cheikhou Kouyaté,0,MID,0.0,0,0
0,Burnley,0,0,0,2,2,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,1.8,60,75736,437,0,-5,False,72,0,0,Southampton,3,0,1,Che Adams,21,FWD,1.6,0,3
0,Arsenal,0,0,0,0,0,2019-08-11T13:00:00Z,0,1,0.0,0,0,0,0,0.0,55,7932,267,0,0,True,0,0,0,Newcastle,10,0,1,Christian Atsu,0,MID,0.0,0,0
0,Everton,0,0,1,0,2,2019-08-10T14:00:00Z,0,0,9.6,0,0,0,0,15.0,60,56054,129,0,9,True,82,0,0,Crystal Palace,4,0,1,Christian Benteke,2,FWD,2.7,0,0
0,Aston Villa,0,0,0,0,1,2019-08-10T16:30:00Z,0,1,12.6,0,0,0,0,40.8,90,370921,343,0,10,True,26,0,0,Spurs,6,0,1,Christian Eriksen,18,MID,7.1,0,3
0,Wolves,0,0,0,0,0,2019-08-11T13:00:00Z,0,0,0.0,0,0,0,0,0.0,45,22675,163,0,0,True,0,0,0,Leicester,5,0,1,Christian Fuchs,0,DEF,0.0,0,0
0,Brighton,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,45,13634,354,0,0,True,0,0,0,Watford,7,0,1,Christian Kabasele,0,DEF,0.0,0,0
0,Man Utd,0,0,0,3,1,2019-08-11T15:30:00Z,0,0,6.0,0,0,0,0,11.8,75,498277,431,0,4,False,32,0,0,Chelsea,9,0,1,Christian Pulisic,8,MID,2.6,0,4
0,Liverpool,0,0,0,0,0,2019-08-09T19:00:00Z,0,1,0.0,0,0,0,0,0.0,45,1528,275,0,0,False,0,0,0,Norwich,1,0,1,Christoph Zimmermann,0,DEF,0.0,0,4
0,Bournemouth,0,0,0,1,2,2019-08-10T14:00:00Z,0,1,9.6,0,0,0,0,1.5,45,8809,423,0,9,False,81,0,0,Sheffield Utd,2,0,1,Chris Basham,2,DEF,1.3,0,1
0,Sheffield Utd,2,0,0,1,10,2019-08-10T14:00:00Z,0,1,47.4,0,0,0,0,1.2,45,8741,61,1,24,True,90,0,0,Bournemouth,2,0,1,Chris Mepham,68,DEF,11.7,0,1
0,Chelsea,0,0,0,0,0,2019-08-11T15:30:00Z,0,0,0.0,0,0,0,0,0.0,55,17251,223,0,0,True,0,0,0,Man Utd,9,0,1,Chris Smalling,0,DEF,0.0,0,4
0,Southampton,0,0,1,0,2,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.7,65,99872,91,0,-1,True,90,0,0,Burnley,3,0,1,Chris Wood,8,FWD,0.8,0,3
0,Arsenal,0,0,0,0,0,2019-08-11T13:00:00Z,0,1,0.0,0,0,0,0,0.0,45,11409,259,0,0,True,0,0,0,Newcastle,10,0,1,Ciaran Clark,0,DEF,0.0,0,0
0,West Ham,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,50,18987,213,0,0,False,0,0,0,Man City,8,0,1,Claudio Bravo,0,GK,0.0,0,0
0,Everton,0,0,0,0,1,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.5,45,280588,130,0,1,True,7,0,0,Crystal Palace,4,0,1,Connor Wickham,2,FWD,0.2,0,0
0,Leicester,0,0,1,0,6,2019-08-11T13:00:00Z,0,0,10.0,0,0,0,0,0.0,50,91016,403,0,20,False,90,0,0,Wolves,5,0,1,Conor Coady,0,DEF,1.0,0,0
0,Spurs,0,0,0,1,2,2019-08-10T16:30:00Z,0,1,16.4,0,0,0,0,10.8,60,15856,28,0,12,False,81,0,0,Aston Villa,6,0,1,Conor Hourihane,0,MID,2.7,0,3
0,Brighton,0,0,0,3,1,2019-08-10T14:00:00Z,0,3,10.4,0,0,0,0,0.3,45,261010,358,0,10,True,90,0,0,Watford,7,0,1,Craig Cathcart,0,DEF,1.1,0,0
0,Brighton,0,0,0,3,1,2019-08-10T14:00:00Z,0,3,21.2,0,0,0,0,0.4,50,16860,439,0,13,True,90,0,0,Watford,7,0,1,Craig Dawson,37,DEF,5.9,0,0
0,Burnley,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,50,18025,486,0,0,False,0,0,0,Arsenal,3,0,1,Cédric Soares,0,DEF,0.0,0,3
0,Man Utd,0,0,0,4,0,2019-08-11T15:30:00Z,0,0,24.2,0,0,0,0,16.7,60,471790,105,0,9,False,90,0,0,Chelsea,9,0,1,César Azpilicueta,2,DEF,4.3,0,4
0,Watford,0,0,1,0,3,2019-08-10T14:00:00Z,0,3,15.0,0,0,0,0,11.3,45,170109,57,0,11,False,90,0,0,Brighton,7,0,1,Dale Stephens,0,MID,2.6,0,0
0,Wolves,0,0,0,0,0,2019-08-11T13:00:00Z,0,0,0.0,0,0,0,0,0.0,45,18668,178,0,0,True,0,0,0,Leicester,5,0,1,Daniel Amartey,0,MID,0.0,0,0
0,Newcastle,0,0,0,0,1,2019-08-11T13:00:00Z,0,1,3.0,0,0,0,0,2.9,55,208921,469,0,3,False,26,0,0,Arsenal,10,0,1,Dani Ceballos,0,MID,0.6,0,0
0,Southampton,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,45,136850,120,0,0,True,0,0,0,Aston Villa,3,0,1,Daniel Drinkwater,0,MID,0.0,0,3
0,Chelsea,0,0,0,0,6,2019-08-11T15:30:00Z,0,0,33.0,0,0,0,0,0.5,60,128489,243,1,21,True,16,0,0,Man Utd,9,0,1,Daniel James,17,MID,5.1,0,4
0,West Ham,0,0,0,0,0,2019-08-10T11:30:00Z,0,5,0.0,0,0,0,0,0.0,50,7745,209,0,0,False,0,0,0,Man City,8,0,1,Danilo Luiz da Silva,0,DEF,0.0,0,0
0,Burnley,0,0,0,1,2,2019-08-10T14:00:00Z,0,0,4.8,0,0,0,0,11.0,60,130990,313,0,8,False,65,0,0,Southampton,3,0,1,Danny Ings,0,FWD,1.6,0,3
0,Aston Villa,0,0,0,1,2,2019-08-10T16:30:00Z,0,1,15.2,0,0,0,0,53.0,55,135628,332,0,13,True,90,0,0,Newcastle,6,0,1,Danny Rose,2,DEF,7.0,0,3
0,Wolves,0,0,0,0,0,2019-08-11T13:00:00Z,0,0,0.0,0,0,0,0,0.0,45,12460,170,0,0,True,0,0,0,Leicester,5,0,1,Danny Ward,0,GK,0.0,0,0
0,Brighton,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,60,8949,512,0,0,True,0,0,0,Watford,7,0,1,Danny Welbeck,0,FWD,0.0,0,0
0,Watford,0,0,1,0,6,2019-08-10T14:00:00Z,0,3,12.8,0,0,0,0,1.3,45,3535,475,0,23,False,90,0,0,Brighton,7,0,1,Dan Burn,1,DEF,1.5,0,0
0,Sheffield Utd,0,0,0,0,0,2019-08-10T14:00:00Z,0,1,0.0,0,0,0,0,0.0,50,1322,81,0,0,True,0,0,0,Bournemouth,2,0,1,Dan Gosling,0,MID,0.0,0,1
0,Brighton,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,45,35136,359,0,0,True,0,0,0,Watford,7,0,1,Daryl Janmaat,0,DEF,0.0,0,0
0,Man Utd,0,0,0,0,0,2019-08-11T15:30:00Z,0,0,0.0,0,0,0,0,0.0,45,27445,109,0,0,False,0,0,0,Chelsea,9,0,1,Davide Zappacosta,0,DEF,0.0,0,4
0,Sheffield Utd,0,0,0,0,0,2019-08-10T14:00:00Z,0,1,0.0,0,0,0,0,0.0,65,23881,76,0,0,True,0,0,0,Bournemouth,2,0,1,David Brooks,0,MID,0.0,0,1
0,Watford,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,40,1503984,48,0,0,False,0,0,0,Brighton,7,0,1,David Button,0,GK,0.0,0,0
0,Chelsea,2,0,1,0,10,2019-08-11T15:30:00Z,0,0,43.2,7,0,0,0,0.0,55,610697,235,0,34,True,90,0,0,Man Utd,9,0,1,David de Gea,0,GK,4.3,0,4
0,Newcastle,0,0,0,0,0,2019-08-11T13:00:00Z,0,1,0.0,0,0,0,0,0.0,60,514779,106,0,0,False,0,0,0,Arsenal,10,0,1,David Luiz,0,DEF,0.0,0,0
0,Bournemouth,0,0,0,1,2,2019-08-10T14:00:00Z,0,1,2.0,0,0,0,0,5.3,55,12742,303,0,0,False,62,0,0,Sheffield Utd,2,0,1,David McGoldrick,8,FWD,1.5,0,1
0,West Ham,0,0,1,0,3,2019-08-10T11:30:00Z,0,5,7.2,0,0,0,0,32.3,75,257201,219,0,11,False,79,0,0,Man City,8,0,1,David Silva,17,MID,5.7,0,0
0,Aston Villa,0,0,0,1,2,2019-08-10T16:30:00Z,0,1,15.2,0,0,0,0,11.8,55,63856,333,0,14,True,90,0,0,Spurs,6,0,1,Davinson Sánchez,21,DEF,4.8,0,3
0,Watford,0,0,1,0,6,2019-08-10T14:00:00Z,0,3,30.8,0,1,0,0,16.3,50,5703,54,0,26,False,90,0,0,Brighton,7,0,1,Davy Pröpper,1,MID,4.8,0,0
