transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,team_a_score,influence,saves,assists,transfers_in,xP,creativity,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,fixture,transfers_out,round,name,threat,position,ict_index,penalties_saved,team_h_score
0,Man City,0,0,0,5,0,2019-08-10T11:30:00Z,0,5,9.0,0,0,0,0,1.5,50,23399,376,0,7,True,90,0,0,West Ham,8,0,1,Aaron Cresswell,0,DEF,1.1,0,0
0,Southampton,0,0,0,0,1,2019-08-10T14:00:00Z,0,0,2.0,0,0,0,0,0.0,50,8105,430,0,3,True,6,0,0,Burnley,3,0,1,Aaron Lennon,0,MID,0.2,0,3
0,Watford,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,50,16261,516,0,0,False,0,0,0,Brighton,7,0,1,Aaron Mooy,0,MID,0.0,0,0
0,Sheffield Utd,0,0,0,1,2,2019-08-10T14:00:00Z,0,1,9.8,2,0,0,0,0.0,45,3091,494,0,11,True,90,0,0,Bournemouth,2,0,1,Aaron Ramsdale,0,GK,1.0,0,1
0,Chelsea,2,0,1,0,8,2019-08-11T15:30:00Z,0,0,30.4,0,0,0,0,16.1,55,1879259,122,0,34,True,90,0,0,Man Utd,9,0,1,Aaron Wan-Bissaka,2,DEF,4.9,0,4
0,Brighton,0,1,0,3,0,2019-08-10T14:00:00Z,0,3,4.4,0,0,0,0,23.1,60,200815,368,0,7,True,90,0,0,Watford,7,0,1,Abdoulaye Doucouré,2,MID,3.0,0,0
0,Leicester,0,0,0,0,0,2019-08-11T13:00:00Z,0,0,0.0,0,0,0,0,0.0,50,17995,417,0,0,False,0,0,0,Wolves,5,0,1,Adama Traoré,0,MID,0.0,0,0
0,Norwich,0,0,0,0,0,2019-08-09T19:00:00Z,0,1,0.0,0,0,0,0,0.0,60,7143,195,0,0,True,0,0,0,Liverpool,1,0,1,Adam Lallana,0,MID,0.0,0,4
0,Brighton,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,45,4687,355,0,0,True,0,0,0,Watford,7,0,1,Adam Masina,0,DEF,0.0,0,0
0,Sheffield Utd,0,0,0,1,1,2019-08-10T14:00:00Z,0,1,3.4,0,0,0,0,7.0,45,90570,63,0,10,True,90,0,1,Bournemouth,2,0,1,Adam Smith,4,DEF,1.4,0,1
0,Watford,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,45,5861,493,0,0,False,0,0,0,Brighton,7,0,1,Adam Webster,0,DEF,0.0,0,0
0,Crystal Palace,0,0,0,0,0,2019-08-10T14:00:00Z,0,0,0.0,0,0,0,0,0.0,50,773,155,0,0,False,0,0,0,Everton,4,0,1,Ademola Lookman,0,MID,0.0,0,0
0,Brighton,0,0,0,0,0,2019-08-10T14:00:00Z,0,3,0.0,0,0,0,0,0.0,45,15852,356,0,0,True,0,0,0,Watford,7,0,1,Adrian Mariappa,0,DEF,0.0,0,0
0,Norwich,0,0,0,1,1,2019-08-09T19:00:00Z,0,1,10.6,2,0,0,0,0.0,45,0,526,0,7,True,51,0,0,Liverpool,1,0,1,Adrián,0,GK,1.1,0,4
0,Spurs,0,0,0,3,1,2019-08-10T16:30:00Z,0,1,13.4,0,0,0,0,1.0,45,112887,22,0,10,False,90,0,0,Aston Villa,6,0,1,Ahmed Elmohamady,0,DEF,1.4,0,3
0,Newcastle,3,0,1,0,12,2019-08-11T13:00:00Z,0,1,38.4,0,1,0,0,12.3,50,57131,4,0,38,False,90,0,0,Arsenal,10,0,1,Ainsley Maitland-Niles,0,DEF,5.1,0,0
