name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP,season
Aaron Connolly,0,0,3,0,10.6,534,81,1,0,3.6,4.4,2019-10-19T14:00:00Z,45,0,0,0,0,9,0,110944,1,2,21.0,1,70802,81069,10267,45,False,0,Aston Villa,Brighton,FWD,0,2019-20
Aaron Cresswell,0,0,0,0,0.0,376,85,0,0,0.0,0.0,2019-10-19T11:30:00Z,0,0,0,0,0,9,0,152619,0,2,0.0,0,-6395,16078,22473,50,False,0,Everton,West Ham,DEF,0,2019-20
Aaron Lennon,0,0,3,0,2.4,430,86,1,0,0.5,0.4,2019-10-19T14:00:00Z,25,0,0,0,0,9,0,6939,1,2,2.0,1,-291,118,409,48,False,0,Leicester,Burnley,MID,0,2019-20
Aaron Mooy,0,0,-7,0,1.5,516,81,2,0,0.0,0.0,2019-10-19T14:00:00Z,34,0,0,0,1,9,0,12741,1,2,0.0,-2,1264,2039,775,48,False,0,Aston Villa,Brighton,MID,0,2019-20
Aaron Ramsdale,0,0,21,1,0.0,494,82,0,0,0.8,7.8,2019-10-19T14:00:00Z,90,0,0,0,0,9,1,70443,0,0,0.0,6,10689,14721,4032,45,True,0,Norwich,Bournemouth,GK,0,2019-20
Aaron Wan-Bissaka,0,0,12,0,12.7,122,87,1,0,2.7,12.4,2019-10-20T15:30:00Z,90,0,0,0,0,9,0,1224192,1,1,2.0,2,-190053,1413,191466,54,True,0,Liverpool,Man Utd,DEF,0,2019-20
Abdoulaye Doucouré,0,2,33,0,11.7,368,89,1,1,8.2,50.0,2019-10-19T14:00:00Z,90,0,0,0,0,9,0,66202,1,1,20.0,9,-3742,406,4148,57,False,0,Spurs,Watford,MID,0,2019-20
Adama Traoré,0,0,15,0,3.7,417,90,1,0,1.9,14.4,2019-10-19T14:00:00Z,90,0,0,0,0,9,0,214506,1,1,1.0,2,169903,181393,11490,51,True,0,Southampton,Wolves,MID,0,2019-20
Adam Idah,0,0,0,0,0.0,538,82,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,0,0,0,0,9,0,7029,0,0,0.0,0,142,1043,901,45,False,0,Bournemouth,Norwich,FWD,0,2019-20
Adam Lallana,0,1,22,0,1.3,195,87,0,1,7.0,33.6,2019-10-20T15:30:00Z,19,0,0,0,0,9,0,7503,1,1,35.0,7,-135,96,231,58,False,0,Man Utd,Liverpool,MID,0,2019-20
Adam Masina,0,0,0,0,0.0,355,89,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,0,0,0,0,9,0,4236,1,1,0.0,0,-98,36,134,43,False,0,Spurs,Watford,DEF,0,2019-20
Adam Smith,0,0,21,1,13.2,63,82,0,0,2.7,12.0,2019-10-19T14:00:00Z,90,0,0,0,0,9,0,31047,0,0,2.0,5,-3306,59,3365,43,True,1,Norwich,Bournemouth,DEF,0,2019-20
Adam Webster,0,0,24,0,1.8,493,81,2,1,11.2,60.8,2019-10-19T14:00:00Z,90,0,0,0,0,9,0,12226,1,2,49.0,7,3248,4185,937,44,False,0,Aston Villa,Brighton,DEF,0,2019-20
Addji Keaninkin Marc-Israel Guehi,0,0,0,0,0.0,545,83,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,0,0,0,0,9,0,3076,0,1,0.0,0,538,883,345,40,True,0,Newcastle,Chelsea,DEF,0,2019-20
