name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Lee Grant,0,0,0,0,0.0,237,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,0,0,0,0,1,0,6599,0,4,0,0,0,0,0,50,True,0,Chelsea,Man Utd,GK,0
Leighton Baines,0,0,0,0,0.0,145,4,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,7810,0,0,0,0,0,0,0,50,False,0,Crystal Palace,Everton,DEF,0
Leon Balogun,0,0,0,0,0.0,40,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,5056,3,0,0,0,0,0,0,45,False,0,Watford,Brighton,DEF,0
Leroy Sané,0,0,0,0,0.0,216,8,0,0,0.0,0.0,2019-08-10T11:30:00Z,0,0,0,0,0,1,0,45772,5,0,0,0,0,0,0,95,False,0,West Ham,Man City,MID,0
Lewis Cook,0,0,0,0,0.0,79,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,369,1,1,0,0,0,0,0,50,True,0,Sheffield Utd,Bournemouth,MID,0
Lewis Dunk,1,3,41,1,13.3,42,7,0,0,5.1,35.8,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,400846,3,0,2,11,0,0,0,45,False,1,Watford,Brighton,DEF,0
Lewis Gibson,0,0,0,0,0.0,477,4,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,9711,0,0,0,0,0,0,0,45,False,0,Crystal Palace,Everton,DEF,0
Lloyd Kelly,0,0,0,0,0.0,64,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,6035,1,1,0,0,0,0,0,45,True,0,Sheffield Utd,Bournemouth,DEF,0
Lovre Kalinic,0,0,0,0,0.0,474,6,0,0,0.0,0.0,2019-08-10T16:30:00Z,0,0,0,0,0,1,0,5785,1,3,0,0,0,0,0,45,False,0,Spurs,Aston Villa,GK,0
Lucas Digne,0,0,17,1,16.5,141,4,0,0,4.5,6.4,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,1405926,0,0,22,6,0,0,0,60,False,0,Crystal Palace,Everton,DEF,0
Lucas Rodrigues Moura da Silva,1,0,19,0,39.4,345,6,1,0,9.6,24.4,2019-08-10T16:30:00Z,90,0,0,0,0,1,0,608669,1,3,32,5,0,0,0,75,True,0,Aston Villa,Spurs,MID,0
Lucas Torreira,0,0,0,0,0.0,19,10,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,0,0,0,0,1,0,116243,1,0,0,0,0,0,0,50,False,0,Newcastle,Arsenal,MID,0
Lukasz Fabianski,0,0,18,0,0.0,388,8,5,0,2.8,28.4,2019-08-10T11:30:00Z,90,0,0,0,0,1,4,286631,5,0,0,1,0,0,0,50,True,0,Man City,West Ham,GK,0
Luka Milivojevic,0,0,-2,1,14.8,134,4,0,0,1.5,0.6,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,495302,0,0,0,2,0,0,0,70,True,1,Everton,Crystal Palace,MID,0
Luke Amos,0,0,0,0,0.0,351,6,0,0,0.0,0.0,2019-08-10T16:30:00Z,0,0,0,0,0,1,0,798,1,3,0,0,0,0,0,45,True,0,Aston Villa,Spurs,MID,0
Luke Dreher,0,0,0,0,0.0,140,4,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,4261,0,0,0,0,0,0,0,45,True,0,Everton,Crystal Palace,MID,0
Luke Freeman,0,0,3,0,6.0,441,2,0,0,1.0,4.0,2019-08-10T14:00:00Z,12,0,0,0,0,1,0,8298,1,1,0,1,0,0,0,55,False,0,Bournemouth,Sheffield Utd,MID,0
Luke Shaw,0,0,27,1,3.0,226,9,0,0,2.0,14.6,2019-08-11T15:30:00Z,90,0,0,0,0,1,0,110821,0,4,2,6,0,0,0,55,True,0,Chelsea,Man Utd,DEF,0
