name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Aaron Cresswell,0,0,0,0,0.0,376,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,27019,1,1,0.0,0,-1099,2048,3147,50,False,0,Brighton,West Ham,DEF
Aaron Lennon,0,0,4,0,0.3,430,11,0,0,0.4,1.4,2019-08-17T11:30:00Z,18,0,0,0,0,2,0,8742,1,2,2.0,1,-847,501,1348,50,False,0,Arsenal,Burnley,MID
Aaron Mooy,0,0,3,0,0.5,516,13,0,0,0.1,0.2,2019-08-17T14:00:00Z,5,0,0,0,0,2,0,18906,1,1,0.0,1,-314,2128,2442,50,True,0,West Ham,Brighton,MID
Aaron Ramsdale,0,0,24,0,0.0,494,12,1,0,4.0,39.8,2019-08-17T14:00:00Z,90,0,0,0,0,2,6,8566,2,1,0.0,4,2802,3794,992,45,False,0,Aston Villa,Bournemouth,GK
Aaron Wan-Bissaka,0,0,19,0,11.0,122,20,1,0,4.4,28.0,2019-08-19T19:00:00Z,90,0,0,0,0,2,0,2177360,1,1,5.0,1,88267,142479,54212,55,False,1,Wolves,Man Utd,DEF
Abdoulaye Doucouré,0,0,7,0,12.2,368,15,1,0,3.1,12.6,2019-08-17T14:00:00Z,90,0,0,0,0,2,0,168267,0,1,6.0,2,-36607,2294,38901,60,False,0,Everton,Watford,MID
Adama Traoré,0,0,4,0,15.9,417,20,0,0,2.8,5.8,2019-08-19T19:00:00Z,45,0,0,0,0,2,0,18781,1,1,6.0,1,-2103,1140,3243,50,True,0,Man Utd,Wolves,MID
Adam Lallana,0,0,0,0,0.0,195,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,7855,2,1,0.0,0,-1208,332,1540,60,False,0,Southampton,Liverpool,MID
Adam Masina,0,0,0,0,0.0,355,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,4883,0,1,0.0,0,-634,57,691,45,False,0,Everton,Watford,DEF
Adam Smith,0,0,14,0,1.2,63,12,1,0,1.7,12.2,2019-08-17T14:00:00Z,90,0,0,0,0,2,0,88424,2,1,4.0,2,-6200,2040,8240,45,False,0,Aston Villa,Bournemouth,DEF
Adam Webster,0,0,0,0,0.0,493,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,6342,1,1,0.0,0,-595,133,728,45,True,0,West Ham,Brighton,DEF
Ademola Lookman,0,0,0,0,0.0,155,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,631,0,1,0.0,0,-171,22,193,50,True,0,Watford,Everton,MID
Adrian Mariappa,0,0,0,0,0.0,356,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,15037,0,1,0.0,0,-1993,102,2095,45,False,0,Everton,Watford,DEF
Adrián San Miguel del Castillo,0,0,12,0,0.0,526,19,1,0,1.2,12.2,2019-08-17T14:00:00Z,90,0,0,0,0,2,3,178033,2,1,0.0,3,134813,163790,28977,45,False,0,Southampton,Liverpool,GK
Ahmed El Mohamady,0,3,34,0,70.6,22,12,2,0,10.9,36.8,2019-08-17T14:00:00Z,90,0,0,0,0,2,0,120473,2,1,2.0,4,-5568,6905,12473,45,True,0,Bournemouth,Aston Villa,DEF
Ainsley Maitland-Niles,0,0,13,0,19.8,4,11,1,0,4.2,15.4,2019-08-17T11:30:00Z,90,0,0,0,0,2,0,300326,1,2,7.0,2,144845,162756,17911,50,True,0,Burnley,Arsenal,DEF
Albian Ajeti,0,0,0,0,0.0,514,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,3647,1,1,0.0,0,-494,370,864,60,False,0,Brighton,West Ham,FWD
Alexander Tettey,0,0,3,0,0.1,289,17,1,0,0.2,2.2,2019-08-17T14:00:00Z,3,0,0,0,0,2,0,10758,1,3,0.0,1,-1034,672,1706,45,True,0,Newcastle,Norwich,MID
Alexandre Nascimento Costa Silva,0,0,0,0,0.0,387,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,145229,1,1,0.0,0,2368,23380,21012,45,False,0,Brighton,West Ham,FWD
Alexandre Lacazette,0,2,26,0,11.8,12,11,1,1,10.6,36.2,2019-08-17T11:30:00Z,70,0,0,0,0,2,0,195393,1,2,58.0,8,-20996,15977,36973,95,True,0,Burnley,Arsenal,FWD
Alexis Sánchez,0,0,0,0,0.0,240,20,0,0,0.0,0.0,2019-08-19T19:00:00Z,0,0,0,0,0,2,0,51826,1,1,0.0,0,-17166,382,17548,70,False,0,Wolves,Man Utd,MID
Alex Iwobi,0,0,0,0,0.0,17,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,136614,0,1,0.0,0,-12523,13315,25838,60,True,0,Watford,Everton,MID
Alex McCarthy,0,0,0,0,0.0,318,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,41260,2,1,0.0,0,-5860,144,6004,45,True,0,Liverpool,Southampton,GK
Alex Oxlade-Chamberlain,0,0,14,0,13.2,193,19,1,0,3.4,8.8,2019-08-17T14:00:00Z,88,0,0,0,0,2,0,27412,2,1,12.0,2,-5507,1737,7244,65,False,0,Southampton,Liverpool,MID
Alireza Jahanbakhsh,0,0,0,0,0.0,50,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,0,0,0,0,2,0,5781,1,1,0.0,0,-921,211,1132,60,True,0,West Ham,Brighton,MID
