name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Aaron_Connolly_534,0,0,4,0,0.1,534,314,3,0,1.1,1.4,2020-06-30T19:15:00Z,86,0,0,0,0,32,0,165353,3,0,9,2,17822,25838,8016,42,TRUE,0,Man Utd
Aaron_Cresswell_376,0,0,9,0,1.3,376,320,2,0,2.5,8.6,2020-07-01T19:15:00Z,90,0,0,0,0,32,0,84767,2,3,15,1,-499,1619,2118,45,TRUE,0,Chelsea
Aaron_Lennon_430,0,0,0,0,0,430,315,0,0,0,0,2020-06-29T19:00:00Z,0,0,0,0,0,32,0,6753,1,0,0,0,-33,56,89,46,FALSE,0,Crystal Palace
Aaron_Mooy_516,0,0,2,0,0.3,516,314,0,0,0,0,2020-06-30T19:15:00Z,9,0,0,0,0,32,0,36188,3,0,0,1,-784,621,1405,48,TRUE,0,Man Utd
Aaron_Ramsdale_494,0,0,15,0,0,494,313,4,0,1.9,19,2020-07-01T17:00:00Z,90,0,0,0,0,32,3,264232,4,1,0,1,-3292,4619,7911,45,TRUE,0,Newcastle
Aaron_Wan-Bissaka_122,1,1,38,1,27.7,122,314,0,0,6.6,34,2020-06-30T19:15:00Z,90,0,0,0,0,32,0,1247577,3,0,4,10,94482,102841,8359,54,FALSE,0,Brighton
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0,0,0,0,0,596,315,0,0,0,0,2020-06-29T19:00:00Z,0,0,0,0,0,32,0,3623,1,0,0,0,-49,90,139,40,FALSE,0,Crystal Palace
Abdoulaye_Doucouré_368,0,0,2,0,1.8,368,319,3,0,1.4,0.4,2020-06-28T15:30:00Z,90,0,0,0,0,32,0,163756,3,1,12,1,-5085,4628,9713,56,TRUE,1,Southampton
Adalberto_Peñaranda_648,0,0,0,0,0,648,319,0,0,0,0,2020-06-28T15:30:00Z,0,0,0,0,0,32,0,0,3,1,0,0,0,0,0,45,TRUE,0,Southampton
Adama_Traoré_417,0,0,3,0,17.5,417,312,0,0,2.5,5.2,2020-06-27T11:30:00Z,30,0,0,0,0,32,0,1428326,1,0,2,1,103316,125497,22181,58,FALSE,0,Aston Villa
Adam_Idah_538,0,0,3,0,11.4,538,311,2,0,2.6,5.4,2020-07-01T17:00:00Z,45,0,0,0,0,32,0,9769,0,4,9,1,45,276,231,44,FALSE,0,Arsenal
Adam_Lallana_195,0,0,0,0,0,195,317,0,0,0,0,2020-07-02T19:15:00Z,0,0,0,0,0,32,0,9411,0,4,0,0,-44,21,65,57,FALSE,0,Man City
Adam_Masina_355,0,0,6,0,1.5,355,319,2,0,1,8.8,2020-06-28T15:30:00Z,73,0,0,0,0,32,0,28012,3,1,0,1,1957,2916,959,43,TRUE,0,Southampton
Adam_Smith_63,0,0,15,0,12.7,63,313,4,0,3.1,16.4,2020-07-01T17:00:00Z,90,0,0,0,0,32,0,30835,4,1,2,0,91,451,360,43,TRUE,0,Newcastle
Adam_Webster_493,0,0,0,0,0,493,314,0,0,0,0,2020-06-30T19:15:00Z,0,0,0,0,0,32,0,33607,3,0,0,0,-2863,93,2956,45,TRUE,0,Man Utd
Addji Keaninkin Marc-Israel_Guehi_545,0,0,0,0,0,545,320,0,0,0,0,2020-07-01T19:15:00Z,0,0,0,0,0,32,0,6273,2,3,0,0,6,114,108,39,FALSE,0,West Ham
Ademola_Lookman_155,0,0,0,0,0,155,316,0,0,0,0,2020-07-01T17:00:00Z,0,0,0,0,0,32,0,464,1,2,0,0,-2,1,3,50,TRUE,0,Leicester
Adrian_Mariappa_356,0,0,0,0,0,356,319,0,0,0,0,2020-06-28T15:30:00Z,0,0,0,0,0,32,0,19612,3,1,0,0,-213,170,383,42,TRUE,0,Southampton
Adrián_San Miguel del Castillo_526,0,0,0,0,0,526,317,0,0,0,0,2020-07-02T19:15:00Z,0,0,0,0,0,32,0,156410,0,4,0,0,-446,1986,2432,40,FALSE,0,Man City
