name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP,season
Ederson,0,0,0,0,0.0,212,195,0,0,0.0,0.0,2019-12-29T18:00:00Z,0,0,0,0,0,20,0,924398,0,2,0,0,-67281,4322,71603,60,True,0,Sheffield Utd,Man City,GK,0,2019-20
Xherdan Shaqiri,0,0,0,0,0.0,194,194,0,0,0.0,0.0,2019-12-29T16:30:00Z,0,0,0,0,0,20,0,19258,0,1,0,0,542,919,377,63,True,0,Wolves,Liverpool,MID,0,2019-20
Hugo Lloris,0,0,0,0,0.0,340,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,0,0,0,0,20,0,244921,2,2,0,0,-2029,58,2087,53,False,0,Norwich,Spurs,GK,0,2019-20
Cenk Tosun,0,0,0,0,0.0,146,196,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,0,0,0,0,20,0,7965,2,1,0,0,-89,85,174,57,False,0,Newcastle,Everton,FWD,0,2019-20
Callum Robinson,0,0,10,0,17.0,453,195,1,0,2.4,5.4,2019-12-29T18:00:00Z,58,0,0,0,0,20,0,20390,0,2,2,1,-570,77,647,51,False,0,Man City,Sheffield Utd,MID,0,2019-20
Son Heung-Min,0,0,0,0,0.0,342,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,0,0,0,0,20,0,490635,2,2,0,0,-193201,1312,194513,98,False,0,Norwich,Spurs,MID,0,2019-20
João Moutinho,0,0,7,0,20.9,415,194,1,0,4.9,20.2,2019-12-29T16:30:00Z,90,0,0,0,0,20,0,402206,0,1,8,2,-13043,9986,23029,54,False,0,Liverpool,Wolves,MID,0,2019-20
Andrew Robertson,0,0,19,1,16.5,181,194,0,0,3.0,11.6,2019-12-29T16:30:00Z,90,0,0,0,0,20,0,1372422,0,1,2,6,-36454,25518,61972,70,True,0,Wolves,Liverpool,DEF,0,2019-20
Danny Rose,0,0,0,0,0.0,332,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,0,0,0,0,20,0,101651,2,2,0,0,-1595,454,2049,53,False,0,Norwich,Newcastle,DEF,0,2019-20
Martin Kelly,0,0,8,0,0.8,128,198,1,0,1.1,9.4,2019-12-28T15:00:00Z,90,0,0,0,0,20,0,2353470,1,1,1,2,6611,39655,33044,44,False,0,Southampton,Crystal Palace,DEF,0,2019-20
Harry Winks,0,0,0,0,0.0,347,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,0,0,0,0,20,0,18680,2,2,0,0,-664,27,691,52,False,0,Norwich,Spurs,MID,0,2019-20
Scott Carson,0,0,0,0,0.0,562,195,0,0,0.0,0.0,2019-12-29T18:00:00Z,0,0,0,0,0,20,0,4259,0,2,0,0,367,497,130,40,True,0,Sheffield Utd,Man City,GK,0,2019-20
Ashley Westwood,0,0,14,0,37.3,101,193,2,0,5.2,12.4,2019-12-28T19:45:00Z,90,0,0,0,0,20,0,25598,2,0,2,2,159,1033,874,54,True,0,Man Utd,Burnley,MID,0,2019-20
Lucas Digne,0,0,0,0,0.0,141,196,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,0,0,0,0,20,0,875918,2,1,0,0,8673,20708,12035,57,False,0,Newcastle,Everton,DEF,0,2019-20
