name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Aaron Connolly,0,0,3,0,0.0,534,268,0,0,0.0,0.0,2020-02-22T15:00:00Z,15,0,0,0,0,27,0,94497,1,1,0.0,1,1722,8872,7150,43,False,0,Sheffield Utd,Brighton,FWD
Aaron Cresswell,0,0,10,0,1.5,376,266,3,0,2.0,14.4,2020-02-24T20:00:00Z,90,0,0,0,0,27,0,92399,2,3,4.0,1,-6228,969,7197,46,False,0,Liverpool,West Ham,DEF
Aaron Lennon,0,0,-1,0,0.3,430,262,0,0,0.0,0.0,2020-02-22T15:00:00Z,8,0,0,0,0,27,0,6380,0,3,0.0,0,-6,134,140,46,True,1,Bournemouth,Burnley,MID
Aaron Mooy,0,0,8,0,41.9,516,268,1,0,5.5,13.0,2020-02-22T15:00:00Z,90,0,0,0,0,27,0,59107,1,1,0.0,2,-1276,5867,7143,48,False,0,Sheffield Utd,Brighton,MID
Aaron Ramsdale,0,0,24,0,0.0,494,262,3,0,4.2,42.4,2020-02-22T15:00:00Z,90,0,0,0,0,27,7,285821,0,3,0.0,3,-11563,3955,15518,46,False,0,Burnley,Bournemouth,GK
Aaron Wan-Bissaka,0,0,25,1,1.3,122,267,0,0,1.1,5.6,2020-02-23T14:00:00Z,90,0,0,0,0,27,0,1051382,0,3,4.0,6,42350,50502,8152,53,True,0,Watford,Man Utd,DEF
Abd-Al-Ali Morakinyo Olaposi Koiki,0,0,0,0,0.0,596,262,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,0,0,0,0,27,0,1446,0,3,0.0,0,139,227,88,40,True,0,Bournemouth,Burnley,DEF
Abdoulaye Doucouré,0,0,10,0,4.8,368,267,3,0,3.8,6.2,2020-02-23T14:00:00Z,79,0,0,0,0,27,0,178341,0,3,27.0,2,578,15193,14615,57,False,0,Man Utd,Watford,MID
Adama Traoré,0,0,1,0,0.7,417,270,0,0,0.2,0.2,2020-02-23T14:00:00Z,18,0,0,0,0,27,0,1612794,0,3,1.0,1,131680,197837,66157,58,True,0,Norwich,Wolves,MID
Adam Idah,0,0,0,0,0.0,538,270,0,0,0.0,0.0,2020-02-23T14:00:00Z,0,0,0,0,0,27,0,9083,0,3,0.0,0,-59,313,372,44,False,0,Wolves,Norwich,FWD
Adam Lallana,0,0,0,0,0.0,195,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,0,0,0,0,27,0,9107,2,3,0.0,0,-87,64,151,57,True,0,West Ham,Liverpool,MID
Adam Masina,0,0,11,0,6.8,355,267,3,0,3.2,15.0,2020-02-23T14:00:00Z,90,0,0,0,0,27,0,19075,0,3,10.0,1,1293,3470,2177,43,False,0,Man Utd,Watford,DEF
Adam Smith,0,0,1,0,16.3,63,262,3,0,2.8,8.0,2020-02-22T15:00:00Z,90,0,0,0,0,27,0,30590,0,3,4.0,0,-151,357,508,43,False,1,Burnley,Bournemouth,DEF
Adam Webster,1,2,25,0,11.1,493,268,1,0,4.7,34.2,2020-02-22T15:00:00Z,90,0,0,0,0,27,0,45677,1,1,2.0,7,-6573,405,6978,44,False,0,Sheffield Utd,Brighton,DEF
Addji Keaninkin Marc-Israel Guehi,0,0,0,0,0.0,545,263,0,0,0.0,0.0,2020-02-22T12:30:00Z,0,0,0,0,0,27,0,5833,1,2,0.0,0,-121,33,154,40,True,0,Spurs,Chelsea,DEF
Ademola Lookman,0,0,0,0,0.0,155,261,0,0,0.0,0.0,2020-02-23T16:30:00Z,0,0,0,0,0,27,0,456,2,3,0.0,0,-2,3,5,50,False,0,Arsenal,Everton,MID
Adrian Mariappa,0,0,0,0,0.0,356,267,0,0,0.0,0.0,2020-02-23T14:00:00Z,0,0,0,0,0,27,0,26584,0,3,0.0,0,-1625,890,2515,42,False,0,Man Utd,Watford,DEF
Adrián San Miguel del Castillo,0,0,0,0,0.0,526,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,0,0,0,0,27,0,138949,2,3,0.0,0,-1321,1629,2950,40,True,0,West Ham,Liverpool,GK
Ahmed El Mohamady,0,0,0,0,0.0,22,269,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,0,0,0,0,27,0,64943,0,2,0.0,0,-919,637,1556,42,False,0,Southampton,Aston Villa,DEF
Ainsley Maitland-Niles,0,0,0,0,0.0,4,261,0,0,0.0,0.0,2020-02-23T16:30:00Z,0,0,0,0,0,27,0,177458,2,3,0.0,0,-6399,544,6943,46,True,0,Everton,Arsenal,DEF
Akin Famewo,0,0,0,0,0.0,552,270,0,0,0.0,0.0,2020-02-23T14:00:00Z,0,0,0,0,0,27,0,4368,0,3,0.0,0,-83,14,97,40,False,0,Wolves,Norwich,DEF
Albian Ajeti,0,0,0,0,0.0,514,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,0,0,0,0,27,0,2640,2,3,0.0,0,-21,44,65,57,False,0,Liverpool,West Ham,FWD
