name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Jorginho,0,0,9,0,21.9,118,272,2,0,3.4,12.4,2020-02-29T15:00:00Z,63,0,0,0,0,28,0,343482,2,2,0.0,1,10795,25274,14479,49,False,1,Bournemouth,Chelsea,MID,0
Matej Vydra,0,0,5,0,14.3,92,276,0,0,1.9,2.2,2020-02-29T15:00:00Z,57,0,0,0,0,28,0,23217,0,0,2.0,1,11095,13406,2311,53,False,0,Newcastle,Burnley,FWD,0
Brandon Austin,0,0,0,0,0.0,558,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,13747,3,2,0.0,0,-202,144,346,40,True,0,Wolves,Spurs,GK,0
Lucas Moura,0,0,7,0,3.8,345,278,3,0,5.7,10.0,2020-03-01T14:00:00Z,90,0,0,0,0,28,0,396902,3,2,43.0,2,15208,32093,16885,71,True,0,Wolves,Spurs,MID,0
Jonny,0,0,0,0,0.0,402,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,74551,3,2,0.0,0,-4710,843,5553,54,False,0,Spurs,Wolves,DEF,0
Sadio Mané,0,0,5,0,4.2,192,279,3,0,1.7,4.6,2020-02-29T17:30:00Z,90,0,0,0,0,28,0,1877529,0,3,8.0,2,135555,147564,12009,124,False,0,Watford,Liverpool,MID,0
Teemu Pukki,0,0,4,1,1.1,278,277,0,0,1.9,0.0,2020-02-28T20:00:00Z,80,0,0,0,0,28,0,973741,0,1,19.0,2,-11979,15550,27529,65,True,0,Leicester,Norwich,FWD,0
Andy Carroll,0,0,0,0,0.0,520,276,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,0,0,0,0,28,0,6392,0,0,0.0,0,-161,14,175,54,True,0,Burnley,Newcastle,FWD,0
Luke Amos,0,0,0,0,0.0,351,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,1100,3,2,0.0,0,8,37,29,44,True,0,Wolves,Spurs,MID,0
Alex McCarthy,0,0,13,0,0.0,318,280,3,0,2.6,26.2,2020-02-29T15:00:00Z,90,0,0,0,0,28,4,333906,1,3,0.0,2,34362,38587,4225,44,False,0,West Ham,Southampton,GK,0
Federico Fernández,0,2,28,1,0.1,254,276,0,0,2.1,21.0,2020-02-29T15:00:00Z,90,0,0,0,0,28,0,208521,0,0,0.0,8,39344,46878,7534,45,True,0,Burnley,Newcastle,DEF,0
Callum Slattery,0,0,0,0,0.0,327,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,0,0,0,0,28,0,21426,1,3,0.0,0,-165,299,464,44,False,0,West Ham,Southampton,MID,0
Adrian Mariappa,0,0,0,0,0.0,356,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,0,0,0,0,28,0,24175,0,3,0.0,0,-1885,208,2093,42,True,0,Liverpool,Watford,DEF,0
Jordan Ayew,0,1,28,1,12.1,468,273,0,1,6.9,37.4,2020-02-29T12:30:00Z,90,0,0,0,0,28,0,587807,1,0,19.0,7,4415,28492,24077,50,False,0,Brighton,Crystal Palace,FWD,0
Ezequiel Schelotto,0,0,-3,0,0.0,546,273,0,0,0.0,0.0,2020-02-29T12:30:00Z,0,0,0,0,0,28,0,45456,1,0,0.0,-1,3372,5151,1779,40,True,1,Crystal Palace,Brighton,DEF,0
Anthony Driscoll-Glennon,0,0,0,0,0.0,572,276,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,0,0,0,0,28,0,2713,0,0,0.0,0,275,378,103,39,False,0,Newcastle,Burnley,DEF,0
Wes Morgan,0,0,0,0,0.0,165,277,0,0,0.0,0.0,2020-02-28T20:00:00Z,0,0,0,0,0,28,0,43810,0,1,0.0,0,-103,398,501,41,False,0,Norwich,Leicester,DEF,0
Bruno André Cavaco Jordao,0,0,0,0,0.0,609,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,627,3,2,0.0,0,52,100,48,45,False,0,Spurs,Wolves,MID,0
Albian Ajeti,0,0,0,0,0.0,514,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,0,0,0,0,28,0,2641,1,3,0.0,0,-7,45,52,57,True,0,Southampton,West Ham,FWD,0
Leandro Trossard,0,0,10,0,12.3,421,273,1,0,2.0,4.4,2020-02-29T12:30:00Z,90,0,0,0,0,28,0,37535,1,0,3.0,2,-2988,1550,4538,58,True,0,Crystal Palace,Brighton,MID,0
Tanguy Ndombele,0,0,4,0,1.6,442,278,0,0,0.5,3.4,2020-03-01T14:00:00Z,14,0,0,0,0,28,0,168645,3,2,0.0,1,-118,657,775,58,True,0,Wolves,Spurs,MID,0
Harry Kane,0,0,0,0,0.0,338,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,635834,3,2,0.0,0,-4748,95,4843,108,True,0,Wolves,Spurs,FWD,0
Ryan Bennett,0,0,0,0,0.0,404,277,0,0,0.0,0.0,2020-02-28T20:00:00Z,0,0,0,0,0,28,0,21304,0,1,0.0,0,-182,79,261,48,False,0,Norwich,Leicester,DEF,0
Ryan Bertrand,0,0,13,0,28.7,305,280,3,0,6.4,22.0,2020-02-29T15:00:00Z,90,0,0,0,0,28,0,65792,1,3,13.0,1,5273,6621,1348,48,False,0,West Ham,Southampton,DEF,0
Arthur Masuaku,0,0,0,0,0.0,378,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,0,0,0,0,28,0,32702,1,3,0.0,0,-493,286,779,42,True,0,Southampton,West Ham,DEF,0
Tyreke Johnson,0,0,0,0,0.0,326,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,0,0,0,0,28,0,2118,1,3,0.0,0,98,160,62,44,False,0,West Ham,Southampton,MID,0
Shane Long,0,0,4,0,4.5,315,280,3,0,3.2,3.2,2020-02-29T15:00:00Z,90,0,0,0,0,28,0,185822,1,3,24.0,2,27749,32944,5195,46,False,0,West Ham,Southampton,FWD,0
Christian Saydee,0,0,0,0,0.0,564,272,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,0,0,0,0,28,0,476,2,2,0.0,0,-4,30,34,45,True,0,Chelsea,Bournemouth,MID,0
Oliver Skipp,0,0,0,0,0.0,352,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,50084,3,2,0.0,0,877,2591,1714,43,True,0,Wolves,Spurs,MID,0
Conor Coady,0,0,10,0,0.0,403,278,2,0,1.2,11.6,2020-03-01T14:00:00Z,90,0,0,0,0,28,0,134284,3,2,0.0,1,7755,11666,3911,50,False,0,Spurs,Wolves,DEF,0
Victor Wanyama,0,0,0,0,0.0,348,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,7411,3,2,0.0,0,-7,65,72,47,True,0,Wolves,Spurs,MID,0
Christian Fuchs,0,0,0,0,0.0,163,277,0,0,0.0,0.0,2020-02-28T20:00:00Z,0,0,0,0,0,28,0,26411,0,1,0.0,0,510,919,409,42,False,0,Norwich,Leicester,DEF,0
Ryan Fraser,1,0,18,0,30.4,75,272,2,0,5.9,29.0,2020-02-29T15:00:00Z,90,0,0,0,0,28,0,196559,2,2,0.0,5,-1794,885,2679,68,True,0,Chelsea,Bournemouth,MID,0
Allan Saint-Maximin,0,0,3,0,0.5,500,276,0,0,1.1,3.4,2020-02-29T15:00:00Z,12,0,0,0,0,28,0,43310,0,0,7.0,1,7238,9317,2079,54,True,0,Burnley,Newcastle,MID,0
Yves Bissouma,0,0,11,0,3.1,53,273,1,0,1.9,14.4,2020-02-29T12:30:00Z,81,0,0,0,0,28,0,1344,1,0,1.0,2,22,49,27,50,True,0,Crystal Palace,Brighton,MID,0
Tom Cleverley,0,0,0,0,0.0,371,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,0,0,0,0,28,0,7401,0,3,0.0,0,-12,29,41,48,True,0,Liverpool,Watford,MID,0
Andros Townsend,0,0,0,0,0.0,135,273,0,0,0.0,0.0,2020-02-29T12:30:00Z,0,0,0,0,0,28,0,70817,1,0,0.0,0,-27,394,421,56,False,0,Brighton,Crystal Palace,MID,0
Christoph Zimmermann,0,0,0,0,0.0,275,277,0,0,0.0,0.0,2020-02-28T20:00:00Z,0,0,0,0,0,28,0,2882,0,1,0.0,0,-332,14,346,44,True,0,Leicester,Norwich,DEF,0
Craig Cathcart,0,0,26,1,0.1,358,279,0,0,2.2,21.6,2020-02-29T17:30:00Z,90,0,0,0,0,28,0,218635,0,3,0.0,6,-13148,2724,15872,44,True,0,Liverpool,Watford,DEF,0
Cenk Tosun,0,0,6,0,10.5,146,273,0,0,1.7,4.4,2020-02-29T12:30:00Z,3,0,0,0,0,28,0,11391,1,0,2.0,1,-314,288,602,57,False,0,Brighton,Everton,FWD,0
William Smallbone,0,0,10,0,7.5,584,280,3,0,2.7,15.0,2020-02-29T15:00:00Z,77,0,0,0,0,28,0,561,1,3,4.0,2,167,211,44,45,False,0,West Ham,Southampton,MID,0
Harry Wilson,0,0,0,0,0.0,505,272,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,0,0,0,0,28,0,159683,2,2,0.0,0,-4305,5026,9331,58,True,0,Chelsea,Bournemouth,MID,0
Marcos Rojo,0,0,0,0,0.0,227,274,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,9082,1,1,0.0,0,-33,5,38,48,False,0,Everton,Man Utd,DEF,0
Jan Vertonghen,0,0,0,0,0.0,330,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,0,0,0,0,28,0,120364,3,2,0.0,0,-1527,583,2110,52,True,0,Wolves,Spurs,DEF,0
Mason Greenwood,0,0,6,0,13.3,234,274,1,0,2.1,1.2,2020-03-01T14:00:00Z,71,0,0,0,0,28,0,870817,1,1,6.0,2,17764,47106,29342,43,False,0,Everton,Man Utd,FWD,0
