name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Matthew Longstaff,0,0,0,0,0.0,540,251,0,0,0.0,0.0,2020-02-16T16:30:00Z,0,0,0,0,0,26,0,14108,0,4,0.0,0,-365,415,780,45,False,0,Arsenal,Newcastle,MID,0
Lucas Torreira,0,0,3,0,0.9,19,251,0,0,0.2,1.4,2020-02-16T16:30:00Z,8,0,0,0,0,26,0,93879,0,4,0.0,1,2,2569,2567,47,True,0,Newcastle,Arsenal,MID,0
Yerry Mina,0,0,11,0,0.3,142,255,1,0,1.6,7.6,2020-02-08T12:30:00Z,90,0,0,0,0,26,0,167775,1,3,8.0,2,16475,18675,2200,53,True,0,Crystal Palace,Everton,DEF,0
Çaglar Söyüncü,0,1,28,1,1.8,164,260,0,0,6.5,28.0,2020-02-14T20:00:00Z,90,0,0,0,0,26,0,1175922,0,0,35.0,7,-69593,14682,84275,50,False,0,Wolves,Leicester,DEF,0
Ken Sema,0,0,0,0,0.0,372,253,0,0,0.0,0.0,2020-02-08T17:30:00Z,0,0,0,0,0,26,0,1388,1,1,0.0,0,-1,23,24,48,False,0,Brighton,Watford,MID,0
Stuart Armstrong,0,0,9,0,4.3,323,259,2,0,3.8,3.0,2020-02-15T12:30:00Z,90,0,0,0,0,26,0,11391,2,1,31.0,2,1483,2829,1346,52,True,0,Burnley,Southampton,MID,0
Connor Wickham,0,0,0,0,0.0,130,255,0,0,0.0,0.0,2020-02-08T12:30:00Z,0,0,0,0,0,26,0,151768,1,3,0.0,0,-4057,91,4148,44,False,0,Everton,Crystal Palace,FWD,0
Benjamin Mendy,0,0,27,1,11.8,204,256,0,0,2.9,10.0,2020-02-19T19:30:00Z,90,0,0,0,0,26,0,59349,0,2,7.0,6,-5470,1595,7065,55,True,0,West Ham,Man City,DEF,0
Brandon Austin,0,0,0,0,0.0,558,252,0,0,0.0,0.0,2020-02-16T14:00:00Z,0,0,0,0,0,26,0,13885,3,2,0.0,0,-231,218,449,40,False,0,Aston Villa,Spurs,GK,0
Ethan Ampadu,0,0,0,0,0.0,121,254,0,0,0.0,0.0,2020-02-17T20:00:00Z,0,0,0,0,0,26,0,1248,2,0,0.0,0,-12,21,33,44,True,0,Man Utd,Chelsea,MID,0
Patrick van Aanholt,0,0,11,0,6.1,123,255,3,0,3.3,7.4,2020-02-08T12:30:00Z,90,0,0,0,0,26,0,315153,1,3,19.0,1,303,3102,2799,55,False,0,Everton,Crystal Palace,DEF,0
Dennis Praet,0,0,3,0,0.4,517,260,0,0,1.9,0.4,2020-02-14T20:00:00Z,15,0,0,0,0,26,0,6551,0,0,18.0,1,-162,514,676,53,False,0,Wolves,Leicester,MID,0
Michael Keane,0,0,12,0,0.2,143,255,1,0,2.6,25.6,2020-02-08T12:30:00Z,90,0,0,0,0,26,0,144433,1,3,0.0,2,-1370,405,1775,52,True,0,Crystal Palace,Everton,DEF,0
Raheem Sterling,0,0,0,0,0.0,214,256,0,0,0.0,0.0,2020-02-19T19:30:00Z,0,0,0,0,0,26,0,1213228,0,2,0.0,0,-176083,7318,183401,117,True,0,West Ham,Man City,MID,0
Aaron Mooy,0,0,9,0,20.6,516,253,1,0,5.0,11.4,2020-02-08T17:30:00Z,90,0,0,0,0,26,0,60484,1,1,18.0,2,4263,8755,4492,48,True,0,Watford,Brighton,MID,0
Andrew Surman,0,0,5,0,1.6,80,258,2,0,0.0,0.0,2020-02-09T14:00:00Z,87,0,0,0,0,26,0,2609,1,2,0.0,1,-2,33,35,47,False,1,Sheffield Utd,Bournemouth,MID,0
Tariq Lamptey,0,0,0,0,0.0,586,253,0,0,0.0,0.0,2020-02-08T17:30:00Z,0,0,0,0,0,26,0,7510,1,1,0.0,0,890,1346,456,40,True,0,Watford,Brighton,DEF,0
André Gomes,0,0,0,0,0.0,422,255,0,0,0.0,0.0,2020-02-08T12:30:00Z,0,0,0,0,0,26,0,20582,1,3,0.0,0,-87,16,103,52,True,0,Crystal Palace,Everton,MID,0
Odion Ighalo,0,0,-1,0,0.2,624,254,0,0,2.0,3.0,2020-02-17T20:00:00Z,1,0,0,0,0,26,0,23486,2,0,17.0,1,22657,23838,1181,65,False,0,Chelsea,Man Utd,FWD,0
Martin Kelly,0,0,0,0,0.0,128,255,0,0,0.0,0.0,2020-02-08T12:30:00Z,0,0,0,0,0,26,0,1895474,1,3,0.0,0,-192149,5717,197866,43,False,0,Everton,Crystal Palace,DEF,0
Lloyd Kelly,0,0,0,0,0.0,64,258,0,0,0.0,0.0,2020-02-09T14:00:00Z,0,0,0,0,0,26,0,3402,1,2,0.0,0,-67,36,103,44,False,0,Sheffield Utd,Bournemouth,DEF,0
Victor Wanyama,0,0,0,0,0.0,348,252,0,0,0.0,0.0,2020-02-16T14:00:00Z,0,0,0,0,0,26,0,7345,3,2,0.0,0,6,100,94,48,False,0,Aston Villa,Spurs,MID,0
Neil Taylor,0,0,0,0,0.0,24,252,0,0,0.0,0.0,2020-02-16T14:00:00Z,0,0,0,0,0,26,0,16519,3,2,0.0,0,-81,212,293,43,True,0,Spurs,Aston Villa,DEF,0
Mason Holgate,0,0,3,0,0.3,478,255,0,0,0.1,0.4,2020-02-08T12:30:00Z,4,0,0,0,0,26,0,207839,1,3,0.0,1,9813,19473,9660,45,True,0,Crystal Palace,Everton,DEF,0
Marc Albrighton,0,0,7,0,1.5,174,260,0,0,2.1,9.2,2020-02-14T20:00:00Z,22,0,0,0,0,26,0,11527,0,0,10.0,1,-107,49,156,51,False,0,Wolves,Leicester,MID,0
Steven Alzate,0,0,2,0,1.4,537,253,0,0,1.4,6.2,2020-02-08T17:30:00Z,29,0,0,0,0,26,0,8071,1,1,6.0,1,-649,226,875,45,True,0,Watford,Brighton,MID,0
Max Meyer,0,0,3,0,0.3,136,255,1,0,0.0,0.0,2020-02-08T12:30:00Z,22,0,0,0,0,26,0,5850,1,3,0.0,1,-15,28,43,52,False,0,Everton,Crystal Palace,MID,0
