name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,web_name
Aaron Connolly,0,0,0,0,0.0,534,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,90839,3,3,0.0,0,-2387,7248,9635,43,False,0,West Ham,Brighton,FWD,Connolly
Aaron Cresswell,0,0,15,0,16.8,376,250,3,0,3.1,13.8,2020-02-01T15:00:00Z,90,0,0,0,0,25,0,108858,3,3,0.0,1,-5291,4660,9951,47,True,0,Brighton,West Ham,DEF,Cresswell
Aaron Lennon,0,0,0,0,0.0,430,242,0,0,0.0,0.0,2020-02-02T14:00:00Z,0,0,0,0,0,25,0,6265,0,0,0.0,0,29,179,150,46,True,0,Arsenal,Burnley,MID,Lennon
Aaron Mooy,0,0,1,0,3.1,516,250,3,0,3.8,2.6,2020-02-01T15:00:00Z,71,0,0,0,0,25,0,56204,3,3,32.0,2,11851,17562,5711,48,False,0,West Ham,Brighton,MID,Mooy
Aaron Ramsdale,0,0,17,0,0.0,494,241,1,0,2.3,22.6,2020-02-01T15:00:00Z,90,0,0,0,0,25,4,310886,1,2,0.0,3,-13927,8519,22446,47,True,0,Aston Villa,Bournemouth,GK,Ramsdale
Aaron Wan-Bissaka,0,3,31,1,32.8,122,246,0,0,6.7,34.0,2020-02-01T17:30:00Z,90,0,0,0,0,25,0,1000671,0,0,0.0,9,-18807,7133,25940,53,True,0,Wolves,Man Utd,DEF,Wan-Bissaka
Abd-Al-Ali Morakinyo Olaposi Koiki,0,0,0,0,0.0,596,242,0,0,0.0,0.0,2020-02-02T14:00:00Z,0,0,0,0,0,25,0,763,0,0,0.0,0,100,178,78,40,True,0,Arsenal,Burnley,DEF,Koiki
Abdoulaye Doucouré,0,0,1,0,14.6,368,249,3,0,3.9,0.0,2020-02-01T15:00:00Z,90,0,0,0,0,25,0,189010,3,2,28.0,2,181,25364,25183,57,True,0,Everton,Watford,MID,Doucouré
Adama Traoré,0,0,8,1,30.4,417,246,0,0,6.4,9.4,2020-02-01T17:30:00Z,75,0,0,0,0,25,0,1543979,0,0,24.0,3,236611,284618,48007,58,False,0,Man Utd,Wolves,MID,Traoré
Adam Idah,0,0,0,0,0.0,538,247,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,9116,0,0,0.0,0,-427,303,730,44,False,0,Newcastle,Norwich,FWD,Idah
Adam Lallana,0,0,3,0,0.0,195,245,0,0,0.2,2.0,2020-02-01T15:00:00Z,2,0,0,0,0,25,0,9145,0,4,0.0,1,-386,73,459,58,True,0,Southampton,Liverpool,MID,Lallana
Adam Masina,0,0,20,0,15.8,355,249,3,1,8.8,51.6,2020-02-01T15:00:00Z,90,0,0,0,0,25,0,9021,3,2,21.0,6,2195,3084,889,43,True,1,Everton,Watford,DEF,Masina
Adam Smith,0,0,10,0,13.1,63,241,1,0,3.5,18.0,2020-02-01T15:00:00Z,90,0,0,0,0,25,0,30734,1,2,4.0,2,-286,442,728,43,True,0,Aston Villa,Bournemouth,DEF,Adam Smith
Adam Webster,0,0,12,0,0.4,493,250,3,0,1.5,14.8,2020-02-01T15:00:00Z,90,0,0,0,0,25,0,53643,3,3,0.0,1,-2919,3056,5975,44,False,0,West Ham,Brighton,DEF,Webster
Addji Keaninkin Marc-Israel Guehi,0,0,0,0,0.0,545,244,0,0,0.0,0.0,2020-02-01T12:30:00Z,0,0,0,0,0,25,0,6100,2,2,0.0,0,-238,74,312,40,False,0,Leicester,Chelsea,DEF,Guehi
Ademola Lookman,0,0,0,0,0.0,155,249,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,457,3,2,0.0,0,-3,5,8,50,False,0,Watford,Everton,MID,Lookman
Adrian Mariappa,0,0,9,0,1.3,356,249,3,0,0.8,6.2,2020-02-01T15:00:00Z,90,0,0,0,0,25,0,27372,3,2,0.0,1,2836,5251,2415,42,True,0,Everton,Watford,DEF,Mariappa
Adrián San Miguel del Castillo,0,0,0,0,0.0,526,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,142269,0,4,0.0,0,-3977,1545,5522,41,True,0,Southampton,Liverpool,GK,Adrián
Ahmed El Mohamady,0,0,0,0,0.0,22,241,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,66822,1,2,0.0,0,-1855,650,2505,42,False,0,Bournemouth,Aston Villa,DEF,El Mohamady
Ainsley Maitland-Niles,0,0,0,0,0.0,4,242,0,0,0.0,0.0,2020-02-02T14:00:00Z,0,0,0,0,0,25,0,189613,0,0,0.0,0,-6757,2023,8780,46,False,0,Burnley,Arsenal,DEF,Maitland-Niles
Akin Famewo,0,0,0,0,0.0,552,247,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,4554,0,0,0.0,0,-231,27,258,40,False,0,Newcastle,Norwich,DEF,Famewo
Albian Ajeti,0,0,0,0,0.0,514,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,2706,3,3,0.0,0,-79,88,167,57,True,0,Brighton,West Ham,FWD,Ajeti
Alexander Tettey,0,0,10,1,3.1,289,247,0,0,1.9,6.8,2020-02-01T15:00:00Z,85,0,0,0,0,25,0,25182,0,0,9.0,3,-1116,807,1923,45,False,0,Newcastle,Norwich,MID,Tettey
Alexandre Nascimento Costa Silva,0,0,0,0,0.0,387,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,63873,3,3,0.0,0,-725,1420,2145,43,True,0,Brighton,West Ham,FWD,Xande Silva
Alexandre Lacazette,0,0,11,1,16.0,12,242,0,0,4.9,7.2,2020-02-02T14:00:00Z,88,0,0,0,0,25,0,157692,0,0,26.0,2,-1443,16182,17625,93,False,0,Burnley,Arsenal,FWD,Lacazette
Alexis Sánchez,0,0,0,0,0.0,240,246,0,0,0.0,0.0,2020-02-01T17:30:00Z,0,0,0,0,0,25,0,28474,0,0,0.0,0,-63,57,120,68,True,0,Wolves,Man Utd,MID,Sánchez
Alex Iwobi,0,0,7,0,13.5,17,249,2,0,1.8,2.0,2020-02-01T15:00:00Z,64,0,0,0,0,25,0,65940,3,2,2.0,2,-971,113,1084,56,False,0,Watford,Everton,MID,Iwobi
Alex McCarthy,0,0,19,0,0.0,318,245,4,0,3.7,37.2,2020-02-01T15:00:00Z,90,0,0,0,0,25,5,252136,0,4,0.0,1,32986,47083,14097,44,False,0,Liverpool,Southampton,GK,McCarthy
Alex Oxlade-Chamberlain,0,0,25,1,13.6,193,245,0,1,7.0,40.0,2020-02-01T15:00:00Z,72,0,0,0,0,25,0,45823,0,4,16.0,8,10225,12731,2506,62,True,0,Southampton,Liverpool,MID,Chamberlain
Alfie Whiteman,0,0,0,0,0.0,543,248,0,0,0.0,0.0,2020-02-02T16:30:00Z,0,0,0,0,0,25,0,39767,0,2,0.0,0,-801,463,1264,40,True,0,Man City,Spurs,GK,Whiteman
Alireza Jahanbakhsh,0,0,0,0,0.0,50,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,9880,3,3,0.0,0,-1260,362,1622,58,False,0,West Ham,Brighton,MID,Jahanbakhsh
Alisson Ramses Becker,0,1,33,1,0.0,189,245,0,0,3.5,35.2,2020-02-01T15:00:00Z,90,0,0,0,0,25,4,822029,0,4,0.0,8,34629,54389,19760,61,True,0,Southampton,Liverpool,GK,Alisson
Allan Saint-Maximin,0,0,12,1,12.8,500,247,0,0,9.7,23.6,2020-02-01T15:00:00Z,78,0,0,0,0,25,0,24183,0,0,61.0,3,3359,4875,1516,54,True,0,Norwich,Newcastle,MID,Saint-Maximin
Andreas Christensen,0,0,11,0,0.2,108,244,2,0,0.9,8.4,2020-02-01T12:30:00Z,90,0,0,0,0,25,0,42536,2,2,0.0,1,0,673,673,49,False,0,Leicester,Chelsea,DEF,Christensen
Andreas Pereira,0,0,3,1,6.3,246,246,0,0,3.7,6.4,2020-02-01T17:30:00Z,71,0,0,0,0,25,0,34865,0,0,24.0,3,-1807,1009,2816,49,True,0,Wolves,Man Utd,MID,Pereira
Andrew Robertson,0,0,29,1,4.8,181,245,0,0,3.1,23.8,2020-02-01T15:00:00Z,90,0,0,0,0,25,0,1538739,0,4,2.0,6,3588,60726,57138,70,True,0,Southampton,Liverpool,DEF,Robertson
Andrew Surman,0,0,0,0,0.0,80,241,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,2596,1,2,0.0,0,1,47,46,47,True,0,Aston Villa,Bournemouth,MID,Surman
Andre Gray,0,0,0,0,0.0,364,249,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,26399,3,2,0.0,0,-155,389,544,56,True,0,Everton,Watford,FWD,Gray
Andre Green,0,0,0,0,0.0,32,241,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,768,1,2,0.0,0,-4,10,14,48,False,0,Bournemouth,Aston Villa,MID,Green
Andriy Yarmolenko,0,0,0,0,0.0,392,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,59584,3,3,0.0,0,-3110,13,3123,53,True,0,Brighton,West Ham,MID,Yarmolenko
Andros Townsend,0,0,3,0,0.2,135,243,0,0,0.0,0.2,2020-02-01T15:00:00Z,13,0,0,0,0,25,0,70324,1,0,0.0,1,-853,238,1091,56,True,0,Sheffield Utd,Crystal Palace,MID,Townsend
André Filipe Tavares Gomes,0,0,0,0,0.0,422,249,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,20652,3,2,0.0,0,-152,14,166,52,False,0,Watford,Everton,MID,André Gomes
Andy Carroll,0,0,0,0,0.0,520,247,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,7124,0,0,0.0,0,-700,43,743,54,True,0,Norwich,Newcastle,FWD,Carroll
Andy King,0,0,0,0,0.0,480,244,0,0,0.0,0.0,2020-02-01T12:30:00Z,0,0,0,0,0,25,0,21240,2,2,0.0,0,-494,130,624,43,True,0,Chelsea,Leicester,MID,King
Andy Lonergan,0,0,0,0,0.0,530,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,1811,0,4,0.0,0,-17,17,34,42,True,0,Southampton,Liverpool,GK,Lonergan
Angelo Ogbonna,0,0,2,0,0.3,377,250,3,0,0.4,1.8,2020-02-01T15:00:00Z,90,1,0,0,0,25,0,114948,3,3,2.0,-2,-11326,2911,14237,45,True,1,Brighton,West Ham,DEF,Ogbonna
Angel Gomes,0,0,0,0,0.0,245,246,0,0,0.0,0.0,2020-02-01T17:30:00Z,0,0,0,0,0,25,0,6643,0,0,0.0,0,-22,113,135,48,True,0,Wolves,Man Utd,MID,Gomes
Angus Gunn,0,0,0,0,0.0,319,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,110120,0,4,0.0,0,-3060,1314,4374,43,False,0,Liverpool,Southampton,GK,Gunn
Anthony Driscoll-Glennon,0,0,0,0,0.0,572,242,0,0,0.0,0.0,2020-02-02T14:00:00Z,0,0,0,0,0,25,0,1420,0,0,0.0,0,-89,43,132,40,True,0,Arsenal,Burnley,DEF,Driscoll-Glennon
Anthony Gordon,0,0,0,0,0.0,561,249,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,2677,3,2,0.0,0,-6,181,187,45,False,0,Watford,Everton,FWD,Gordon
Anthony Knockaert,0,0,0,0,0.0,52,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,0,0,0,0,25,0,654,3,3,0.0,0,-8,6,14,54,False,0,West Ham,Brighton,MID,Knockaert
