name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Aaron Connolly,0,0,1,0,0.0,534,232,1,0,0.0,0.0,2020-01-21T19:30:00Z,30,0,0,0,0,24,0,92573,1,3,0.0,1,-3091,3610,6701,44,False,0,Bournemouth,Brighton,FWD,0
Aaron Cresswell,0,0,9,0,19.5,376,234,4,0,3.7,13.2,2020-01-22T19:30:00Z,90,0,0,0,0,24,0,121950,1,4,4.0,0,13909,20400,6491,47,False,0,Leicester,West Ham,DEF,0
Aaron Cresswell,0,0,11,0,4.3,376,180,2,0,1.7,12.6,2020-01-29T19:45:00Z,90,0,0,0,0,24,0,121950,2,0,0.0,1,13909,20400,6491,47,True,0,Liverpool,West Ham,DEF,0
Aaron Lennon,0,0,0,0,0.0,430,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,0,0,0,0,24,0,6205,2,0,0.0,0,75,190,115,46,False,0,Man Utd,Burnley,MID,0
Aaron Mooy,0,3,36,0,68.8,516,232,3,1,15.2,55.0,2020-01-21T19:30:00Z,90,0,0,0,0,24,0,43391,1,3,28.0,10,-832,3907,4739,48,False,0,Bournemouth,Brighton,MID,0
Aaron Ramsdale,0,0,24,0,0.0,494,232,1,0,4.5,45.2,2020-01-21T19:30:00Z,90,0,0,0,0,24,7,320219,1,3,0.0,4,-20114,5615,25729,47,True,0,Brighton,Bournemouth,GK,0
Aaron Wan-Bissaka,0,0,13,0,53.2,122,235,2,0,8.7,29.6,2020-01-22T20:15:00Z,90,0,0,0,0,24,0,1017565,2,0,4.0,1,-8481,11361,19842,53,True,0,Burnley,Man Utd,DEF,0
Abd-Al-Ali Morakinyo Olaposi Koiki,0,0,0,0,0.0,596,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,0,0,0,0,24,0,486,2,0,0.0,0,84,131,47,40,False,0,Man Utd,Burnley,DEF,0
Abdoulaye Doucouré,0,0,8,0,15.8,368,231,2,0,2.2,6.2,2020-01-21T19:30:00Z,90,0,0,0,0,24,0,190259,1,2,0.0,1,42623,56055,13432,56,False,1,Aston Villa,Watford,MID,0
Adama Traoré,1,0,30,0,40.3,417,237,2,0,9.0,27.6,2020-01-23T20:00:00Z,90,0,0,0,0,24,0,1277984,2,1,22.0,5,78968,151804,72836,57,True,0,Liverpool,Wolves,MID,0
Adam Idah,0,0,0,0,0.0,538,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,0,0,0,0,24,0,9429,1,2,0.0,0,-532,301,833,44,False,0,Spurs,Norwich,FWD,0
Adam Lallana,0,0,0,0,0.0,195,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,0,0,0,0,24,0,9482,2,1,0.0,0,136,366,230,58,False,0,Wolves,Liverpool,MID,0
Adam Lallana,0,0,0,0,0.0,195,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,0,0,0,0,24,0,9482,2,0,0.0,0,136,366,230,58,False,0,West Ham,Liverpool,MID,0
Adam Masina,0,0,17,0,19.3,355,231,2,0,3.8,18.2,2020-01-21T19:30:00Z,90,0,0,0,0,24,0,6792,1,2,0.0,1,1313,1555,242,43,False,0,Aston Villa,Watford,DEF,0
Adam Smith,0,0,9,0,0.7,63,232,1,0,1.6,13.4,2020-01-21T19:30:00Z,90,0,0,0,0,24,0,30918,1,3,2.0,2,-269,469,738,43,True,0,Brighton,Bournemouth,DEF,0
Adam Webster,0,0,14,0,2.3,493,232,3,0,2.3,16.6,2020-01-21T19:30:00Z,90,0,0,0,0,24,0,56546,1,3,4.0,1,-1242,4481,5723,44,False,0,Bournemouth,Brighton,DEF,0
Addji Keaninkin Marc-Israel Guehi,0,0,0,0,0.0,545,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,0,0,0,0,24,0,6337,2,2,0.0,0,-214,55,269,40,True,0,Arsenal,Chelsea,DEF,0
Ademola Lookman,0,0,0,0,0.0,155,233,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,0,0,0,0,24,0,459,2,2,0.0,0,0,4,4,50,True,0,Newcastle,Everton,MID,0
Adrian Mariappa,0,0,15,0,14.7,356,231,2,0,4.8,33.6,2020-01-21T19:30:00Z,90,0,0,0,0,24,0,25754,1,2,0.0,1,7040,8462,1422,42,False,0,Aston Villa,Watford,DEF,0
Adrián,0,0,0,0,0.0,526,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,0,0,0,0,24,0,144549,2,1,0.0,0,-10085,935,11020,41,False,0,Wolves,Liverpool,GK,0
Adrián,0,0,0,0,0.0,526,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,0,0,0,0,24,0,144549,2,0,0.0,0,-10085,935,11020,41,False,0,West Ham,Liverpool,GK,0
Ahmed Elmohamady,0,0,0,0,0.0,22,231,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,0,0,0,0,24,0,68286,1,2,0.0,0,-2100,542,2642,42,True,0,Watford,Aston Villa,DEF,0
Ainsley Maitland-Niles,0,0,0,0,0.0,4,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,0,0,0,0,24,0,195567,2,2,0.0,0,-3647,2885,6532,46,False,0,Chelsea,Arsenal,DEF,0
Akin Famewo,0,0,0,0,0.0,552,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,0,0,0,0,24,0,4782,1,2,0.0,0,-183,17,200,40,False,0,Spurs,Norwich,DEF,0
Albian Ajeti,0,0,0,0,0.0,514,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,0,0,0,0,24,0,2862,1,4,0.0,0,175,248,73,57,False,0,Leicester,West Ham,FWD,0
Albian Ajeti,0,0,0,0,0.0,514,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,0,0,0,0,24,0,2862,2,0,0.0,0,175,248,73,57,True,0,Liverpool,West Ham,FWD,0
Alexander Tettey,0,0,19,0,12.1,289,240,2,0,3.4,13.0,2020-01-22T19:30:00Z,81,0,0,0,0,24,0,26193,1,2,9.0,2,-832,910,1742,45,False,0,Spurs,Norwich,MID,0
Alexandre Nascimento Costa Silva,0,0,0,0,0.0,387,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,0,0,0,0,24,0,65026,1,4,0.0,0,98,1618,1520,43,False,0,Leicester,West Ham,FWD,0
Alexandre Nascimento Costa Silva,0,0,0,0,0.0,387,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,0,0,0,0,24,0,65026,2,0,0.0,0,98,1618,1520,43,True,0,Liverpool,West Ham,FWD,0
Alexandre Lacazette,0,0,8,0,2.9,12,238,2,0,2.0,9.0,2020-01-21T20:15:00Z,90,0,0,0,0,24,0,155956,2,2,8.0,2,-15666,8176,23842,93,False,0,Chelsea,Arsenal,FWD,0
Alexis Sánchez,0,0,0,0,0.0,240,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,0,0,0,0,24,0,28515,2,0,0.0,0,-83,22,105,68,True,0,Burnley,Man Utd,MID,0
Alex Iwobi,0,0,0,0,0.0,17,233,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,0,0,0,0,24,0,66860,2,2,0.0,0,-856,13,869,56,True,0,Newcastle,Everton,MID,0
Alex McCarthy,0,0,20,1,0.0,318,239,0,0,0.1,1.4,2020-01-21T19:30:00Z,90,0,0,0,0,24,0,218805,2,0,0.0,6,14156,23653,9497,44,False,0,Crystal Palace,Southampton,GK,0
Alex Oxlade-Chamberlain,0,0,7,0,2.3,193,237,1,0,0.9,6.2,2020-01-23T20:00:00Z,69,0,0,0,0,24,0,35219,2,1,0.0,2,5945,7068,1123,62,False,0,Wolves,Liverpool,MID,0
Alex Oxlade-Chamberlain,0,2,33,1,15.4,193,180,0,1,7.5,41.8,2020-01-29T19:45:00Z,84,0,0,0,0,24,0,35219,2,0,18.0,10,5945,7068,1123,62,False,0,West Ham,Liverpool,MID,0
