name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Francisco Femenía Far,0,0,22,0,1.7,357,166,2,0,2.5,22.8,2019-12-14T12:30:00Z,90,0,0,0,0,17,0,26615,0,2,0.0,1,4147,5297,1150,42,False,0,Liverpool,Watford,DEF
Jed Steer,0,0,0,0,0.0,429,168,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,7349,0,2,0.0,0,-148,51,199,44,False,0,Sheffield Utd,Aston Villa,GK
Jamaal Lascelles,0,0,0,0,0.0,258,162,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,212656,0,1,0.0,0,-19367,237,19604,43,False,0,Burnley,Newcastle,DEF
Davide Zappacosta,0,0,0,0,0.0,109,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,12184,1,0,0.0,0,-119,33,152,43,True,0,Bournemouth,Chelsea,DEF
Víctor Camarasa,0,0,0,0,0.0,510,164,0,0,0.0,0.0,2019-12-16T19:45:00Z,0,0,0,0,0,17,0,13726,1,1,0.0,0,-298,160,458,46,True,0,Brighton,Crystal Palace,MID
Johann Berg Gudmundsson,0,0,0,0,0.0,96,162,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,32091,0,1,0.0,0,-526,23,549,59,True,0,Newcastle,Burnley,MID
Jonathan Kodjia,0,0,3,0,0.6,26,168,1,0,0.1,0.2,2019-12-14T15:00:00Z,21,0,0,0,0,17,0,6476,0,2,0.0,1,-145,82,227,54,False,0,Sheffield Utd,Aston Villa,FWD
Will Hughes,0,0,13,0,2.8,370,166,2,0,1.3,9.2,2019-12-14T12:30:00Z,90,0,0,0,0,17,0,27674,0,2,1.0,1,-1533,53,1586,54,False,1,Liverpool,Watford,MID
Victor Lindelöf,0,0,1,0,10.8,225,167,1,0,1.6,1.2,2019-12-15T14:00:00Z,90,1,0,0,0,17,0,88578,1,1,4.0,-1,8350,10580,2230,53,True,1,Everton,Man Utd,DEF
Daryl Janmaat,0,0,0,0,0.0,359,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,0,0,0,0,17,0,78302,0,2,0.0,0,-16572,854,17426,42,False,0,Liverpool,Watford,DEF
Eric Garcia,0,0,0,0,0.0,544,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,0,0,0,0,0,17,0,1723,3,0,0.0,0,-26,97,123,45,False,0,Arsenal,Man City,DEF
Caoimhin Kelleher,0,0,0,0,0.0,531,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,0,0,0,0,17,0,1966,0,2,0.0,0,-10,22,32,44,True,0,Watford,Liverpool,GK
James Tarkowski,0,0,24,1,0.1,84,162,0,0,3.3,25.8,2019-12-14T15:00:00Z,90,0,0,0,0,17,0,272145,0,1,7.0,6,2015,27954,25939,51,True,0,Newcastle,Burnley,DEF
Neal Maupay,0,0,23,0,4.1,502,164,1,1,10.2,37.4,2019-12-16T19:45:00Z,90,0,0,0,0,17,0,90473,1,1,60.0,6,17869,24266,6397,58,False,0,Crystal Palace,Brighton,FWD
José Holebas,0,0,0,0,0.0,353,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,0,0,0,0,17,0,59449,0,2,0.0,0,-5616,10,5626,47,False,0,Liverpool,Watford,DEF
Tom Heaton,0,0,11,0,0.0,94,168,2,0,1.2,11.8,2019-12-14T15:00:00Z,90,0,0,0,0,17,1,379934,0,2,0.0,1,904,8621,7717,45,False,0,Sheffield Utd,Aston Villa,GK
Pedro Lomba Neto,0,0,0,0,0.0,528,170,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,2858,2,1,0.0,0,-37,104,141,50,True,0,Spurs,Wolves,MID
Joseph Willock,0,0,3,0,0.3,490,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,9,0,0,0,0,17,0,14008,3,0,0.0,1,-403,211,614,48,True,0,Man City,Arsenal,MID
Pedro Obiang,0,0,0,0,0.0,400,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,2938,1,0,0.0,0,-20,57,77,45,False,0,Southampton,West Ham,MID
Ricardo Domingos Barbosa Pereira,0,0,14,0,9.5,159,165,1,0,3.5,20.8,2019-12-14T15:00:00Z,90,0,0,0,0,17,0,1257799,1,1,5.0,2,21332,59699,38367,65,True,0,Norwich,Leicester,DEF
Paul Pogba,0,0,0,0,0.0,238,167,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,217763,1,1,0.0,0,-2887,489,3376,84,True,0,Everton,Man Utd,MID
Muhamed Bešić,0,0,3,0,0.7,522,168,0,0,0.1,0.4,2019-12-14T15:00:00Z,4,0,0,0,0,17,0,10728,0,2,0.0,1,-4,321,325,44,True,0,Aston Villa,Sheffield Utd,MID
Grady Diangana,0,0,0,0,0.0,398,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,5052,1,0,0.0,0,58,305,247,44,False,0,Southampton,West Ham,MID
Mohamed Elyounoussi,0,0,0,0,0.0,322,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,1856,1,0,0.0,0,-7,21,28,53,True,0,West Ham,Southampton,MID
Carl Jenkinson,0,0,0,0,0.0,9,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,0,0,0,0,0,17,0,1620,3,0,0.0,0,2,35,33,45,True,0,Man City,Arsenal,DEF
Douglas Luiz Soares de Paulo,0,0,3,0,1.2,470,168,1,0,0.6,4.6,2019-12-14T15:00:00Z,24,0,0,0,0,17,0,266698,0,2,0.0,1,-5386,9623,15009,45,False,0,Sheffield Utd,Aston Villa,MID
Jetro Willems,0,0,9,0,2.0,498,162,1,0,0.5,3.0,2019-12-14T15:00:00Z,70,0,0,0,0,17,0,242844,0,1,0.0,2,12885,30584,17699,47,False,0,Burnley,Newcastle,DEF
Gerard Deulofeu,0,0,4,0,3.8,363,166,2,0,3.8,7.0,2019-12-14T12:30:00Z,90,0,0,0,0,17,0,150667,0,2,27.0,2,-21849,1869,23718,61,False,0,Liverpool,Watford,FWD
Jan Bednarek,0,0,17,0,0.4,307,169,1,0,2.8,27.6,2019-12-14T17:30:00Z,90,0,0,0,0,17,0,49603,1,0,0.0,2,-751,974,1725,44,True,0,West Ham,Southampton,DEF
Ainsley Maitland-Niles,0,0,18,0,17.9,4,161,3,0,3.6,18.0,2019-12-15T16:30:00Z,90,0,0,0,0,17,0,186336,3,0,0.0,1,-5887,920,6807,46,True,0,Man City,Arsenal,DEF
