name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Adrián_San Miguel del Castillo_526,0,0,0,0,0,526,304,0,0,0,0,2020-06-24T19:15:00Z,0,0,0,0,0,31,0,156403,0,4,0,0,-2208,3148,5356,40,TRUE,0,Crystal Palace
Ahmed_El Mohamady_22,0,1,16,0,5.4,22,306,0,1,5.8,35.6,2020-06-24T17:00:00Z,13,0,0,0,0,31,0,68783,1,1,17,8,301,2527,2226,41,FALSE,0,Newcastle
Ainsley_Maitland-Niles_4,0,0,4,0,1.3,4,308,0,0,0.7,6,2020-06-25T17:00:00Z,10,0,0,0,0,31,0,172325,2,0,0,1,-2327,772,3099,45,FALSE,0,Southampton
Akin_Famewo_552,0,0,0,0,0,552,307,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,4764,1,0,0,0,76,225,149,39,TRUE,0,Everton
Albian_Ajeti_514,0,0,0,0,0,514,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,2769,0,2,0,0,5,60,55,56,FALSE,0,Spurs
Alexander_Tettey_289,0,0,14,0,0.9,289,307,1,0,1.4,4,2020-06-24T17:00:00Z,78,0,0,0,0,31,0,24767,1,0,9,2,-752,329,1081,45,TRUE,0,Everton
Alexandre Nascimento_Costa Silva_387,0,0,0,0,0,387,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,66169,0,2,0,0,-64,969,1033,43,FALSE,0,Spurs
Alexandre_Lacazette_12,1,0,10,0,0,12,308,0,0,2.3,1,2020-06-25T17:00:00Z,11,0,0,0,0,31,0,163613,2,0,22,4,-21345,1026,22371,93,FALSE,0,Southampton
Alexis_Mac Allister_627,0,0,4,0,0.4,627,303,0,0,1.4,1.2,2020-06-23T17:00:00Z,57,0,0,0,0,31,0,1028,0,0,12,1,26,87,61,55,FALSE,0,Leicester
Alexis_Sánchez_240,0,0,0,0,0,240,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,28349,0,3,0,0,-34,29,63,68,TRUE,0,Sheffield Utd
Alex_Iwobi_17,0,0,22,1,49.1,17,307,0,0,8.7,29.8,2020-06-24T17:00:00Z,89,0,0,0,0,31,0,66529,1,0,8,3,100,519,419,56,FALSE,0,Norwich
Alex_McCarthy_318,0,0,11,0,0,318,308,2,0,1,10.2,2020-06-25T17:00:00Z,90,0,0,0,0,31,3,281519,2,0,0,2,9614,24157,14543,45,TRUE,0,Arsenal
Alex_Oxlade-Chamberlain_193,0,0,7,0,3.7,193,304,0,0,1.1,1.6,2020-06-24T19:15:00Z,26,0,0,0,0,31,0,46125,0,4,6,1,-1120,871,1991,62,TRUE,0,Crystal Palace
Alfie_Whiteman_543,0,0,0,0,0,543,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,36040,0,2,0,0,-424,138,562,40,TRUE,0,West Ham
Alireza_Jahanbakhsh_50,0,0,0,0,0,50,303,0,0,0,0,2020-06-23T17:00:00Z,0,0,0,0,0,31,0,7621,0,0,0,0,-93,43,136,58,FALSE,0,Leicester
Alisson_Ramses Becker_189,0,0,19,1,0,189,304,0,0,0.4,3.6,2020-06-24T19:15:00Z,90,0,0,0,0,31,0,712481,0,4,0,6,20461,25550,5089,62,TRUE,0,Crystal Palace
Allan_Saint-Maximin_500,0,0,15,0,12.5,500,306,1,0,5,12,2020-06-24T17:00:00Z,90,0,0,0,0,31,0,109501,1,1,25,2,49974,57046,7072,54,TRUE,0,Aston Villa
Andreas_Christensen_108,0,0,25,0,13.2,108,302,1,0,7.8,32.2,2020-06-25T19:15:00Z,90,0,0,0,0,31,0,43772,1,2,33,2,392,845,453,48,TRUE,0,Man City
Andreas_Pereira_246,0,0,3,0,2.2,246,305,0,0,0.3,0.6,2020-06-24T17:00:00Z,10,0,0,0,0,31,0,29520,0,3,0,1,-520,174,694,48,TRUE,0,Sheffield Utd
Andrew_Robertson_181,1,0,31,1,33.3,181,304,0,0,6.2,23.4,2020-06-24T19:15:00Z,83,0,0,0,0,31,0,1358952,0,4,5,9,-18206,15760,33966,70,TRUE,0,Crystal Palace
Andrew_Surman_80,0,0,0,0,0,80,310,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,2750,0,1,0,0,-17,24,41,47,FALSE,0,Wolves
Andre_Gray_364,0,0,3,0,0,364,301,0,0,0,0,2020-06-25T17:00:00Z,5,0,0,0,0,31,0,27163,0,1,0,1,-73,350,423,55,FALSE,0,Burnley
Andre_Green_32,0,0,0,0,0,32,306,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,770,1,1,0,0,3,17,14,48,FALSE,0,Newcastle
Andriy_Yarmolenko_392,0,0,0,0,0,392,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,54333,0,2,0,0,-256,138,394,52,FALSE,0,Spurs
Andros_Townsend_135,0,0,11,0,1.8,135,304,4,0,0.9,6.6,2020-06-24T19:15:00Z,90,0,0,0,0,31,0,71132,0,4,1,2,-237,207,444,56,FALSE,0,Liverpool
André Filipe_Tavares Gomes_422,0,0,15,1,2.5,422,307,0,0,1.2,9.2,2020-06-24T17:00:00Z,90,0,0,0,0,31,0,22633,1,0,0,3,321,548,227,52,FALSE,0,Norwich
Andy_Carroll_520,1,0,11,0,21.7,520,306,1,0,4,17.6,2020-06-24T17:00:00Z,26,0,0,0,0,31,0,6908,1,1,1,4,91,265,174,54,TRUE,0,Aston Villa
Andy_King_480,0,0,0,0,0,480,303,0,0,0,0,2020-06-23T17:00:00Z,0,0,0,0,0,31,0,29070,0,0,0,0,46,2336,2290,42,TRUE,0,Brighton
Andy_Lonergan_530,0,0,0,0,0,530,304,0,0,0,0,2020-06-24T19:15:00Z,0,0,0,0,0,31,0,2006,0,4,0,0,-4,10,14,42,TRUE,0,Crystal Palace
Angelo_Ogbonna_377,0,0,0,0,0,377,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,68266,0,2,0,0,-3584,180,3764,45,FALSE,0,Spurs
Angel_Gomes_245,0,0,0,0,0,245,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,6934,0,3,0,0,-37,59,96,47,TRUE,0,Sheffield Utd
Angus_Gunn_319,0,0,0,0,0,319,308,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,102732,2,0,0,0,-1477,814,2291,42,TRUE,0,Arsenal
Anthony_Driscoll-Glennon_572,0,0,0,0,0,572,301,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,2884,0,1,0,0,31,233,202,39,TRUE,0,Watford
Anthony_Gordon_561,0,0,5,0,0.1,561,307,0,0,0.4,2.2,2020-06-24T17:00:00Z,1,0,0,0,0,31,0,4196,1,0,2,1,173,350,177,45,FALSE,0,Norwich
Anthony_Knockaert_52,0,0,0,0,0,52,303,0,0,0,0,2020-06-23T17:00:00Z,0,0,0,0,0,31,0,659,0,0,0,0,3,12,9,53,FALSE,0,Leicester
Anthony_Martial_239,0,3,63,1,15.8,239,305,0,3,20.4,103.4,2020-06-24T17:00:00Z,79,0,0,0,0,31,0,844178,0,3,85,21,-11033,51238,62271,80,TRUE,0,Sheffield Utd
Antonio_Rüdiger_104,0,0,14,0,0.2,104,302,1,0,1.3,12.8,2020-06-25T19:15:00Z,90,0,0,0,0,31,0,50621,1,2,0,2,-1120,1153,2273,60,TRUE,0,Man City
Anwar_El Ghazi_30,0,0,11,0,25.6,30,306,1,0,5.3,8.6,2020-06-24T17:00:00Z,69,0,0,0,0,31,0,73414,1,1,19,2,-15667,1050,16717,55,FALSE,0,Newcastle
Archie_Mair_551,0,0,0,0,0,551,307,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,5641,1,0,0,0,-47,138,185,40,TRUE,0,Everton
Armando_Broja_631,0,0,0,0,0,631,302,0,0,0,0,2020-06-25T19:15:00Z,0,0,0,0,0,31,0,906,1,2,0,0,6,158,152,45,TRUE,0,Man City
Arnaut_Danjuma Groeneveld_492,0,0,0,0,1.4,492,310,0,0,0.1,0,2020-06-24T17:00:00Z,24,0,0,0,0,31,0,2148,0,1,1,1,-6,23,29,58,FALSE,0,Wolves
Arthur_Masuaku_378,0,0,0,0,0,378,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,34826,0,2,0,0,-299,979,1278,41,FALSE,0,Spurs
