name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP,season
Aaron Connolly,2,0,22,0,0.3,534,92,2,0,0.2,0.0,2019-10-26T14:00:00Z,79,0,0,0,0,10,0,146247,2,3,2.0,8,34969,42593,7624,46,True,0,Everton,Brighton,FWD,0,2019-20
Aaron Cresswell,0,0,10,0,3.8,376,100,1,0,4.2,17.4,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,135473,1,1,21.0,2,-17348,3608,20956,50,True,0,Sheffield Utd,West Ham,DEF,0,2019-20
Aaron Lennon,0,0,0,0,0.0,430,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,6888,4,2,0.0,0,-105,124,229,48,True,0,Chelsea,Burnley,MID,0,2019-20
Aaron Mooy,0,0,0,0,0.0,516,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,11160,2,3,0.0,0,-1445,64,1509,48,True,0,Everton,Brighton,MID,0,2019-20
Aaron Ramsdale,0,1,29,1,0.0,494,99,0,0,2.2,22.0,2019-10-26T14:00:00Z,90,0,0,0,0,10,3,90239,0,0,0.0,8,18734,21641,2907,45,False,0,Watford,Bournemouth,GK,0,2019-20
Aaron Wan-Bissaka,0,0,11,0,4.2,122,97,1,0,4.0,36.0,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,1225533,3,1,0.0,1,-10239,22153,32392,54,False,1,Norwich,Man Utd,DEF,0,2019-20
Abdoulaye Doucouré,0,0,9,1,13.3,368,99,0,0,3.1,8.2,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,72237,0,0,9.0,2,5075,6506,1431,57,True,1,Bournemouth,Watford,MID,0,2019-20
Adama Traoré,0,0,15,0,33.6,417,96,1,0,8.0,16.6,2019-10-27T14:00:00Z,90,0,0,0,0,10,0,259814,1,1,30.0,2,49246,65330,16084,51,False,0,Newcastle,Wolves,MID,0,2019-20
Adam Idah,0,0,0,0,0.0,538,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,7211,3,1,0.0,0,-56,469,525,45,True,0,Man Utd,Norwich,FWD,0,2019-20
Adam Lallana,0,0,0,0,0.0,195,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,8088,1,2,0.0,0,372,526,154,58,True,0,Spurs,Liverpool,MID,0,2019-20
