name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Aaron Connolly,FWD,Brighton,4.0,0,2,27,1,11.3,78,16,0,1,6.9,34.8,2020-09-20T13:00:00Z,89,0,0,0,0,2,0,35030,3,0,23.0,8,-1161,5332,6493,55,False,0,Newcastle
Aaron Cresswell,DEF,West Ham,0.5,0,0,17,0,35.0,435,9,2,0,6.2,27.0,2020-09-19T19:00:00Z,90,0,0,0,0,2,0,62831,1,2,0.0,1,-12662,1523,14185,50,False,0,Arsenal
Aaron Mooy,MID,Brighton,0.0,0,0,0,0,0.0,60,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,0,0,0,0,2,0,1495,3,0,0.0,0,-545,44,589,50,False,0,Newcastle
Aaron Ramsdale,GK,Sheffield Utd,2.0,0,0,10,0,0.0,483,10,1,0,1.1,11.2,2020-09-21T17:00:00Z,90,0,0,0,0,2,1,440147,0,1,0.0,2,-41600,15075,56675,50,False,0,Aston Villa
Aaron Wan-Bissaka,DEF,Man Utd,0.5,0,0,0,0,0.0,313,15,0,0,0.0,0.0,2020-09-19T16:30:00Z,0,0,0,0,0,2,0,865810,3,1,0.0,0,59156,118395,59239,55,True,0,Crystal Palace
Abdoulaye Doucouré,MID,Everton,2.5,0,0,13,0,2.7,512,12,2,0,0.9,6.4,2020-09-19T11:30:00Z,64,0,0,0,0,2,0,172602,2,5,0.0,1,9014,34383,25369,55,True,1,West Brom
Aboubakar Kamara,MID,Fulham,1.5,0,0,3,0,2.0,190,13,4,0,0.5,0.6,2020-09-19T14:00:00Z,57,0,0,0,0,2,0,9228,3,4,2.0,1,174,2197,2023,50,False,0,Leeds
Adama Traoré,MID,Wolves,1.5,0,0,17,0,39.2,465,18,3,0,6.7,25.6,2020-09-21T19:15:00Z,90,0,0,0,0,2,0,1192596,3,1,2.0,2,-102740,59207,161947,65,True,0,Man City
Adam Forshaw,MID,Leeds,0.0,0,0,0,0,0.0,199,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,0,0,0,0,2,0,1293,3,4,0.0,0,-721,33,754,50,True,0,Fulham
Adam Lallana,MID,Brighton,0.4,0,0,3,0,1.2,54,16,0,0,0.8,6.4,2020-09-20T13:00:00Z,12,0,0,0,0,2,0,57682,3,0,0.0,1,-25783,2185,27968,65,False,0,Newcastle
Adam Webster,DEF,Brighton,3.0,0,0,21,1,1.0,66,16,0,0,1.1,10.0,2020-09-20T13:00:00Z,90,0,0,0,0,2,0,171745,3,0,0.0,6,-17741,2892,20633,45,False,0,Newcastle
Adrien Silva,MID,Leicester,0.5,0,0,0,0,0.0,220,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,0,0,0,0,2,0,44070,2,4,0.0,0,-3733,2648,6381,45,True,0,Burnley
Adrián Bernabé,MID,Man City,2.0,0,0,0,0,0.0,537,18,0,0,0.0,0.0,2020-09-21T19:15:00Z,0,0,0,0,0,2,0,0,3,1,0.0,0,0,0,0,45,False,0,Wolves
Adrián San Miguel del Castillo,GK,Liverpool,0.5,0,0,0,0,0.0,245,11,0,0,0.0,0.0,2020-09-20T15:30:00Z,0,0,0,0,0,2,0,20756,2,0,0.0,0,-1474,627,2101,45,False,0,Chelsea
Ahmed El-Sayed Hegazy,DEF,West Brom,-0.4,0,0,0,0,0.0,414,12,0,0,0.0,0.0,2020-09-19T11:30:00Z,0,0,0,0,0,2,0,60710,2,5,0.0,0,-19991,1491,21482,45,False,0,Everton
Ahmed El Mohamady,DEF,Aston Villa,-0.5,0,0,0,0,0.0,29,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,0,0,0,0,2,0,32682,0,1,0.0,0,-1073,2374,3447,45,True,0,Sheffield Utd
Ainsley Maitland-Niles,DEF,Arsenal,3.5,0,0,0,0,0.0,15,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,0,0,0,0,2,0,152759,1,2,0.0,0,13143,27762,14619,50,True,0,West Ham
Albian Ajeti,FWD,West Ham,0.0,0,0,0,0,0.0,447,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,0,0,0,0,2,0,574,1,2,0.0,0,33,146,113,55,False,0,Arsenal
Aleksandar Mitrović,FWD,Fulham,6.5,0,3,47,0,7.5,184,13,4,2,15.9,75.2,2020-09-19T14:00:00Z,90,0,0,0,0,2,0,1290155,3,4,76.0,12,-202045,59667,261712,60,False,1,Leeds
Alexandre Lacazette,FWD,Arsenal,7.5,0,1,29,0,5.7,6,9,1,1,7.0,33.0,2020-09-19T19:00:00Z,76,0,0,0,0,2,0,342387,1,2,31.0,7,59951,93434,33483,85,True,0,West Ham
Alexis Mac Allister,MID,Brighton,-0.5,0,0,0,0,0.0,80,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,0,0,0,0,2,0,4108,3,0,0.0,0,-533,156,689,55,False,0,Newcastle
Alex Iwobi,MID,Everton,1.0,0,0,2,0,6.0,159,12,0,0,0.9,0.0,2020-09-19T11:30:00Z,19,0,0,0,0,2,0,11246,2,5,4.0,1,-2245,641,2886,60,True,0,West Brom
Alex McCarthy,GK,Southampton,0.5,0,0,9,0,0.0,363,17,5,0,1.3,12.8,2020-09-20T11:00:00Z,90,0,0,0,0,2,1,1423373,5,2,0.0,0,-49369,83896,133265,45,True,0,Spurs
Alex Oxlade-Chamberlain,MID,Liverpool,0.0,0,0,0,0,0.0,248,11,0,0,0.0,0.0,2020-09-20T15:30:00Z,0,0,0,0,0,2,0,2877,2,0,0.0,0,-709,101,810,65,False,0,Chelsea
Alfie Mawson,DEF,Fulham,0.0,0,0,0,0,0.0,185,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,0,0,0,0,2,0,1371,3,4,0.0,0,-461,92,553,45,False,0,Leeds
Alireza Jahanbakhsh,MID,Brighton,0.5,0,0,4,0,10.4,71,16,0,0,3.0,2.0,2020-09-20T13:00:00Z,1,0,0,0,0,2,0,3804,3,0,18.0,1,-235,305,540,55,False,0,Newcastle
Alisson Ramses Becker,GK,Liverpool,8.0,0,2,41,1,0.0,252,11,0,0,4.7,47.2,2020-09-20T15:30:00Z,90,0,0,1,0,2,3,733175,2,0,0.0,14,-92351,10612,102963,60,False,0,Chelsea
Allan Marques Loureiro,MID,Everton,3.0,0,0,13,0,6.0,502,12,2,0,3.1,18.0,2020-09-19T11:30:00Z,90,0,0,0,0,2,0,133590,2,5,7.0,2,19148,36189,17041,55,True,0,West Brom
Allan Saint-Maximin,MID,Newcastle,2.5,0,0,0,0,0.6,338,16,2,0,0.0,0.0,2020-09-20T13:00:00Z,32,0,0,0,0,2,0,1348064,3,0,0.0,1,-83797,80068,163865,55,True,0,Brighton
Alphonse Areola,GK,Fulham,0.5,0,0,17,0,0.0,516,13,4,0,2.4,24.4,2020-09-19T14:00:00Z,90,0,0,0,0,2,3,87432,3,4,0.0,1,-4124,9436,13560,45,False,0,Leeds
Andreas Christensen,DEF,Chelsea,-1.0,0,0,1,0,0.3,116,11,2,0,1.5,14.6,2020-09-20T15:30:00Z,45,0,0,0,1,2,0,24305,2,0,0.0,-3,-285,2136,2421,50,True,0,Liverpool
Andreas Pereira,MID,Man Utd,0.5,0,0,0,0,0.0,304,15,0,0,0.0,0.0,2020-09-19T16:30:00Z,0,0,0,0,0,2,0,5704,3,1,0.0,0,-386,331,717,50,True,0,Crystal Palace
Andrew Robertson,DEF,Liverpool,5.5,0,0,26,1,14.3,255,11,0,0,5.1,10.6,2020-09-20T15:30:00Z,90,0,0,0,0,2,0,807793,2,0,26.0,6,-47931,52291,100222,70,False,0,Chelsea
Andriy Yarmolenko,MID,West Ham,0.0,0,0,4,0,4.7,436,9,1,0,0.7,2.2,2020-09-19T19:00:00Z,7,0,0,0,0,2,0,11308,1,2,0.0,1,-4121,512,4633,59,False,0,Arsenal
Andros Townsend,MID,Crystal Palace,8.0,0,2,27,0,20.9,137,15,1,1,10.1,39.6,2020-09-19T16:30:00Z,90,0,0,0,0,2,0,51702,3,1,40.0,9,11126,18748,7622,60,False,0,Man Utd
André Filipe Tavares Gomes,MID,Everton,3.0,0,0,11,0,17.2,158,12,2,0,3.0,11.2,2020-09-19T11:30:00Z,90,0,0,0,0,2,0,32961,2,5,2.0,2,3676,7797,4121,55,True,0,West Brom
André-Frank Zambo Anguissa,MID,Fulham,3.0,1,0,30,0,34.1,191,13,4,0,8.6,43.4,2020-09-19T14:00:00Z,90,0,0,0,0,2,0,49386,3,4,8.0,5,-3551,3242,6793,45,False,0,Leeds
Andy Carroll,FWD,Newcastle,2.0,0,0,1,0,0.3,320,16,2,0,0.6,3.2,2020-09-20T13:00:00Z,45,0,0,0,0,2,0,56622,3,0,2.0,1,18447,30119,11672,55,True,0,Brighton
Angelo Ogbonna,DEF,West Ham,0.5,0,0,12,0,0.5,432,9,2,0,4.4,24.4,2020-09-19T19:00:00Z,90,0,0,0,0,2,0,23987,1,2,19.0,1,-4340,667,5007,50,False,0,Arsenal
Angus Gunn,GK,Southampton,-0.5,0,0,0,0,0.0,371,17,0,0,0.0,0.0,2020-09-20T11:00:00Z,0,0,0,0,0,2,0,20173,5,2,0.0,0,-2038,476,2514,45,True,0,Spurs
Anthony Driscoll-Glennon,DEF,Burnley,0.5,0,0,0,0,0.0,536,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,0,0,0,0,2,0,0,2,4,0.0,0,0,0,0,40,False,0,Leicester
Anthony Gordon,MID,Everton,0.5,0,0,0,0,0.0,168,12,0,0,0.0,0.0,2020-09-19T11:30:00Z,0,0,0,0,0,2,0,46290,2,5,0.0,0,-5381,1864,7245,45,True,0,West Brom
Anthony Knockaert,MID,Fulham,0.0,0,0,0,0,0.0,177,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,0,0,0,0,2,0,10177,3,4,0.0,0,-3198,215,3413,54,False,0,Leeds
Anthony Martial,FWD,Man Utd,2.5,0,0,4,0,6.0,303,15,3,0,3.5,1.2,2020-09-19T16:30:00Z,90,0,0,0,0,2,0,1156211,3,1,28.0,2,340570,419865,79295,90,True,0,Crystal Palace
Antonee Robinson,DEF,Fulham,0.0,0,0,0,0,0.0,484,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,0,0,0,0,2,0,7841,3,4,0.0,0,-1327,122,1449,45,False,0,Leeds
Antonio Rüdiger,DEF,Chelsea,-0.5,0,0,0,0,0.0,109,11,0,0,0.0,0.0,2020-09-20T15:30:00Z,0,0,0,0,0,2,0,115488,2,0,0.0,0,-34536,4611,39147,49,True,0,Liverpool
Anwar El Ghazi,MID,Aston Villa,-0.5,0,0,0,0,0.0,45,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,0,0,0,0,2,0,10543,0,1,0.0,0,-709,922,1631,60,True,0,Sheffield Utd
Arthur Masuaku,DEF,West Ham,0.0,0,0,18,0,16.8,442,9,2,0,3.1,11.0,2020-09-19T19:00:00Z,89,0,0,0,0,2,0,15134,1,2,3.0,1,-2578,397,2975,45,False,0,Arsenal
Ashley Barnes,FWD,Burnley,0.0,0,0,0,0,0.0,87,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,0,0,0,0,2,0,6993,2,4,0.0,0,-2789,153,2942,60,False,0,Leicester
Ashley Westwood,MID,Burnley,1.5,0,0,12,0,25.3,89,14,4,0,3.3,7.6,2020-09-20T18:00:00Z,90,0,0,0,0,2,0,55990,2,4,0.0,2,-6566,1093,7659,55,False,0,Leicester
Axel Tuanzebe,DEF,Man Utd,0.0,0,0,0,0,0.0,307,15,0,0,0.0,0.0,2020-09-19T16:30:00Z,0,0,0,0,0,2,0,1726,3,1,0.0,0,-627,51,678,45,True,0,Crystal Palace
Aymeric Laporte,DEF,Man City,0.0,0,0,0,0,0.0,280,18,0,0,0.0,0.0,2020-09-21T19:15:00Z,0,0,0,0,0,2,0,302527,3,1,0.0,0,-27389,24063,51452,60,False,0,Wolves
Ayoze Pérez,MID,Leicester,3.0,0,0,4,0,3.3,229,14,1,0,3.8,6.8,2020-09-20T18:00:00Z,61,0,0,0,0,2,0,198539,2,4,28.0,2,-27557,12465,40022,65,True,0,Burnley
Bailey Peacock-Farrell,GK,Burnley,-0.5,0,0,0,0,0.0,99,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,0,0,0,0,2,0,97704,2,4,0.0,0,2797,6754,3957,40,False,0,Leicester
Bamidele Alli,MID,Spurs,1.0,0,0,0,0,0.0,394,17,0,0,0.0,0.0,2020-09-20T11:00:00Z,0,0,0,0,0,2,0,154269,5,2,0.0,0,-96227,7461,103688,79,False,0,Southampton
Barry Douglas,DEF,Leeds,0.0,0,0,0,0,0.0,196,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,0,0,0,0,2,0,870162,3,4,0.0,0,-99299,33745,133044,40,True,0,Fulham
Benjamin Chilwell,DEF,Chelsea,0.0,0,0,0,0,0.0,232,11,0,0,0.0,0.0,2020-09-20T15:30:00Z,0,0,0,0,0,2,0,65868,2,0,0.0,0,-13057,2777,15834,55,True,0,Liverpool
Benjamin Mendy,DEF,Man City,2.0,0,0,11,0,3.9,274,18,1,0,2.7,14.6,2020-09-21T19:15:00Z,90,0,0,0,0,2,0,121294,3,1,8.0,1,-5287,4856,10143,60,False,1,Wolves
Ben Davies,DEF,Spurs,2.0,0,0,2,0,2.0,395,17,2,0,0.6,4.4,2020-09-20T11:00:00Z,90,0,0,0,0,2,0,155739,5,2,0.0,1,-12410,13490,25900,50,False,0,Southampton
Ben Gibson,DEF,Burnley,0.0,0,0,0,0,0.0,94,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,0,0,0,0,2,0,17434,2,4,0.0,0,-3221,558,3779,40,False,0,Leicester
Ben Johnson,DEF,West Ham,-0.5,0,0,0,0,0.0,452,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,0,0,0,0,2,0,163501,1,2,0.0,0,-12169,7281,19450,40,False,0,Arsenal
Ben Mee,DEF,Burnley,0.0,0,0,0,0,0.0,88,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,0,0,0,0,2,0,20376,2,4,0.0,0,-7386,129,7515,50,False,0,Leicester
Ben Osborn,MID,Sheffield Utd,1.0,0,0,2,0,4.8,356,10,0,0,0.5,0.4,2020-09-21T17:00:00Z,27,0,0,0,0,2,0,2388,0,1,0.0,1,-379,95,474,50,False,0,Aston Villa
Ben White,DEF,Brighton,2.2,0,0,21,1,3.8,74,16,0,0,1.7,12.8,2020-09-20T13:00:00Z,90,0,0,0,0,2,0,96397,3,0,0.0,6,-12682,4037,16719,45,False,0,Newcastle
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,0.8,0,0,0,0,0.0,281,18,0,0,0.0,0.0,2020-09-21T19:15:00Z,0,0,0,0,0,2,0,43760,3,1,0.0,0,-10501,1947,12448,75,False,0,Wolves
Bernardo Fernandes da Silva Junior,DEF,Brighton,-0.5,0,0,0,0,0.0,75,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,0,0,0,0,2,0,812242,3,0,0.0,0,-58911,35034,93945,40,False,0,Newcastle
Bernard Anício Caldeira Duarte,MID,Everton,0.5,0,0,0,0,0.0,154,12,0,0,0.0,0.0,2020-09-19T11:30:00Z,0,0,0,0,0,2,0,11165,2,5,0.0,0,-1784,913,2697,60,True,0,West Brom
Bernd Leno,GK,Arsenal,5.0,0,0,18,0,0.0,8,9,1,0,1.8,18.0,2020-09-19T19:00:00Z,90,0,0,0,0,2,2,614046,1,2,0.0,2,71268,112820,41552,50,True,0,West Ham
Billy Gilmour,MID,Chelsea,0.0,0,0,0,0,0.0,124,11,0,0,0.0,0.0,2020-09-20T15:30:00Z,0,0,0,0,0,2,0,10716,2,0,0.0,0,-1169,738,1907,45,True,0,Liverpool
Billy Sharp,FWD,Sheffield Utd,1.5,0,0,0,0,0.0,343,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,0,0,0,0,2,0,21686,0,1,0.0,0,30,4385,4355,60,False,0,Aston Villa
Bjorn Engels,DEF,Aston Villa,0.0,0,0,0,0,0.0,36,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,0,0,0,0,2,0,9780,0,1,0.0,0,-1496,325,1821,45,True,0,Sheffield Utd
Bobby Decordova-Reid,FWD,Fulham,3.0,0,0,28,0,0.5,181,13,0,1,5.2,34.6,2020-09-19T14:00:00Z,32,0,0,0,0,2,0,9284,3,4,17.0,5,-835,1715,2550,55,False,0,Leeds
Bobby Thomas,DEF,Burnley,-0.5,0,0,0,0,0.0,520,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,0,0,0,0,2,0,29219,2,4,0.0,0,1824,4332,2508,40,False,0,Leicester
Brandon Pierrick,MID,Crystal Palace,-0.5,0,0,0,0,0.0,147,15,0,0,0.0,0.0,2020-09-19T16:30:00Z,0,0,0,0,0,2,0,7492,3,1,0.0,0,-618,503,1121,45,False,0,Man Utd
