name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Ibrahima Diallo,MID,Southampton,-0.5,0,0,0,0,0.0,565,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,0,0,0,0,14,0,1475,1,0,0.0,0,-54,83,137,45,True,0,Man City
Felipe Anderson,MID,West Ham,0.0,0,0,0,0,0.0,440,131,0,0,0.0,0.0,2020-12-21T20:00:00Z,0,0,0,0,0,14,0,9751,0,3,0.0,0,-61,2,63,61,False,0,Chelsea
Raheem Sterling,MID,Man City,7.2,0,0,20,1,4.5,276,136,0,1,7.1,38.0,2020-12-19T15:00:00Z,90,0,0,0,0,14,0,323173,1,0,28.0,8,-13309,16361,29670,114,False,0,Southampton
Juan Mata,MID,Man Utd,1.5,0,0,0,0,0.0,290,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,0,0,0,0,14,0,11571,2,6,0.0,0,-287,252,539,59,True,0,Leeds
Aaron Connolly,FWD,Brighton,1.4,0,0,-1,0,12.0,78,129,1,0,4.8,2.0,2020-12-20T12:00:00Z,90,0,0,0,0,14,0,32454,1,1,34.0,2,-1589,979,2568,53,True,0,Sheffield Utd
Oliver Norwood,MID,Sheffield Utd,0.5,0,0,0,0,0.0,349,129,0,0,0.0,0.0,2020-12-20T12:00:00Z,0,0,0,0,0,14,0,12349,1,1,0.0,0,-379,232,611,46,False,0,Brighton
Lee Peltier,DEF,West Brom,-0.5,0,0,0,0,0.0,600,138,0,0,0.0,0.0,2020-12-20T19:15:00Z,0,0,0,0,0,14,0,3796,3,0,0.0,0,-179,414,593,40,True,0,Aston Villa
Daniel Langley,GK,Newcastle,0.5,0,0,0,0,0.0,606,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,0,0,0,0,14,0,1451,1,1,0.0,0,541,960,419,40,True,0,Fulham
Wilfried Zaha,MID,Crystal Palace,3.0,0,0,6,0,12.3,141,132,7,0,2.7,2.4,2020-12-19T12:30:00Z,90,0,0,0,0,14,0,1693584,7,0,12.0,2,12825,115009,102184,75,True,0,Liverpool
Bailey Peacock-Farrell,GK,Burnley,-0.5,0,0,0,0,0.0,99,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,0,0,0,0,14,0,119640,1,2,0.0,0,684,2354,1670,40,True,0,Wolves
Ryan Fraser,MID,Newcastle,2.0,0,0,3,0,1.6,507,135,0,0,0.3,1.2,2020-12-19T20:00:00Z,11,0,0,0,0,14,0,15676,1,1,0.0,1,1458,1810,352,56,True,0,Fulham
Anthony Driscoll-Glennon,DEF,Burnley,-0.5,0,0,0,0,0.0,536,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,0,0,0,0,14,0,6228,1,2,0.0,0,-24,168,192,40,True,0,Wolves
Cengiz Ünder,MID,Leicester,0.7,0,0,0,0,0.0,541,137,0,0,0.0,0.0,2020-12-20T14:15:00Z,0,0,0,0,0,14,0,5505,2,0,0.0,0,-331,222,553,59,False,0,Spurs
Hélder Costa,MID,Leeds,-0.2,0,0,0,0,0.0,205,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,0,0,0,0,14,0,289863,2,6,0.0,0,-32535,968,33503,53,False,0,Man Utd
Jean Michaël Seri,MID,Fulham,0.0,0,0,0,0,0.0,189,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,0,0,0,0,14,0,2654,1,1,0.0,0,-51,30,81,46,False,0,Newcastle
Raúl Jiménez,FWD,Wolves,0.0,0,0,0,0,0.0,460,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,0,0,0,0,14,0,445255,1,2,0.0,0,-20070,88,20158,82,False,0,Burnley
Oskar Buur,DEF,Wolves,0.5,0,0,0,0,0.0,467,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,0,0,0,0,14,0,189353,1,2,0.0,0,164,6502,6338,39,False,0,Burnley
Kieran Tierney,DEF,Arsenal,2.3,0,0,14,0,55.8,17,133,2,0,8.1,19.6,2020-12-19T17:30:00Z,90,0,0,0,0,14,0,327723,1,2,6.0,0,-13648,2480,16128,53,False,1,Everton
Diogo Dalot,DEF,Man Utd,0.0,0,0,0,0,0.0,314,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,0,0,0,0,14,0,2306,2,6,0.0,0,-20,1,21,48,True,0,Leeds
James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,138,0,0,0.0,0.0,2020-12-20T19:15:00Z,0,0,0,0,0,14,0,516,3,0,0.0,0,3,6,3,45,False,0,West Brom
Branislav Ivanovic,DEF,West Brom,0.5,0,0,4,0,0.1,530,138,2,0,0.3,3.2,2020-12-20T19:15:00Z,12,0,0,0,0,14,0,10179,3,0,0.0,0,-506,391,897,45,True,0,Aston Villa
Dennis Praet,MID,Leicester,0.8,0,0,3,0,0.3,225,137,0,0,0.2,1.2,2020-12-20T14:15:00Z,6,0,0,0,0,14,0,21309,2,0,0.0,1,-2387,105,2492,54,False,0,Spurs
Max Lowe,DEF,Sheffield Utd,0.7,0,0,0,0,0.0,511,129,0,0,0.0,0.0,2020-12-20T12:00:00Z,0,0,0,0,0,14,0,4352,1,1,0.0,0,-85,58,143,44,False,0,Brighton
Brandon Williams,DEF,Man Utd,0.7,0,0,0,0,0.0,318,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,0,0,0,0,14,0,54046,2,6,0.0,0,-1007,545,1552,42,True,0,Leeds
Neal Maupay,FWD,Brighton,0.8,0,0,1,0,12.1,68,129,1,0,7.2,1.8,2020-12-20T12:00:00Z,65,0,0,0,0,14,0,165738,1,1,58.0,2,-4362,9236,13598,61,True,0,Sheffield Utd
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,169,133,0,0,0.0,0.0,2020-12-19T17:30:00Z,0,0,0,0,0,14,0,15739,1,2,0.0,0,-94,10,104,58,True,0,Arsenal
Aymeric Laporte,DEF,Man City,1.0,0,0,0,0,0.0,280,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,0,0,0,0,14,0,196230,1,0,0.0,0,-9821,1584,11405,60,False,0,Southampton
Zack Steffen,GK,Man City,1.0,0,0,0,0,0.0,538,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,0,0,0,0,14,0,2121,1,0,0.0,0,-8,35,43,45,False,0,Southampton
Fabricio Agosto Ramírez,GK,Fulham,-0.5,0,0,0,0,0.0,171,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,0,0,0,0,14,0,126441,1,1,0.0,0,-191,1555,1746,40,False,0,Newcastle
Mark Noble,MID,West Ham,0.2,0,0,13,0,3.9,427,131,3,0,1.7,7.4,2020-12-21T20:00:00Z,90,0,0,0,0,14,0,32003,0,3,6.0,2,-682,354,1036,46,False,0,Chelsea
Bernardo Silva,MID,Man City,1.6,0,0,16,1,35.2,281,136,0,0,7.2,15.8,2020-12-19T15:00:00Z,90,0,0,0,0,14,0,38743,1,0,21.0,3,-1494,1277,2771,74,False,0,Southampton
Jordan Henderson,MID,Liverpool,5.0,0,0,36,1,7.7,244,132,0,1,6.8,53.6,2020-12-19T12:30:00Z,90,0,0,0,0,14,0,89834,7,0,7.0,8,2561,6167,3606,54,False,0,Crystal Palace
Curtis Jones,MID,Liverpool,2.8,0,0,0,0,2.3,263,132,0,0,0.5,2.4,2020-12-19T12:30:00Z,21,0,0,0,0,14,0,109308,7,0,0.0,1,31025,34938,3913,44,False,0,Crystal Palace
William Saliba,DEF,Arsenal,0.5,0,0,0,0,0.0,27,133,0,0,0.0,0.0,2020-12-19T17:30:00Z,0,0,0,0,0,14,0,52984,1,2,0.0,0,-384,1096,1480,40,False,0,Everton
Pascal Struijk,DEF,Leeds,-0.5,0,0,-1,0,1.9,211,134,2,0,0.2,0.0,2020-12-20T16:30:00Z,45,0,0,0,0,14,0,156002,2,6,4.0,0,3632,9471,5839,39,False,0,Man Utd
Matt Ritchie,MID,Newcastle,1.3,0,0,5,0,43.3,322,135,1,0,6.3,8.6,2020-12-19T20:00:00Z,90,1,0,0,0,14,0,3322,1,1,11.0,0,-21,151,172,49,True,0,Fulham
Gary Cahill,DEF,Crystal Palace,-0.3,0,0,9,0,1.3,125,132,7,0,1.3,9.2,2020-12-19T12:30:00Z,90,0,0,0,0,14,0,11186,7,0,2.0,-1,-11,907,918,45,True,0,Liverpool
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,134,132,0,0,0.0,0.0,2020-12-19T12:30:00Z,0,0,0,0,0,14,0,58751,7,0,0.0,0,1882,3188,1306,43,True,0,Liverpool
Karl Darlow,GK,Newcastle,4.0,0,0,16,0,0.0,325,135,1,0,3.2,31.6,2020-12-19T20:00:00Z,90,0,0,0,0,14,4,141758,1,1,0.0,3,1958,8808,6850,50,True,0,Fulham
Toby Alderweireld,DEF,Spurs,1.6,0,0,18,0,11.7,386,137,2,0,4.4,27.8,2020-12-20T14:15:00Z,90,1,0,0,0,14,0,124285,2,0,4.0,-1,3730,5829,2099,54,True,0,Leicester
Joe Bryan,DEF,Fulham,0.0,0,0,3,0,0.0,182,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,1,0,0,0,0,14,0,27152,1,1,0.0,1,-688,152,840,46,False,0,Newcastle
Shane Long,FWD,Southampton,-0.7,0,0,0,0,0.0,361,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,0,0,0,0,14,0,44313,1,0,0.0,0,-1374,723,2097,52,True,0,Man City
Bernd Leno,GK,Arsenal,3.5,0,0,10,0,0.0,8,133,2,0,0.8,8.4,2020-12-19T17:30:00Z,90,0,0,0,0,14,1,577628,1,2,0.0,1,-35279,2232,37511,50,False,0,Everton
Ivan Cavaleiro,MID,Fulham,2.3,0,0,0,0,0.0,187,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,0,0,0,0,14,0,15553,1,1,0.0,0,2278,3384,1106,53,False,0,Newcastle
Luke Ayling,DEF,Leeds,1.7,0,0,18,0,0.9,197,134,6,0,5.1,23.6,2020-12-20T16:30:00Z,90,0,0,0,0,14,0,287262,2,6,26.0,-1,-11454,6132,17586,45,False,0,Man Utd
Jesse Lingard,MID,Man Utd,0.5,0,0,0,0,0.0,301,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,0,0,0,0,14,0,10539,2,6,0.0,0,-37,140,177,59,True,0,Leeds
Robbie Brady,MID,Burnley,2.5,0,0,11,1,16.7,95,130,0,0,3.2,6.8,2020-12-21T17:30:00Z,68,0,0,0,0,14,0,5012,1,2,8.0,3,138,468,330,50,True,0,Wolves
Neil Taylor,DEF,Aston Villa,0.5,0,0,0,0,0.0,31,138,0,0,0.0,0.0,2020-12-20T19:15:00Z,0,0,0,0,0,14,0,14789,3,0,0.0,0,-96,490,586,43,False,0,West Brom
Jamie Vardy,FWD,Leicester,7.0,1,3,44,1,21.4,224,137,0,1,17.6,45.6,2020-12-20T14:15:00Z,87,0,0,0,0,14,0,2065491,2,0,109.0,12,-180913,39140,220053,102,False,0,Spurs
Tyrick Mitchell,DEF,Crystal Palace,-1.0,0,0,0,0,0.0,146,132,0,0,0.0,0.0,2020-12-19T12:30:00Z,0,0,0,0,0,14,0,1196474,7,0,0.0,0,-48312,16826,65138,40,True,0,Liverpool
Neco Williams,DEF,Liverpool,2.3,0,0,0,0,0.0,264,132,0,0,0.0,0.0,2020-12-19T12:30:00Z,0,0,0,0,0,14,0,416867,7,0,0.0,0,-1078,15892,16970,40,False,0,Crystal Palace
