name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Aaron Connolly,FWD,Brighton,3.0,1,0,13,0,10.3,78,40,0,0,3.0,17.2,2020-10-18T13:00:00Z,12,0,0,0,0,5,0,46774,1,1,2.0,4,-8992,5860,14852,55,False,0,Crystal Palace
Aaron Cresswell,DEF,West Ham,8.5,1,1,27,0,34.0,435,47,3,0,6.8,32.6,2020-10-18T15:30:00Z,90,0,0,0,0,5,0,255018,3,3,1.0,5,148325,175436,27111,49,False,0,Spurs
Aaron Mooy,MID,Brighton,0.0,0,0,0,0,0.0,60,40,0,0,0.0,0.0,2020-10-18T13:00:00Z,0,0,0,0,0,5,0,1059,1,1,0.0,0,-66,62,128,50,False,0,Crystal Palace
Aaron Ramsdale,GK,Sheffield Utd,3.3,0,0,18,0,0.0,483,46,1,0,2.8,27.8,2020-10-18T11:00:00Z,90,0,0,0,0,5,5,320507,1,1,0.0,3,-26830,21356,48186,50,True,0,Fulham
Aaron Wan-Bissaka,DEF,Man Utd,3.2,0,0,26,0,23.8,313,45,1,1,11.8,52.2,2020-10-17T19:00:00Z,90,0,0,0,0,5,0,584766,4,1,42.0,8,-94333,10097,104430,54,False,0,Newcastle
Abdoulaye Doucouré,MID,Everton,2.5,0,0,9,0,10.9,512,41,2,0,2.6,7.0,2020-10-17T11:30:00Z,77,0,0,0,0,5,0,108798,2,2,8.0,2,-13885,9049,22934,54,True,0,Liverpool
Aboubakar Kamara,MID,Fulham,-0.2,0,0,0,0,0.0,190,46,0,0,0.0,0.0,2020-10-18T11:00:00Z,0,0,0,0,0,5,0,6439,1,1,0.0,0,-1236,210,1446,49,False,0,Sheffield Utd
Adama Traoré,MID,Wolves,2.0,0,0,5,0,10.3,465,42,0,0,1.4,3.4,2020-10-19T19:00:00Z,25,0,0,0,0,5,0,842684,1,0,0.0,1,-190973,22727,213700,64,False,0,Leeds
Adam Forshaw,MID,Leeds,0.0,0,0,0,0,0.0,199,42,0,0,0.0,0.0,2020-10-19T19:00:00Z,0,0,0,0,0,5,0,732,1,0,0.0,0,-107,15,122,49,True,0,Wolves
Adam Lallana,MID,Brighton,1.5,0,0,4,0,4.9,54,40,1,0,0.5,0.0,2020-10-18T13:00:00Z,77,0,0,0,0,5,0,36915,1,1,1.0,2,-6062,1191,7253,63,False,0,Crystal Palace
Adam Webster,DEF,Brighton,2.2,0,0,11,0,13.4,66,40,1,0,6.5,16.0,2020-10-18T13:00:00Z,90,0,0,0,0,5,0,152098,1,1,36.0,2,-12528,6669,19197,45,False,0,Crystal Palace
Ademola Lookman,MID,Fulham,5.0,0,3,32,0,39.9,557,46,1,1,14.0,55.6,2020-10-18T11:00:00Z,90,0,0,0,0,5,0,1730,1,1,44.0,10,1074,1566,492,50,False,0,Sheffield Utd
Adrien Silva,MID,Leicester,0.0,0,0,0,0,0.0,220,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,0,0,0,0,5,0,32090,1,0,0.0,0,-9497,728,10225,44,True,0,Aston Villa
Adrián Bernabé,MID,Man City,0.1,0,0,0,0,0.0,537,44,0,0,0.0,0.0,2020-10-17T16:30:00Z,0,0,0,0,0,5,0,293,0,1,0.0,0,-30,51,81,45,True,0,Arsenal
Adrián,GK,Liverpool,1.0,0,0,14,0,0.0,245,41,2,0,1.9,19.2,2020-10-17T11:30:00Z,90,0,0,0,0,5,3,33318,2,2,0.0,2,10736,15958,5222,45,False,0,Everton
Ahmed Hegazi,DEF,West Brom,1.5,0,0,24,1,0.3,414,48,0,0,2.0,19.6,2020-10-19T16:30:00Z,90,0,0,0,0,5,0,30490,0,0,0.0,6,-4102,1208,5310,43,True,0,Burnley
Ahmed Elmohamady,DEF,Aston Villa,-0.3,0,0,0,0,0.0,29,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,0,0,0,0,5,0,26449,1,0,0.0,0,-2084,1041,3125,44,False,0,Leicester
Ainsley Maitland-Niles,DEF,Arsenal,0.2,0,0,0,0,0.0,15,44,0,0,0.0,0.0,2020-10-17T16:30:00Z,0,0,0,0,0,5,0,107386,0,1,0.0,0,-13373,3888,17261,49,False,0,Man City
Albian Ajeti,FWD,West Ham,0.0,0,0,0,0,0.0,447,47,0,0,0.0,0.0,2020-10-18T15:30:00Z,0,0,0,0,0,5,0,518,3,3,0.0,0,1,62,61,55,False,0,Spurs
Aleksandar Mitrović,FWD,Fulham,0.8,0,0,-14,0,2.8,184,46,1,0,3.7,0.0,2020-10-18T11:00:00Z,90,0,1,0,0,5,0,937007,1,1,40.0,0,-285682,32853,318535,59,False,0,Sheffield Utd
Alex Telles,DEF,Man Utd,3.0,0,0,0,0,0.0,568,45,0,0,0.0,0.0,2020-10-17T19:00:00Z,0,0,0,0,0,5,0,62121,4,1,0.0,0,50001,57981,7980,55,False,0,Newcastle
Alexandre Lacazette,FWD,Arsenal,2.2,0,0,2,0,0.0,6,44,0,0,0.0,0.0,2020-10-17T16:30:00Z,21,0,0,0,0,5,0,339461,0,1,0.0,1,-58733,24370,83103,85,False,0,Man City
Alexis Mac Allister,MID,Brighton,2.2,0,3,22,0,0.5,80,40,0,1,4.4,36.2,2020-10-18T13:00:00Z,12,0,0,0,0,5,0,2952,1,1,7.0,9,-272,84,356,53,False,0,Crystal Palace
Alex Iwobi,MID,Everton,1.8,0,0,3,0,1.6,159,41,0,0,0.2,0.0,2020-10-17T11:30:00Z,12,0,0,0,0,5,0,11514,2,2,0.0,1,31,1328,1297,59,True,0,Liverpool
Alex McCarthy,GK,Southampton,3.5,0,0,10,0,0.0,363,39,3,0,2.0,20.2,2020-10-17T14:00:00Z,90,0,0,0,0,5,2,1379113,3,3,0.0,1,30596,135845,105249,45,False,0,Chelsea
Alex Oxlade-Chamberlain,MID,Liverpool,0.0,0,0,0,0,0.0,248,41,0,0,0.0,0.0,2020-10-17T11:30:00Z,0,0,0,0,0,5,0,1891,2,2,0.0,0,-215,74,289,64,False,0,Everton
Alfie Mawson,DEF,Fulham,0.0,0,0,0,0,0.0,185,46,0,0,0.0,0.0,2020-10-18T11:00:00Z,0,0,0,0,0,5,0,815,1,1,0.0,0,-95,14,109,44,False,0,Sheffield Utd
Alireza Jahanbakhsh,MID,Brighton,0.2,0,0,0,0,0.0,71,40,0,0,0.0,0.0,2020-10-18T13:00:00Z,0,0,0,0,0,5,0,3195,1,1,0.0,0,-774,52,826,54,False,0,Crystal Palace
Alisson,GK,Liverpool,0.0,0,0,0,0,0.0,252,41,0,0,0.0,0.0,2020-10-17T11:30:00Z,0,0,0,0,0,5,0,637763,2,2,0.0,0,-343933,18726,362659,60,False,0,Everton
Allan,MID,Everton,0.5,0,0,3,0,0.9,502,41,2,0,0.5,4.0,2020-10-17T11:30:00Z,90,0,0,0,0,5,0,81806,2,2,0.0,1,-21754,2728,24482,54,True,1,Liverpool
Allan Saint-Maximin,MID,Newcastle,3.3,0,0,15,0,25.3,338,45,4,0,5.7,18.4,2020-10-17T19:00:00Z,90,0,0,0,0,5,0,520353,4,1,13.0,2,-20265,63152,83417,53,True,0,Man Utd
Alphonse Areola,GK,Fulham,1.8,0,0,18,0,0.0,516,46,1,0,3.4,34.2,2020-10-18T11:00:00Z,90,0,0,0,0,5,5,94310,1,1,0.0,3,-795,9526,10321,45,False,0,Sheffield Utd
Andi Zeqiri,FWD,Brighton,1.3,0,0,0,0,0.0,574,40,0,0,0.0,0.0,2020-10-18T13:00:00Z,0,0,0,0,0,5,0,462,1,1,0.0,0,244,301,57,50,False,0,Crystal Palace
Andreas Christensen,DEF,Chelsea,0.0,0,0,15,0,0.3,116,39,3,0,3.9,20.4,2020-10-17T14:00:00Z,90,0,0,0,0,5,0,20756,3,3,18.0,1,-2219,768,2987,49,True,0,Southampton
Andreas Pereira,MID,Man Utd,0.0,0,0,0,0,0.0,304,45,0,0,0.0,0.0,2020-10-17T19:00:00Z,0,0,0,0,0,5,0,3955,4,1,0.0,0,-883,126,1009,49,False,0,Newcastle
Andrew Robertson,DEF,Liverpool,5.7,1,2,33,0,43.4,255,41,2,0,8.6,35.0,2020-10-17T11:30:00Z,90,0,0,0,0,5,0,1122717,2,2,8.0,6,70877,175983,105106,70,False,0,Everton
Andriy Yarmolenko,MID,West Ham,-0.2,0,0,3,0,0.6,436,47,0,0,0.1,0.4,2020-10-18T15:30:00Z,13,0,0,0,0,5,0,7565,3,3,0.0,1,-1438,268,1706,57,False,0,Spurs
Andros Townsend,MID,Crystal Palace,3.0,0,0,6,0,8.9,137,40,1,0,2.2,13.4,2020-10-18T13:00:00Z,90,0,0,0,0,5,0,268785,1,1,0.0,2,-420,56780,57200,61,True,0,Brighton
André Gomes,MID,Everton,0.5,0,0,-2,0,12.2,158,41,2,0,1.6,4.2,2020-10-17T11:30:00Z,71,0,0,0,0,5,0,23833,2,2,0.0,1,-6314,756,7070,55,True,1,Liverpool
André-Frank Zambo Anguissa,MID,Fulham,1.2,0,0,11,0,18.1,191,46,1,0,4.2,12.2,2020-10-18T11:00:00Z,90,0,0,0,0,5,0,175529,1,1,12.0,1,-19996,9850,29846,45,False,1,Sheffield Utd
Andy Carroll,FWD,Newcastle,0.7,0,0,0,0,0.0,320,45,0,0,0.0,0.0,2020-10-17T19:00:00Z,0,0,0,0,0,5,0,34424,4,1,0.0,0,-7691,2129,9820,54,True,0,Man Utd
Angelo Ogbonna,DEF,West Ham,3.5,0,0,8,0,11.7,432,47,3,0,2.5,11.4,2020-10-18T15:30:00Z,90,0,0,0,0,5,0,27552,3,3,2.0,0,1215,3187,1972,49,False,1,Spurs
Angus Gunn,GK,Southampton,0.0,0,0,0,0,0.0,371,39,0,0,0.0,0.0,2020-10-17T14:00:00Z,0,0,0,0,0,5,0,17033,3,3,0.0,0,-1511,497,2008,44,False,0,Chelsea
Anthony Driscoll-Glennon,DEF,Burnley,0.5,0,0,0,0,0.0,536,48,0,0,0.0,0.0,2020-10-19T16:30:00Z,0,0,0,0,0,5,0,3890,0,0,0.0,0,-13,415,428,40,False,0,West Brom
Anthony Gordon,MID,Everton,-0.5,0,0,0,0,0.0,168,41,0,0,0.0,0.0,2020-10-17T11:30:00Z,0,0,0,0,0,5,0,33527,2,2,0.0,0,-5507,3235,8742,44,True,0,Liverpool
Anthony Knockaert,MID,Fulham,0.0,0,0,0,0,0.0,177,46,0,0,0.0,0.0,2020-10-18T11:00:00Z,0,0,0,0,0,5,0,5529,1,1,0.0,0,-1291,149,1440,52,False,0,Sheffield Utd
Anthony Martial,FWD,Man Utd,0.0,0,0,0,0,0.0,303,45,0,0,0.0,0.0,2020-10-17T19:00:00Z,0,0,0,0,0,5,0,343479,4,1,0.0,0,-317561,3756,321317,88,False,0,Newcastle
Antonee Robinson,DEF,Fulham,0.8,0,0,15,0,12.7,484,46,1,0,3.1,18.0,2020-10-18T11:00:00Z,90,0,0,0,0,5,0,7313,1,1,0.0,2,-21,784,805,44,False,0,Sheffield Utd
Antonio Rüdiger,DEF,Chelsea,0.5,0,0,0,0,0.0,109,39,0,0,0.0,0.0,2020-10-17T14:00:00Z,0,0,0,0,0,5,0,65611,3,3,0.0,0,-10912,2357,13269,47,True,0,Southampton
Anwar El Ghazi,MID,Aston Villa,-0.5,0,0,0,0,0.0,45,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,0,0,0,0,5,0,7681,1,0,0.0,0,-1141,271,1412,59,False,0,Leicester
Arthur Masuaku,DEF,West Ham,5.5,0,0,9,0,20.1,442,47,3,0,5.3,9.0,2020-10-18T15:30:00Z,89,0,0,0,0,5,0,79278,3,3,24.0,0,33193,50716,17523,45,False,1,Spurs
