transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,team_a_score,influence,saves,assists,transfers_in,xP,creativity,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,fixture,transfers_out,round,name,position,threat,ict_index,penalties_saved,team_h_score
0,West Brom,0,0,1,0,3,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,3.2,2.5,65,215629,229,0,5,False,66,0,0,Leicester,5,0,1,Ayoze Pérez,MID,24.0,2.7,0,0
0,Everton,0,0,0,0,1,2020-09-13T15:30:00Z,0,1,8.4,0,0,0,3.2,11.9,80,237638,394,0,3,True,45,0,0,Spurs,4,0,1,Dele Alli,MID,21.0,4.1,0,0
0,Liverpool,0,0,0,0,0,2020-09-12T16:30:00Z,0,3,0.0,0,0,0,-0.5,0.0,40,920095,196,0,0,False,0,0,0,Leeds,3,0,1,Barry Douglas,DEF,0.0,0.0,0,4
0,Brighton,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,0.0,0.0,55,72270,232,0,0,False,0,0,0,Chelsea,7,0,1,Ben Chilwell,DEF,0.0,0.0,0,1
0,Everton,0,0,0,1,2,2020-09-13T15:30:00Z,0,1,20.2,0,0,0,2.6,35.5,50,155868,395,0,15,True,90,0,0,Spurs,4,0,1,Ben Davies,DEF,36.0,9.2,0,0
0,Newcastle,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,1.0,0.0,40,161367,452,0,0,True,0,0,0,West Ham,6,0,1,Ben Johnson,DEF,0.0,0.0,0,0
0,Wolves,0,0,0,0,0,2020-09-14T17:00:00Z,0,2,0.0,0,0,0,1.4,0.0,50,2316,356,0,0,True,0,0,0,Sheffield Utd,8,0,1,Ben Osborn,MID,0.0,0.0,0,0
0,Chelsea,0,0,0,3,1,2020-09-14T19:15:00Z,0,3,14.2,0,0,0,0.6,0.8,45,103827,74,0,16,True,78,0,0,Brighton,7,0,1,Ben White,DEF,0.0,1.5,0,1
0,Chelsea,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,0.0,0.0,40,824870,75,0,0,True,0,0,0,Brighton,7,0,1,Bernardo,DEF,0.0,0.0,0,1
0,Spurs,0,0,0,0,0,2020-09-13T15:30:00Z,0,1,0.0,0,0,0,1.6,0.0,60,10689,154,0,0,False,0,0,0,Everton,4,0,1,Bernard,MID,0.0,0.0,0,0
0,Fulham,1,0,1,0,7,2020-09-12T11:30:00Z,0,3,14.0,2,0,0,3.5,0.0,50,400285,8,0,29,False,90,0,0,Arsenal,2,0,1,Bernd Leno,GK,0.0,1.4,0,0
0,Brighton,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,0.0,0.0,45,10890,124,0,0,False,0,0,0,Chelsea,7,0,1,Billy Gilmour,MID,0.0,0.0,0,1
0,Wolves,0,0,0,2,2,2020-09-14T17:00:00Z,0,2,1.4,0,0,0,1.8,3.0,60,17568,343,0,-4,True,90,0,0,Sheffield Utd,8,0,1,Billy Sharp,FWD,23.0,2.7,0,0
0,Arsenal,0,0,0,0,1,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,0.5,0.4,55,8412,181,0,4,True,15,0,0,Fulham,2,0,1,Bobby Reid,FWD,2.0,0.2,0,0
0,Southampton,0,0,0,0,0,2020-09-12T14:00:00Z,0,0,0.0,0,0,0,1.0,0.0,45,6682,147,0,0,True,0,0,0,Crystal Palace,1,0,1,Brandon Pierrick,MID,0.0,0.0,0,1
0,Sheffield Utd,0,0,0,0,0,2020-09-14T17:00:00Z,0,2,0.0,0,0,0,1.0,0.0,45,35928,475,0,0,False,0,0,0,Wolves,8,0,1,Bruno André Cavaco Jordao,MID,0.0,0.0,0,0
0,Fulham,0,0,0,0,0,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,2.8,0.0,55,491508,24,0,0,False,0,0,0,Arsenal,2,0,1,Bukayo Saka,MID,0.0,0.0,0,0
0,Brighton,0,0,0,0,1,2020-09-14T19:15:00Z,0,3,0.8,0,0,0,3.1,1.3,60,28187,122,0,3,False,10,0,0,Chelsea,7,0,1,Callum Hudson-Odoi,MID,0.0,0.2,0,1
0,Leicester,0,0,0,1,1,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,0.5,1.3,55,13584,358,0,-3,True,59,0,0,West Brom,5,0,1,Callum Robinson,FWD,2.0,0.1,0,0
0,West Ham,2,0,1,0,8,2020-09-12T19:00:00Z,0,2,32.0,0,0,0,2.1,23.3,65,538610,506,1,32,False,84,0,0,Newcastle,6,0,1,Callum Wilson,FWD,50.0,10.5,0,0
0,Fulham,0,0,0,0,0,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,0.0,0.0,45,1043,13,0,0,False,0,0,0,Arsenal,2,0,1,Calum Chambers,DEF,0.0,0.0,0,0
0,Everton,0,0,0,0,0,2020-09-13T15:30:00Z,0,1,0.0,0,0,0,1.5,0.0,40,14540,521,0,0,True,0,0,0,Spurs,4,0,1,Cameron Carter-Vickers,DEF,0.0,0.0,0,0
0,Leicester,0,0,0,0,0,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,0.6,0.0,45,4451,499,0,0,True,0,0,0,West Brom,5,0,1,Cedric Kipre,DEF,0.0,0.0,0,0
0,Spurs,0,0,0,0,0,2020-09-13T15:30:00Z,0,1,0.0,0,0,0,0.0,0.0,60,444,153,0,0,False,0,0,0,Everton,4,0,1,Cenk Tosun,FWD,0.0,0.0,0,0
0,Leicester,0,0,0,0,0,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,0.5,0.0,55,60979,415,0,0,True,0,0,0,West Brom,5,0,1,Charlie Austin,FWD,0.0,0.0,0,0
0,Southampton,0,0,1,0,3,2020-09-12T14:00:00Z,0,0,12.6,0,0,0,1.4,0.3,50,14565,133,0,3,True,90,0,0,Crystal Palace,1,0,1,Cheikhou Kouyaté,MID,17.0,3.0,0,1
0,Crystal Palace,0,0,0,1,2,2020-09-12T14:00:00Z,0,0,4.4,0,0,0,1.8,13.1,60,279992,377,0,3,False,84,0,0,Southampton,1,0,1,Che Adams,FWD,21.0,3.9,0,1
0,West Ham,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,1.8,0.0,55,5623,330,0,0,False,0,0,0,Newcastle,6,0,1,Christian Atsu,MID,0.0,0.0,0,0
0,Southampton,0,0,0,0,0,2020-09-12T14:00:00Z,0,0,0.0,0,0,0,0.0,0.0,55,15812,132,0,0,True,0,0,0,Crystal Palace,1,0,1,Christian Benteke,FWD,0.0,0.0,0,1
0,West Brom,0,0,0,0,0,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,1.3,0.0,45,1369,218,0,0,False,0,0,0,Leicester,5,0,1,Christian Fuchs,DEF,0.0,0.0,0,0
0,Brighton,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,3.9,0.0,85,650190,119,0,0,False,0,0,0,Chelsea,7,0,1,Christian Pulisic,MID,0.0,0.0,0,1
0,Chelsea,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,0.0,0.0,40,107597,503,0,0,True,0,0,0,Brighton,7,0,1,Christian Walton,GK,0.0,0.0,0,1
0,Wolves,0,0,0,2,1,2020-09-14T17:00:00Z,0,2,11.4,0,0,0,2.1,1.5,50,135308,345,0,14,True,70,0,0,Sheffield Utd,8,0,1,Chris Basham,DEF,2.0,1.5,0,0
0,West Ham,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,0.4,0.0,45,3326,324,0,0,False,0,0,0,Newcastle,6,0,1,Ciaran Clark,DEF,0.0,0.0,0,0
0,Southampton,0,0,0,0,0,2020-09-12T14:00:00Z,0,0,0.0,0,0,0,0.0,0.0,45,85742,136,0,0,True,0,0,0,Crystal Palace,1,0,1,Connor Wickham,FWD,0.0,0.0,0,1
0,Sheffield Utd,2,0,1,0,8,2020-09-14T17:00:00Z,0,2,22.0,0,0,0,2.1,0.0,50,556410,459,0,29,False,90,0,0,Wolves,8,0,1,Conor Coady,DEF,0.0,2.2,0,0
0,Leicester,0,0,0,0,0,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,0.5,0.0,45,4560,418,0,0,True,0,0,0,West Brom,5,0,1,Conor Townsend,DEF,0.0,0.0,0,0
0,Leeds,0,0,0,1,1,2020-09-12T16:30:00Z,0,3,2.4,0,0,0,2.5,13.3,45,32021,263,0,2,True,24,0,0,Liverpool,3,0,1,Curtis Jones,MID,2.0,1.8,0,4
0,Arsenal,0,0,0,0,0,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,0.6,0.0,45,10166,179,0,0,True,0,0,0,Fulham,2,0,1,Cyrus Christie,DEF,0.0,0.0,0,0
0,Fulham,0,0,0,0,0,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,3.1,0.0,50,35774,5,0,0,False,0,0,0,Arsenal,2,0,1,Cédric Soares,DEF,0.0,0.0,0,0
0,Brighton,0,0,0,0,1,2020-09-14T19:15:00Z,0,3,0.4,0,0,0,3.9,0.5,60,469354,102,0,3,False,5,0,0,Chelsea,7,0,1,César Azpilicueta,DEF,2.0,0.3,0,1
0,Chelsea,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,0.0,0.0,45,849631,55,0,0,True,0,0,0,Brighton,7,0,1,Dale Stephens,MID,0.0,0.0,0,1
0,West Brom,0,0,0,0,0,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,2.0,0.0,40,86735,227,0,0,False,0,0,0,Leicester,5,0,1,Daniel Amartey,DEF,0.0,0.0,0,0
0,Sheffield Utd,0,0,1,0,6,2020-09-14T17:00:00Z,0,2,25.8,0,1,0,1.8,18.3,55,17314,469,0,23,False,75,0,0,Wolves,8,0,1,Daniel Podence,MID,0.0,4.4,0,0
0,Fulham,0,0,0,0,1,2020-09-12T11:30:00Z,0,3,5.2,0,0,0,2.4,1.3,50,115657,501,0,6,False,12,0,0,Arsenal,2,0,1,Dani Ceballos,MID,4.0,1.1,0,0
0,Crystal Palace,0,0,0,1,2,2020-09-12T14:00:00Z,0,0,8.6,0,0,0,3.0,11.2,85,1467030,366,0,1,False,90,0,0,Southampton,1,0,1,Danny Ings,FWD,60.0,8.0,0,1
0,Everton,0,0,0,0,0,2020-09-13T15:30:00Z,0,1,0.0,0,0,0,2.6,0.0,50,24146,384,0,0,True,0,0,0,Spurs,4,0,1,Danny Rose,DEF,0.0,0.0,0,0
0,West Brom,0,0,0,0,0,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,2.8,0.0,45,13251,223,0,0,False,0,0,0,Leicester,5,0,1,Danny Ward,GK,0.0,0.0,0,0
0,Chelsea,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,0.6,0.0,45,51065,61,0,0,True,0,0,0,Brighton,7,0,1,Dan Burn,DEF,0.0,0.0,0,1
0,Leicester,0,0,0,3,1,2020-09-13T13:00:00Z,0,3,9.6,0,0,0,0.6,0.6,45,19684,425,0,8,True,90,0,0,West Brom,5,0,1,Dara O'Shea,DEF,0.0,1.0,0,0
0,Leicester,0,0,0,1,2,2020-09-13T13:00:00Z,0,3,6.2,0,0,0,0.6,11.5,45,5791,422,0,6,True,68,0,0,West Brom,5,0,1,Darnell Furlong,DEF,12.0,3.0,0,0
