ep_this,second_name,id,element_type,team,web_name,first_name
0.0,Young,672,3,2,Kadan Young,Kadan
0.0,Moreno Lopera,694,2,2,Álex Moreno,Alexandre
0.0,Sinisalo,707,1,2,Sinisalo,Viljami
0.7,Durán,711,4,2,Durán,Jhon
0.0,Swinkels,744,2,2,Swinkels,Sil
0.0,Zych,745,1,2,Zych,Oliwier
0.0,Wright,753,1,2,Wright,James
0.0,Revan,754,2,2,Revan,Sebastian
0.0,Patterson,755,3,2,Patterson,Travis
0.0,O'Reilly,761,3,2,O'Reilly,Tommi
0.8,Smith,57,2,3,Smith,Adam
0.0,Stanislas,58,3,3,Stanislas,Junior
0.0,Fredericks,59,2,3,Fredericks,Ryan
0.2,Brooks,60,3,3,Brooks,David
0.0,Lowe,61,3,3,Lowe,Jamal
0.5,Moore,62,4,3,Moore,Kieffer
0.0,Marcondes,63,3,3,Marcondes,Emiliano
1.2,Lerma Solís,64,3,3,Lerma,Jefferson
-0.5,Stacey,65,2,3,Stacey,Jack
1.2,Solanke,66,4,3,Solanke,Dominic
0.2,Cook,67,3,3,Cook,Lewis
0.0,Pearson,68,3,3,Pearson,Ben
1.2,Christie,69,3,3,Christie,Ryan
0.4,Billing,70,3,3,Billing,Philip
-0.2,Mepham,71,2,3,Mepham,Chris
0.5,Travers,72,1,3,Travers,Mark
1.2,Kelly,73,2,3,Kelly,Lloyd
0.0,Dembélé,74,3,3,Dembélé,Siriki
0.8,Anthony,75,3,3,Anthony,Jaidon
-0.5,Zemura,76,2,3,Zemura,Jordan
0.0,Dennis,77,1,3,Dennis,Will
-0.5,Stephens,404,2,3,Stephens,Jack
0.1,Rothwell,505,3,3,Rothwell,Joe
0.0,Tavernier,535,3,3,Tavernier,Marcus
0.0,Hill,539,2,3,Hill,James
-0.5,Randolph,571,1,3,Randolph,Darren
1.2,Murara Neto,574,1,3,Neto,Norberto
0.5,Senesi,576,2,3,Senesi,Marcos
0.0,Saydee,597,4,3,Saydee,Christian
0.0,Bevan,598,2,3,Bevan,Owen
-0.5,Plain,649,1,3,Plain,Cameron
-0.5,Adu-Adjei,695,4,3,Adu-Adjei,Daniel
-0.5,Dacosta Gonzalez,696,3,3,Dacosta Gonzalez,Michael
-0.5,Sadi,697,4,3,Sadi,Dominic
1.2,Ouattara,705,3,3,Ouattara,Dango
-0.5,Pollock,706,4,3,Pollock,Euan
0.0,Semenyo,714,4,3,Semenyo,Antoine
0.2,Viña,718,2,3,Viña,Matías
1.2,Zabarnyi,722,2,3,Zabarnyi,Illia
-0.4,Traorè,723,3,3,H.Traorè,Hamed
-0.5,Greenwood,737,2,3,Greenwood,Ben
-0.5,Kinsey-Wellings,738,2,3,Kinsey-Wellings,Max
0.0,Jansson,78,2,4,Jansson,Pontus
0.0,Nørgaard,79,3,4,Nørgaard,Christian
0.0,Toney,80,4,4,Toney,Ivan
4.7,Raya Martin,81,1,4,Raya,David
0.0,Canós Tenés,82,2,4,Canós,Sergi
0.0,Dasilva,83,3,4,Dasilva,Josh
-1.0,Ajer,84,2,4,Ajer,Kristoffer
3.7,Henry,85,2,4,Henry,Rico
1.3,Janelt,86,3,4,Janelt,Vitaly
-0.3,Ghoddos,87,3,4,Ghoddos,Saman
1.7,Jensen,88,3,4,Jensen,Mathias
6.3,Wissa,89,3,4,Wissa,Yoane
0.0,Roerslev Rasmussen,90,2,4,Roerslev,Mads
0.0,Bech Sørensen,91,2,4,Bech,Mads
7.0,Pinnock,92,2,4,Pinnock,Ethan
0.7,Onyeka,93,3,4,Onyeka,Frank
0.0,Baptiste,94,3,4,Baptiste,Shandon
9.0,Mbeumo,95,4,4,Mbeumo,Bryan
0.0,Goode,96,2,4,Goode,Charlie
0.0,Forss,97,4,4,Forss,Marcus
0.0,Thompson,98,2,4,Thompson,Dominic
0.0,Bidstrup,99,3,4,Bidstrup,Mads
0.0,Balcombe,100,1,4,Balcombe,Ellery
4.3,Hickey,510,2,4,Hickey,Aaron
0.0,Lewis-Potter,515,3,4,Lewis-Potter,Keane
-1.0,Strakosha,517,1,4,Strakosha,Thomas
5.3,Mee,526,2,4,Mee,Ben
0.0,Stevens,540,2,4,Stevens,Fin
0.0,Dervişoğlu,541,4,4,Dervişoğlu,Halil
1.0,Damsgaard,580,3,4,Damsgaard,Mikkel
1.3,Jorgensen,595,2,4,Zanka,Mathias
-1.0,Trevitt,632,3,4,Trevitt,Ryan
0.0,Cox,633,1,4,Cox,Matthew
-1.0,Crama,646,2,4,Crama,Tristan
-1.0,Yarmolyuk,650,3,4,Yarmolyuk,Yegor
1.0,Schade,688,3,4,Schade,Kevin
-1.0,Olakigbe,752,3,4,Olakigbe,Michael
0.0,Lallana,101,3,5,Lallana,Adam
2.8,Steele,102,1,5,Steele,Jason
1.0,Welbeck,103,4,5,Welbeck,Danny
4.4,Groß,104,3,5,Groß,Pascal
1.6,Dunk,106,2,5,Dunk,Lewis
0.0,March,107,3,5,March,Solly
0.2,Webster,108,2,5,Webster,Adam
0.2,Veltman,109,2,5,Veltman,Joël
0.0,Sánchez,113,1,5,Sánchez,Robert
0.0,Lamptey,114,2,5,Lamptey,Tariq
0.0,Alzate,115,3,5,Alzate,Steven
2.2,Mac Allister,116,3,5,Mac Allister,Alexis
0.0,Moder,117,3,5,Moder,Jakub
0.0,Mwepu,118,3,5,Mwepu,Enock
0.0,Sarmiento Morante,119,3,5,Sarmiento,Jeremy
1.8,Caicedo Corozo,120,3,5,Caicedo,Moisés
0.0,Richards,121,3,5,Richards,Taylor
0.0,Roberts,122,2,5,Roberts,Haydon
4.0,Undav,123,4,5,Undav,Deniz
2.6,Mitoma,124,3,5,Mitoma,Kaoru
3.4,Enciso,125,4,5,Enciso,Julio
0.0,Kozłowski,126,3,5,Kozłowski,Kacper
1.4,Gilmour,149,3,5,Gilmour,Billy
0.0,Scherpen,542,1,5,Scherpen,Kjell
0.0,Clarke,543,2,5,Clarke,Matt
0.4,van Hecke,544,2,5,Van Hecke,Jan Paul
4.0,Colwill,559,2,5,Colwill,Levi
4.4,Estupiñán,586,2,5,Estupiñán,Pervis
3.8,Ferguson,596,4,5,Ferguson,Evan
0.0,Turns,640,2,5,Turns,Ed
0.0,Moran,651,3,5,Moran,Andrew
0.0,Furlong,652,2,5,Furlong,James
0.2,Hinshelwood,677,3,5,Hinshelwood,Jack
1.0,Buonanotte,679,3,5,Buonanotte,Facundo
0.2,Ayari,719,3,5,Ayari,Yasin
0.0,Offiah,736,2,5,Offiah,Odeluga
0.0,McGill,756,1,5,McGill,Tom
0.2,Peupion,762,3,5,Peupion,Cameron
0.0,Samuels,765,2,5,Samuels,Imari
0.5,Chukwuemeka,48,3,6,Chukwuemeka,Carney
-0.1,Cucurella Saseta,112,2,6,Cucurella,Marc
0.5,Azpilicueta,127,2,6,Azpilicueta,César
0.5,Emiliano da Silva,128,2,6,Thiago Silva,Thiago
0.0,Alonso,129,2,6,Alonso,Marcos
0.0,Barkley,131,3,6,Barkley,Ross
0.0,Kovacic,132,3,6,Kovacic,Mateo
1.0,Arrizabalaga,133,1,6,Arrizabalaga,Kepa
